year,trois_DET ouvertures_NOUN,trois_DET couvertures_NOUN
1800,2.138031902632065e-07,3.144164484325529e-09
1801,2.095440727600817e-07,1.4287095950749062e-08
1802,2.842056971985585e-07,1.3427040812530322e-08
1803,2.945012118615864e-07,1.1702034896643454e-08
1804,1.9774807991090881e-07,0.0
1805,2.2174445746259153e-07,1.421438877713399e-08
1806,1.123850950079941e-07,5.76333825108577e-08
1807,3.1316506010625744e-07,2.8469551160981155e-09
1808,1.631573209870396e-07,6.798221985349073e-09
1809,1.581321424914961e-07,6.7770917766551975e-09
1810,1.310471020588011e-07,2.106114038724627e-08
1811,4.236959774139848e-07,1.0028307073639553e-08
1812,3.5740589776622755e-07,5.3344164641089264e-09
1813,1.8692320225000003e-07,0.0
1814,3.1781439702172065e-07,1.2586708564299443e-08
1815,1.2137506644194218e-07,8.091670444798638e-09
1816,2.0858435334503156e-07,0.0
1817,2.086210315610515e-07,1.2454987263765815e-08
1818,1.8477825314278107e-07,1.1921177378582115e-09
1819,2.1116141457611093e-07,4.140420006848444e-09
1820,1.613841487113632e-07,2.4919610375206958e-08
1821,1.3214394245508743e-07,2.3667571014129862e-08
1822,1.73443154949382e-07,1.9048670196752937e-08
1823,2.7473868513538946e-07,1.7788837070042973e-08
1824,1.8273815172165087e-07,1.6842225392110777e-08
1825,1.8051157724130462e-07,1.6730341556581152e-08
1826,2.651203212522546e-07,5.284790383086602e-09
1827,2.5439673390081907e-07,3.6869092223668076e-09
1828,2.1463184884940034e-07,1.1006761724274838e-08
1829,2.374769714208469e-07,1.971830521085849e-08
1830,2.9640612808634614e-07,1.3567886369969528e-08
1831,1.559120619276655e-07,6.236482441579483e-09
1832,3.287782617267254e-07,2.705993873419743e-09
1833,1.77229516951094e-07,3.1275796175123105e-08
1834,1.3068343740485489e-07,4.1071935186209885e-08
1835,2.2311108693884307e-07,7.563087933704082e-09
1836,1.518889458651529e-07,7.392825018825988e-09
1837,2.1151988116585585e-07,1.1132625488130543e-08
1838,2.1335107835973588e-07,1.8936486156917454e-08
1839,2.628794710801685e-07,2.866504900111977e-08
1840,1.853579334465394e-07,1.4013314952876499e-08
1841,2.1123605264961043e-07,1.6051371787284552e-08
1842,1.8246480548711475e-07,1.408735705865638e-08
1843,2.4809026832883774e-07,4.725528790494593e-08
1844,1.8715993466145164e-07,7.1351298203126134e-09
1845,2.0646843079674682e-07,1.3950569588416784e-08
1846,1.9144218854627582e-07,8.781752214304106e-09
1847,1.8498757281548706e-07,7.011190739092399e-09
1848,1.5768634703539064e-07,1.045878850192139e-08
1849,2.1786478843210944e-07,1.1731181359664333e-08
1850,2.253946700392362e-07,1.4935791270431764e-08
1851,2.37339341069287e-07,3.676180204692514e-08
1852,2.382859620730926e-07,1.5625309268685328e-08
1853,2.3409972538246393e-07,1.5527023000672102e-08
1854,1.6833952276584796e-07,3.63696517347023e-09
1855,2.419963323063712e-07,1.2736649068756378e-08
1856,1.9362687542212598e-07,1.7602443946884705e-08
1857,1.5181493229210474e-07,7.322263795295214e-09
1858,1.4827838246134206e-07,8.808616891453624e-09
1859,1.985947557514578e-07,8.656694694408884e-09
1860,2.2931690990546372e-07,2.1512764902809067e-08
1861,1.8062141338148763e-07,2.6880992542999138e-08
1862,2.1008635631147854e-07,1.490935552794781e-08
1863,1.653219552366636e-07,4.9946209945694875e-09
1864,1.8507649812704585e-07,1.6302074357099627e-08
1865,1.7179982059190024e-07,1.2708479601997169e-08
1866,1.3721028491175957e-07,1.2650593461671633e-08
1867,1.756717828982346e-07,1.1161466417775046e-08
1868,2.005588841669237e-07,1.4819621974027086e-08
1869,1.7629504789340444e-07,1.4650557211837167e-08
1870,1.3532354659062662e-07,1.7202145485839537e-08
1871,2.007402573056538e-07,1.274541272522356e-08
1872,1.409030021548574e-07,2.0560953828407946e-08
1873,2.232779656718975e-07,1.6760813181804224e-08
1874,1.77445892646233e-07,1.1351757756017378e-08
1875,1.470432429151458e-07,9.7265964171811e-09
1876,1.8621725939027556e-07,6.04601479992084e-10
1877,1.7441181521249405e-07,9.895705366247398e-09
1878,2.0532901157110928e-07,1.8117265909722846e-08
1879,1.625080532363654e-07,4.27652757650776e-09
1880,1.6108793854385794e-07,1.2835692064783188e-08
1881,1.9453295840854423e-07,1.9523021421719022e-08
1882,1.417597053077202e-07,1.7304001787010748e-08
1883,1.864205039225908e-07,3.159669503816076e-08
1884,2.1059413768398372e-07,2.706695756415911e-08
1885,1.340692199480742e-07,2.9005360113742995e-08
1886,1.2261581922023979e-07,3.1621972595985426e-08
1887,2.0174376436088437e-07,1.5016526300204447e-08
1888,1.344210271980728e-07,1.838778329599222e-08
1889,1.334474131198249e-07,8.144677543509005e-09
1890,1.717249187294101e-07,1.1797895549392479e-08
1891,1.5744324133315502e-07,1.8485238229004608e-08
1892,1.65488723835594e-07,1.8178685001757344e-08
1893,1.668930882381403e-07,1.662772503019383e-08
1894,1.7707324850846362e-07,1.3863386216783624e-08
1895,1.2277973926444474e-07,2.2870735527646957e-08
1896,1.3681107047247565e-07,2.1229304092429402e-08
1897,1.3401440890348226e-07,1.1653427223201618e-08
1898,1.6296062677056966e-07,2.0370077402631637e-08
1899,1.3266188503280318e-07,2.1004797901014172e-08
1900,1.3081453698049472e-07,1.1420316914367845e-08
1901,9.724405902744593e-08,2.235495527580511e-08
