year,aux_ADP ouvertures_NOUN,aux_ADP couvertures_NOUN
1800,2.7354229814591235e-07,1.3519907327008696e-07
1801,1.452521445344246e-07,1.1905913055443307e-07
1802,2.0364345232337655e-07,1.0294064622939914e-07
1803,1.6772916811014227e-07,2.0088494068204454e-07
1804,1.87860678790841e-07,1.1370514130248921e-07
1805,2.899735136452364e-07,1.051864728651708e-07
1806,2.535868759423465e-07,5.4751712497136396e-08
1807,1.7651122163897526e-07,5.124519120158766e-08
1808,2.719288829666766e-07,5.4385775882792586e-08
1809,3.840351849859758e-07,1.3328279635516083e-07
1810,2.8081521463718673e-07,6.084329839950442e-08
1811,3.4597658782331564e-07,7.019814773912003e-08
1812,2.4805035536701325e-07,2.6672083208723052e-08
1813,3.5084048022326897e-07,6.039057609541487e-08
1814,2.643208745212178e-07,4.72001566720337e-08
1815,1.9150287755564932e-07,2.4275012222574333e-08
1816,3.6849903040092613e-07,1.7845549393769033e-07
1817,2.2263289167767653e-07,1.634717108345285e-07
1818,1.9550731167328195e-07,1.2755660350194375e-07
1819,4.1197180156160584e-07,7.03871378959775e-08
1820,2.4919609753482064e-07,9.374520004712394e-08
1821,2.5837099015824094e-07,2.3667571014129862e-08
1822,2.4362246620057704e-07,5.3135764233047666e-08
1823,2.974688868562225e-07,1.3440454438296e-07
1824,2.3831748308111855e-07,5.642145595174952e-08
1825,2.4038859280928193e-07,6.516027895031584e-08
1826,2.4133876763698936e-07,9.160303449107232e-08
1827,3.3458700232635863e-07,1.3918082686359412e-07
1828,4.4852552605334495e-07,5.870272801189458e-08
1829,3.532148653562217e-07,6.42988169374803e-08
1830,3.1414874879232e-07,8.55820516676431e-08
1831,4.770909107776333e-07,2.0268567268999504e-08
1832,5.209038249631703e-07,1.3665268738805025e-07
1833,3.011743334724315e-07,1.50587169400751e-07
1834,2.7816901138066896e-07,7.747660646373333e-08
1835,2.7378376898923307e-07,9.075705520444899e-08
1836,2.889922603444006e-07,5.040562456315456e-08
1837,3.576355993573088e-07,8.140732177253085e-08
1838,2.9162187975551035e-07,7.006499913586595e-08
1839,2.9364196429959577e-07,7.410963576148788e-08
1840,2.688008677864673e-07,8.66277645172886e-08
1841,3.3322646686428925e-07,9.052973126699726e-08
1842,2.891262291804253e-07,2.95163662400455e-08
1843,3.02433857735096e-07,3.721353891705803e-08
1844,2.4863182024326136e-07,7.848642269436823e-08
1845,2.773373353193165e-07,6.305657507255091e-08
1846,2.1778745562528457e-07,4.8006910446929396e-08
