year,pourrons_VERB oser_VERB,pourrons_VERB causer_VERB
1800,0.0,0.0
1801,0.0,1.4287095950749062e-08
1802,0.0,2.6854081625060644e-08
1803,0.0,1.950339223455444e-09
1804,0.0,2.7190360185613827e-08
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,5.693910232196231e-09
1808,0.0,6.798221985349073e-09
1809,0.0,2.25903047379461e-08
1810,0.0,0.0
1811,0.0,7.521229861140455e-09
1812,0.0,0.0
1813,0.0,5.751483289628823e-09
1814,0.0,6.293354282149721e-09
1815,0.0,2.697223555614414e-09
1816,0.0,0.0
1817,0.0,1.71256075987003e-08
1818,0.0,0.0
1819,0.0,6.210630232317271e-09
1820,0.0,2.254631326081835e-08
1821,0.0,2.5639868894700157e-08
1822,0.0,2.5064039732569654e-08
1823,0.0,1.9765373338032077e-08
1824,0.0,7.57900142644985e-09
1825,0.0,1.3208164340028361e-08
1826,0.0,1.145037931138404e-08
1827,0.0,1.566936447261469e-08
1828,0.0,1.2841221419535032e-08
1829,3.429270423183084e-09,1.2859763920403111e-08
1830,0.0,8.349468672008697e-09
1831,0.0,1.091384405071949e-08
1832,0.0,2.1647950987357945e-08
1833,0.0,2.0850531967653296e-08
1834,0.0,2.8003592333902816e-08
1835,0.0,1.9664028627630614e-08
1836,0.0,1.2097349788575684e-08
1837,0.0,2.0873672568200163e-08
1838,0.0,1.7674054220151447e-08
1839,0.0,6.9914749545318955e-09
1840,0.0,1.3376346252869098e-08
1841,0.0,2.5040138851295524e-08
1842,0.0,2.5491406319133603e-08
1843,0.0,1.4176587015413133e-08
1844,0.0,1.6465683927435748e-08
1845,0.0,2.399498022498392e-08
1846,0.0,1.8148954339380907e-08
1847,0.0,6.47186837454683e-09
1848,0.0,2.574470947536156e-08
1849,0.0,9.217356655710773e-09
1850,0.0,1.2220192857625989e-08
1851,0.0,1.6123596680017727e-08
1852,0.0,1.6276363368206148e-08
1853,0.0,1.4929829816878737e-08
1854,0.0,8.832629738719788e-09
1855,0.0,1.8043586180738203e-08
1856,0.0,7.765783571755946e-09
1857,0.0,2.782460128969433e-08
1858,0.0,2.6425849952715907e-08
1859,0.0,1.9859475841599306e-08
1860,0.0,2.9293977021893625e-08
1861,0.0,2.4051415081771665e-08
1862,0.0,2.1686334505943705e-08
1863,0.0,2.0477944673302773e-08
1864,0.0,2.3014694150447212e-08
1865,0.0,3.153585836912498e-08
1866,0.0,3.454585240092456e-08
1867,0.0,2.1837651686951176e-08
1868,0.0,2.1735445443482604e-08
1869,0.0,2.3440891894210836e-08
1870,0.0,4.0711746862598375e-08
1871,0.0,4.0360472297606975e-08
1872,0.0,2.4189358072135292e-08
1873,0.0,3.591602748542755e-08
1874,0.0,2.0313670745508716e-08
1875,0.0,2.345826111138649e-08
1876,0.0,2.7207066821688386e-08
1877,0.0,3.216104360603822e-08
1878,0.0,3.38188961279684e-08
1879,0.0,3.421222061206208e-08
1880,0.0,2.4387816210946767e-08
1881,0.0,2.998178416646624e-08
1882,0.0,2.6621540527571597e-08
1883,0.0,3.033282780506852e-08
1884,0.0,2.2445769687351458e-08
1885,0.0,2.513797880965285e-08
1886,0.0,1.936039240035825e-08
1887,0.0,2.8727267675776602e-08
1888,6.340614699951175e-10,3.61415040117663e-08
1889,0.0,2.5687061366852504e-08
1890,0.0,2.94947390955258e-08
1891,0.0,2.4859458491732767e-08
1892,0.0,2.570090096298827e-08
1893,0.0,1.1700991287000306e-08
1894,0.0,1.8904618315218613e-08
