year,jolis_ADJ cadeaux_NOUN
1800,0.0
1801,4.7623651688866175e-09
1802,8.951360541686881e-09
1803,9.751696339321825e-09
1804,2.2246657849223084e-08
1805,1.1371510844071508e-08
1806,2.881669125542885e-09
1807,0.0
1808,1.1330369531492579e-08
1809,1.3554183553310395e-08
1810,2.106114038724627e-08
1811,2.5070767684098882e-09
1812,0.0
1813,8.627225156487839e-09
1814,0.0
1815,0.0
1816,0.0
1817,6.227493631882908e-09
1818,1.1921176934492905e-08
1819,1.035105001712111e-09
1820,8.306536791735653e-09
1821,0.0
1822,9.023054303725075e-09
1823,3.9530747564242574e-09
1824,2.5263338088166165e-09
1825,7.044354433105582e-09
1826,0.0
1827,2.7651818612639545e-09
1828,1.8344602503717056e-09
1829,1.628903412154159e-08
1830,2.2961039292113128e-08
1831,1.2472964883158966e-08
1832,5.411987746839486e-09
1833,1.6217079235048004e-08
1834,7.467624740797874e-09
1835,3.025235173481633e-09
1836,8.064899859050456e-09
1837,1.3915782304252389e-08
1838,8.2058102535143e-09
1839,4.194885327990505e-09
1840,1.2102408852854296e-08
1841,8.988767952189392e-09
1842,5.366612043644636e-09
1843,7.088293507706567e-09
1844,8.781698035420504e-09
1845,1.1160455670733427e-08
1846,6.439951683034906e-09
1847,9.168480197274675e-09
1848,2.413566457803995e-09
1849,6.703531951757213e-09
1850,8.82569484161877e-09
1851,5.8044946626978344e-09
1852,1.3021090872200602e-08
1853,6.569124799682413e-09
1854,1.0910895298366086e-08
1855,1.6982198758341838e-08
1856,1.2425253714809514e-08
1857,7.322263684272912e-09
1858,8.31924928945682e-09
1859,7.638259802433822e-09
1860,1.0985241161165504e-08
1861,2.1221836732365773e-08
1862,9.487771457372673e-09
1863,1.748117206545885e-08
1864,9.109982990196386e-09
1865,1.9298061815220535e-08
1866,5.352174259343201e-09
1867,6.79393608038481e-09
1868,1.0867722721741302e-08
1869,1.12320943657096e-08
1870,8.601073631098188e-09
1871,1.805600113868877e-08
1872,9.071008832961525e-09
1873,7.781805422268917e-09
1874,8.364453130127458e-09
1875,1.8881038954532414e-08
1876,7.859819461941697e-09
1877,2.4739263970730008e-09
1878,3.6234530931267273e-09
1879,3.0546627449723474e-09
1880,7.701415505323439e-09
1881,1.1853263259808955e-08
1882,1.6638463051776853e-08
1883,6.951272890631799e-09
1884,7.922036360241691e-09
1885,7.090199094506033e-09
1886,3.872078213618124e-09
1887,7.834709769838355e-09
1888,1.3315291091942072e-08
1889,1.1277245803853475e-08
1890,1.7041404731799048e-08
1891,8.286486163910922e-09
1892,2.193979398157353e-08
1893,1.3548516086814288e-08
1894,6.9316934414587195e-09
1895,6.018614495673091e-09
1896,9.435246361988447e-09
1897,6.992056267307589e-09
1898,7.921697076085366e-09
1899,9.39688327150634e-09
1900,3.633737311048435e-09
1901,1.2854099118442264e-08
1902,2.3078333910575566e-08
1903,4.320176216765503e-09
1904,4.299700151477737e-09
1905,6.192911072844254e-09
1906,1.2346042410626978e-08
1907,1.1828539925318182e-08
1908,1.7189861978295085e-08
1909,9.351672325408344e-09
1910,1.4429207162436342e-08
1911,7.448523575703803e-09
1912,9.897900277167082e-09
1913,1.113627856597077e-08
1914,1.1384464038144415e-08
1915,2.1205371680821372e-08
1916,7.69122365795738e-09
1917,1.6449636319748606e-08
1918,9.189101035644853e-09
1919,8.287063479883727e-09
1920,1.3630017114962811e-08
1921,1.438822039290244e-08
1922,4.426761179843197e-09
1923,1.6985516992917837e-08
1924,2.578324886925998e-09
1925,3.299453377181294e-09
1926,1.2260752413340015e-08
1927,1.6723836537835268e-08
1928,6.8556245125250825e-09
1929,2.6736975300423182e-08
1930,6.302162347537887e-09
1931,1.1405356659111021e-08
1932,8.767629289252454e-09
1933,1.261772819560747e-08
1934,1.0783422155213884e-08
1935,2.393656828303392e-09
1936,4.849885826274658e-09
1937,8.813782592653752e-09
1938,1.2965214457594243e-09
1939,6.117620188206274e-09
1940,5.0715658339584024e-09
1941,2.6563522936839945e-08
1942,9.102635090130207e-09
1943,5.806470415592457e-09
1944,9.639558484764166e-09
1945,6.535512131478072e-09
1946,1.3921104269343232e-08
1947,5.960435700558264e-09
1948,4.348755133776194e-09
1949,7.853606653895895e-09
1950,5.317680518146517e-09
1951,3.1984206394497505e-09
1952,6.326882129314981e-09
1953,3.232148326759443e-09
1954,7.818028890937967e-09
1955,6.569925492527773e-09
1956,5.232684952005684e-09
1957,6.184526224473075e-09
1958,1.6544486891589827e-09
1959,7.750747599288843e-09
1960,7.612916519406099e-09
1961,9.03260666262895e-09
1962,8.8787386332001e-09
1963,1.2932106496776896e-09
1964,3.6503808864551957e-09
1965,4.924839203113152e-09
1966,3.3234448526542337e-09
1967,6.409436092980059e-09
1968,1.0330256650092906e-08
1969,2.7250546263957176e-09
1970,4.1388523719376735e-09
1971,5.138397263237948e-09
1972,7.69522046084603e-09
1973,3.859242703185828e-09
1974,4.500457340128605e-09
1975,4.569184142155791e-09
1976,3.9994687561772935e-09
1977,5.289103821581875e-09
1978,3.5643548113029055e-09
1979,5.851973128301324e-09
1980,1.0233271119375331e-08
1981,5.69299452024552e-09
1982,4.345251713999687e-09
1983,4.4207211225000265e-09
1984,4.059305780401701e-09
1985,4.210890747202711e-09
1986,1.7983456945813714e-09
