year,divers_DET anneaux_NOUN,divers_DET canaux_NOUN
1800,3.144164484325529e-09,2.986956193495871e-07
1801,1.4287095950749062e-08,8.810375362600098e-08
1802,1.1189200677108602e-08,1.991677720525331e-07
1803,2.9255089017965474e-08,6.826187615160961e-08
1804,0.0,1.680858630059845e-07
1805,2.842877711017877e-09,8.812921237222326e-08
1806,0.0,2.305335300434308e-08
1807,1.9928686256776018e-08,1.9643990833984049e-07
1808,2.2660739951163578e-09,1.6995555007781604e-07
1809,2.710836710662079e-08,1.6265020352790316e-07
1810,3.510190182964834e-08,1.0062544930633521e-07
1811,0.0,1.278609147448151e-07
1812,2.6672082320544632e-09,2.9339290108509886e-08
1813,6.039057609541487e-08,3.163315831500313e-08
1814,0.0,1.3845379953636439e-07
1815,1.3486118000116676e-08,9.440282155992463e-08
1816,9.270415546325239e-09,6.721051448721482e-08
1817,1.5568733857662664e-08,5.916118794857539e-08
1818,8.344824387052086e-09,6.556647447197861e-08
1819,1.035105001712111e-09,7.24573467891787e-08
1820,2.3732962262101864e-09,9.611849804969097e-08
1821,2.9584463767662328e-09,9.368413600441272e-08
1822,1.804610860745015e-08,1.3334069137727056e-07
1823,2.9648061783404955e-09,3.9530746676064155e-08
1824,9.263223965660927e-09,5.810567671460376e-08
1825,4.4027217427355936e-09,7.308517924187186e-08
1826,1.3211976401805714e-08,7.310627125889368e-08
1827,5.530363722527909e-09,7.373818533551457e-08
1828,9.172301251858528e-10,1.0639869429951432e-07
1829,8.57317605795771e-10,7.201467672190986e-08
1830,3.1310507520032616e-09,1.2628571965933588e-07
1831,1.5591206103948707e-09,1.0446107978623331e-07
1832,6.764984572527055e-09,8.929779760080692e-08
1833,3.4750886612755494e-09,5.907650457714908e-08
1834,3.733812370398937e-09,1.5775357553593494e-07
1835,3.781543966852041e-09,8.31939672707449e-08
1836,1.8146025126952736e-08,6.989580114691307e-08
1837,2.7831563720326358e-09,9.949783930096601e-08
1838,6.943378316748294e-09,9.531364320025659e-08
1839,6.292327769941153e-09,8.180025634629828e-08
1840,8.280594876453051e-09,1.1019561574343584e-07
1841,5.1364388298225094e-09,8.988768129825075e-08
1842,4.024959032733477e-09,3.8237111255057243e-08
1843,5.906910960362666e-09,8.210606416980681e-08
1844,3.2931368743049916e-09,7.958414016684401e-08
1845,1.674068439427856e-09,1.060243306483244e-07
1846,1.0538101946622191e-08,7.727942019641887e-08
1847,2.6966118227278457e-09,1.003139615818327e-07
1848,1.6090443422100975e-09,4.907585093860689e-08
1849,3.3517659758786067e-09,5.781796375003978e-08
1850,0.0,4.480737292311687e-08
1851,5.804494884742439e-09,5.288539650649682e-08
1852,6.510545436100301e-10,9.244974208399981e-08
1853,6.569125021727018e-09,5.4344581279508475e-08
1854,4.676098175337984e-09,4.780011142457852e-08
1855,1.0613874223963649e-08,3.8209947206269135e-08
1856,9.318940286107136e-09,4.40061072026765e-08
1857,1.9526036343364694e-09,2.684830069377142e-08
1858,1.468102794888182e-08,7.829881631948865e-08
1859,5.092173349652285e-10,6.925355822140489e-08
1860,1.2816115058100763e-08,4.1652372662071e-08
1861,5.187560159214399e-09,4.197207648104495e-08
1862,1.445755604123633e-08,4.2920870635398956e-08
1863,3.995696662428827e-09,5.593975471729351e-08
1864,5.753673537611803e-09,4.507044337742627e-08
1865,3.765475486972036e-09,3.20065411951731e-08
1866,4.379051787850585e-09,3.405929049904444e-08
1867,1.261730986357179e-08,3.833721073931429e-08
1868,7.409810987013543e-09,4.100095551962113e-08
1869,3.906815315701806e-09,2.051078085152369e-08
1870,5.734048791339319e-09,3.7844721578750296e-08
1871,8.496941816815706e-09,6.691341369879922e-08
1872,2.4189357183956872e-09,1.874675104041046e-08
1873,1.1972008939764578e-09,2.214821614998641e-08
1874,1.1949218281515073e-09,2.6288280330355462e-08
1875,1.6020276105699338e-08,2.803548326824057e-08
1876,1.5719638923883394e-08,6.16693522914602e-08
1877,4.329371194877751e-09,9.277223966819292e-08
1878,8.4547240319921e-09,3.32149880932775e-08
1879,5.498392852132383e-09,6.536978247595471e-08
1880,3.8507077526617195e-09,6.417846520889725e-08
1881,9.064259565150223e-09,2.1614772693911988e-08
1882,0.0,2.5290462835059202e-08
1883,9.479008689083912e-09,2.7805091562527195e-08
1884,1.5183903911974994e-08,1.4523733327109767e-08
1885,1.4180398189012067e-08,3.0939052209078e-08
1886,2.000573728899724e-08,4.904632433522238e-08
1887,6.528924623161458e-10,3.721487118468758e-08
1888,3.1703073499755874e-09,3.233713385952797e-08
1889,5.6386229019267375e-09,3.0699169151215955e-08
1890,1.3108772956016423e-09,3.8015443237782165e-08
1891,6.374220040683554e-10,5.354344878583106e-08
1892,1.2537024751679837e-09,3.447681962143179e-08
1893,3.695050043717174e-09,4.249307405945757e-08
1894,6.301539290376468e-09,4.222031435574536e-08
1895,1.8055843487019274e-09,1.9861428057765806e-08
1896,4.1279202278587945e-09,1.8870492723976895e-08
