year,ces_DET heures_NOUN,ces_DET coeurs_NOUN
1800,4.779129909593394e-07,5.659496160603794e-08
1801,2.809795578428975e-07,7.619784270218588e-08
1802,3.938598638342228e-07,6.713520406265161e-08
1803,4.0567055314966183e-07,1.755305278905439e-08
1804,5.759412742278869e-07,3.707776552452913e-08
1805,4.292745461320635e-07,5.401467539911664e-08
1806,3.4580029328878936e-07,2.881669125542885e-08
1807,2.533790075531783e-07,1.7081731584767113e-08
1808,3.58039702774704e-07,3.6257183921861724e-08
1809,3.4111361646438354e-07,3.388545621874073e-08
1810,5.616304292743735e-07,6.786367379163494e-08
1811,2.1811567663121423e-07,4.011322829455821e-08
1812,1.050880054975778e-06,8.00162469616339e-09
1813,3.882251107256707e-07,2.3005932492381476e-08
1814,4.342414463565092e-07,4.090680150170556e-08
1815,2.80511247563453e-07,7.282503844407984e-08
1816,2.757948767140306e-07,4.8669683394564345e-08
1817,4.810738927218949e-07,1.71256075987003e-08
1818,3.4213778743463763e-07,2.6226590676969863e-08
1819,4.2646326914308474e-07,1.6561680027393777e-08
1820,4.663527022330527e-07,2.610625848831205e-08
1821,3.747365582285056e-07,2.9584464211751538e-08
1822,5.032859036191439e-07,3.0076847679083585e-08
1823,4.081549775936111e-07,3.656594316225892e-08
1824,3.5621306437860767e-07,2.189489300974401e-08
1825,4.6668848341369085e-07,3.0819052199149155e-08
1826,4.254256280589175e-07,1.4973572604048968e-08
1827,3.6776920531167434e-07,1.1060727445055818e-08
1828,3.834021802262555e-07,2.3847982533187206e-08
1829,5.29822282047121e-07,2.829148082472699e-08
1830,6.251664448342353e-07,1.7742621594152297e-08
1831,5.955840478577556e-07,1.2472964883158966e-08
1832,8.036801786293069e-07,2.3000947924067816e-08
1833,6.927009597035294e-07,1.7375443306377747e-08
1834,7.616977377722378e-07,1.2134890203796544e-08
1835,8.591667679525017e-07,1.5126175867408165e-08
1836,6.539290008933385e-07,1.6801875779570707e-08
1837,6.603038391617133e-07,3.200629961064294e-08
