year,nouveaux_ADJ arts_NOUN,nouveaux_ADJ quarts_NOUN
1800,6.60274537267469e-08,0.0
1801,3.095537337571841e-08,0.0
1802,6.713520406265161e-08,0.0
1803,1.4627543976075685e-07,9.751696339321825e-09
1804,7.662737999680758e-08,2.4718509461507665e-09
1805,4.264316544322355e-08,0.0
1806,1.152667650217154e-08,0.0
1807,8.54086508184082e-08,0.0
1808,4.078933102391602e-08,0.0
1809,4.969867006821005e-08,0.0
1810,2.3401267590372754e-09,0.0
1811,5.0141535368197765e-09,0.0
1812,5.601137331723294e-08,0.0
1813,6.901780125190271e-08,0.0
1814,3.1466771410748606e-09,0.0
1815,6.74305908887618e-08,0.0
1816,2.7811246638975717e-08,0.0
1817,3.580808893843823e-08,0.0
1818,2.98029441125891e-08,0.0
1819,6.417651121637391e-08,0.0
1820,6.40789963313182e-08,1.1866481131050932e-09
1821,9.072569184809254e-08,0.0
1822,3.909990198280866e-08,1.0025615893027862e-09
1823,2.8659792761231984e-08,0.0
1824,4.378978601948802e-08,0.0
1825,1.4969252504215547e-08,0.0
1826,3.8755132436563144e-08,0.0
1827,2.6730091917670507e-08,0.0
1828,3.944089499441361e-08,0.0
1829,2.8291481157793896e-08,0.0
1830,3.444155893816969e-08,0.0
1831,2.3386808933878456e-08,0.0
1832,1.6235963684607668e-08,0.0
1833,1.9692167896323554e-08,0.0
1834,1.3068342852307069e-08,0.0
1835,9.075705520444899e-09,0.0
1836,1.4785650037651976e-08,6.720750067579218e-10
1837,3.478945487245255e-08,0.0
1838,2.3354999711955315e-08,0.0
1839,2.4470162784950844e-08,0.0
1840,2.5478755105723394e-08,0.0
1841,1.0914932957462042e-08,0.0
1842,2.884553929050071e-08,0.0
1843,2.658109998776581e-08,0.0
1844,1.920996517412732e-08,0.0
1845,1.897277535078956e-08,0.0
1846,1.1123552745573306e-08,1.1709002656346001e-09
1847,2.426950729272903e-08,5.393223645455691e-10
1848,3.298540818263973e-08,0.0
1849,4.1897072478036534e-09,0.0
1850,4.073397619208663e-09,0.0
1851,1.9348316726564008e-08,0.0
1852,5.208436348880241e-09,0.0
1853,8.957897534855874e-09,0.0
1854,2.5978321716024766e-09,0.0
1855,9.552486801567284e-09,0.0
1856,4.141751386299575e-09,0.0
1857,1.025116885822186e-08,1.4644527812635033e-09
1858,1.1744822003834088e-08,0.0
1859,2.34239969643113e-08,0.0
1860,1.1442959468865865e-08,9.154367819341758e-10
1861,1.5091083938045813e-08,0.0
1862,1.7620147119146168e-08,9.035972525772706e-10
1863,1.0988165932701577e-08,0.0
1864,3.835782358407869e-09,0.0
1865,2.2122168985561075e-08,0.0
1866,4.865612801552288e-09,1.4596839292835284e-09
1867,8.249779526181555e-09,0.0
1868,2.9639244392143382e-09,0.0
1869,2.441759683335931e-09,0.0
1870,1.7202146374017957e-09,5.734048791339319e-10
1871,7.434824311758348e-09,0.0
1872,6.652073114565837e-09,6.047339295989218e-10
1873,8.380406590902112e-09,2.3944017879529156e-09
1874,8.961913877669758e-09,0.0
1875,3.432916173551348e-09,0.0
1876,4.957732002708326e-08,0.0
1877,1.0514186854493346e-08,1.2369631985365004e-09
1878,2.8987624745013818e-08,0.0
1879,1.588424558551793e-08,0.0
1880,2.0537108014195837e-08,0.0
1881,5.5780060570498335e-09,2.091752326904839e-09
1882,1.9966155395678697e-09,0.0
1883,3.159669414998234e-09,0.0
1884,6.601696966868076e-10,2.6406787867472303e-09
1885,6.445635580831777e-09,0.0
1886,3.872078213618124e-09,0.0
1887,4.57024718070187e-09,1.2404957061562527e-08
1888,2.53624587998047e-09,1.268122939990235e-09
1889,5.6386229019267375e-09,6.265136742733546e-10
1890,1.3108772956016423e-09,3.9326319978272295e-09
1891,5.736798147637501e-09,3.1871101313640793e-09
1892,3.1342561879199593e-09,1.8805537127519756e-09
1893,4.310891643655168e-09,1.847525021858587e-09
1894,5.041231432301174e-09,6.301539290376468e-10
1895,3.611168697403855e-09,1.2037228991346183e-09
1896,8.255840455717589e-09,1.179405795248556e-09
1897,5.826713334045053e-09,0.0
1898,5.092519517191363e-09,0.0
1899,7.185851913504848e-09,0.0
1900,4.15284251431558e-09,0.0
1901,5.029864968975062e-09,2.235495566438317e-09
1902,4.419255628107521e-09,9.820567692386817e-10
1903,4.860198465905796e-09,0.0
1904,0.0,0.0
1905,0.0,0.0
1906,2.5720922058880547e-09,0.0
1907,3.0857059130084963e-09,0.0
1908,3.929111258571538e-09,0.0
1909,4.950885035270858e-09,0.0
1910,2.137660271017694e-09,1.6032452032632705e-09
1911,4.788336838146279e-09,5.320374141248863e-10
1912,2.6047106693738442e-09,2.6047106693738442e-09
1913,2.121195885607108e-09,3.181793939432964e-09
1914,6.6967438816512015e-09,0.0
1915,1.1780761921542648e-09,0.0
1916,0.0,0.0
1917,0.0,0.0
1918,1.1486376294556067e-09,0.0
1919,3.6831393490643904e-09,0.0
1920,2.2716695191604686e-09,0.0
1921,2.2718242842501013e-09,3.0290989716519334e-09
1922,1.4755870969551665e-09,7.377935484775833e-10
1923,1.1677542488541803e-08,0.0
1924,1.289162443462999e-09,0.0
1925,1.0998177923937646e-09,1.0998177923937646e-09
1926,6.687683296036084e-09,0.0
