year,petits_ADJ arts_NOUN,petits_ADJ quarts_NOUN
1800,3.144164484325529e-09,3.144164484325529e-09
1801,7.143547975374531e-09,1.4287095950749062e-08
1802,4.475680270843441e-09,6.713520406265161e-09
1803,1.950339223455444e-09,4.290746247193056e-08
1804,4.943701892301533e-09,2.4718509461507665e-09
1805,0.0,0.0
1806,2.881669125542885e-09,5.76333825108577e-09
1807,0.0,8.256169792275614e-08
1808,1.5862518409903714e-08,4.5321479902327155e-09
1809,0.0,1.8072244145628247e-08
1810,4.680253518074551e-09,2.8081521108447305e-08
1811,0.0,7.521229861140455e-09
1812,0.0,5.867858021701977e-08
1813,0.0,1.4378708002027452e-08
1814,0.0,5.349351184236184e-08
1815,0.0,2.697223555614414e-09
1816,2.3176038865813098e-09,9.270415546325239e-09
1817,1.556873407970727e-09,3.113746815941454e-09
1818,0.0,2.384235475716423e-09
1819,8.280840013696888e-09,8.280840013696888e-09
1820,5.933240565525466e-09,0.0
1821,9.861488514673056e-09,3.944595405869222e-08
1822,8.02049271442229e-09,1.2030739071633434e-08
1823,0.0,1.8777104315859106e-08
1824,6.736890156844311e-09,3.3684450784221553e-09
1825,0.0,1.8491430608946757e-08
1826,0.0,2.642395191543301e-09
1827,0.0,3.133872894522938e-08
1828,6.420610709767516e-09,2.7516904310687096e-09
1829,8.573175946935407e-09,3.429270423183084e-09
1830,2.0873671680021744e-09,3.1310507520032616e-09
1831,0.0,0.0
1832,8.117981842303834e-09,1.3529969367098715e-09
1833,1.0425265983826648e-08,2.3167257001688313e-09
1834,2.8003592777992026e-09,7.467624740797874e-09
1835,2.2689263801112247e-09,3.781543966852041e-09
1836,1.3441500135158435e-09,5.376600054063374e-09
1837,1.1828414692161004e-08,4.87052354003481e-09
1838,3.787297142565649e-09,6.943378316748294e-09
1839,6.9914749545318955e-09,9.088918062616358e-09
1840,1.5287252685958208e-08,3.821813088222825e-09
1841,2.5682194149112547e-09,1.3483152372373297e-08
1842,0.0,2.0124795163667386e-09
1843,7.678984559333912e-09,4.134837805480629e-09
1844,1.0428266250528395e-08,6.037417232818143e-09
1845,2.1204865419122143e-08,9.48638767539478e-09
1846,1.2294452567118697e-08,2.9272506640865004e-09
1847,8.629157832729106e-09,2.6966118227278457e-09
1848,0.0,8.84974404868899e-09
1849,8.379414939696517e-10,1.6758829879393033e-09
1850,6.788996032014438e-10,1.3577992064028876e-09
1851,4.514607354622058e-09,2.579775504329973e-09
1852,1.6276363368206148e-08,3.906327261660181e-09
1853,0.0,6.569124799682413e-09
