year,ces_DET âges_NOUN,ces_DET ages_NOUN,ces_DET cages_NOUN
1800,1.0690159379933561e-07,2.2009151834367913e-08,2.829748169119739e-08
1801,9.28661236798689e-08,0.0,2.857419123536431e-08
1802,1.969299319171114e-07,0.0,1.7902721083373763e-08
1803,2.418420654848319e-07,0.0,6.046051481689574e-08
1804,1.384236476553724e-07,0.0,7.4155526164076946e-09
1805,3.0703080255989335e-07,8.528632911009026e-09,5.685755510853596e-08
1806,1.0374009207225754e-07,2.881669125542885e-08,1.152667650217154e-08
1807,1.1957211620838848e-07,2.8469551160981155e-09,2.8469550272802735e-08
1808,1.495608836776796e-07,4.5321479902327155e-09,9.290903602021672e-08
1809,1.9427662323323602e-07,0.0,5.6475761844865247e-08
1810,1.708292529656319e-07,7.020380277111826e-09,4.212228077449254e-08
1811,1.6045291317823285e-07,3.5099073869560016e-08,9.526891986411101e-08
1812,1.4936365744233626e-07,0.0,1.600324983641599e-08
1813,1.4378707646756084e-07,0.0,7.764502640839055e-08
1814,9.754699448194515e-08,0.0,0.0
1815,2.0498899289123074e-07,0.0,5.394447111228828e-09
1816,1.877259148130861e-07,2.3176038865813098e-09,3.2446456188495176e-08
1817,1.696991948074711e-07,1.556873407970727e-09,7.31730516179141e-08
1818,1.4305413009729762e-07,2.384235475716423e-09,1.0133000571954653e-07
1819,1.3663385911577564e-07,0.0,6.417650944001707e-08
1820,1.3409123589269711e-07,1.1866481131050932e-09,3.441279616822612e-08
1821,1.5186691593171986e-07,4.930744257336528e-09,6.804427155060466e-08
1822,1.8547389402101544e-07,0.0,4.210758675071702e-08
1823,1.8678277591277492e-07,2.9648061783404955e-09,4.150728560858852e-08
1824,1.3557991263013491e-07,1.6842225392110777e-09,4.884245274894283e-08
1825,1.8843648152966352e-07,8.805443041381977e-10,2.8177417732422327e-08
1826,9.336463513420767e-08,0.0,9.424543190306167e-08
1827,1.6130227820099208e-07,9.217273055917019e-10,3.6869092667757286e-08
1828,1.8619770969507954e-07,9.172301251858528e-10,1.834460272576166e-08
1829,2.2204525473856762e-07,0.0,2.4004892296147773e-08
1830,1.8055725981014348e-07,0.0,8.975678600364745e-08
1831,2.1359952118160663e-07,1.5591206103948707e-09,6.080570513766759e-08
1832,2.963063165939417e-07,2.705993873419743e-09,2.4353944638733083e-08
1833,2.467312907317165e-07,2.3167257001688313e-09,7.761031195485657e-08
1834,2.8283629482928063e-07,8.401077833397608e-09,6.81420759818252e-08
1835,2.0722860938349186e-07,4.5378527602224494e-09,6.882410019670715e-08
1836,2.28505502519738e-07,1.3441500135158435e-09,5.3766002094945975e-08
1837,3.1310508497028877e-07,3.478945576063097e-09,7.02746960623557e-08
1838,2.1776958192276652e-07,1.2624323808552163e-09,1.2876810373541048e-07
1839,2.013544850854032e-07,6.9914751765765e-10,7.62070770932155e-08
1840,2.3567847851069246e-07,5.732719854378843e-09,1.057368335111164e-07
1841,2.619583892027322e-07,2.5682194149112547e-09,4.751206095221505e-08
1842,2.5424325444944884e-07,5.366612043644636e-09,6.238686722781495e-08
1843,3.2133596494787753e-07,4.725528968130277e-09,5.670634561916188e-08
1844,1.93197352338359e-07,1.6465684371524958e-09,5.4885614275690386e-08
1845,3.024483472557904e-07,8.37034175305007e-09,5.357018828533455e-08
1846,3.0853222998672436e-07,3.5127007969038004e-09,6.030136479040493e-08
1847,3.0040256326913095e-07,4.314578916364553e-09,5.77074930063759e-08
1848,2.4135665288582686e-07,5.631655086713039e-09,3.298540768303937e-08
1849,2.2959596424065865e-07,3.3517659758786067e-09,5.111443135419336e-08
1850,2.864956236692251e-07,4.752297222410107e-09,4.820187182730251e-08
1851,3.708427320781027e-07,3.2247193804124663e-09,3.611685706061962e-08
1852,3.5677788634558283e-07,1.1718981784980542e-08,9.114763699358264e-08
1853,2.484323697871105e-07,5.3747386541402875e-09,9.793968303029033e-08
1854,2.3484403888218708e-07,1.143046168827766e-08,5.7671876163567504e-08
1855,3.269073260980804e-07,2.1227748447927297e-09,6.262185792138553e-08
1856,2.5989489271793786e-07,1.0354378243704332e-08,8.594134293105071e-08
1857,3.3975302082822623e-07,3.905207379695241e-09,6.834112431519657e-08
1858,2.8481194291885004e-07,2.4468380654951716e-09,9.346921459041369e-08
