year,dix_DET ans_NOUN,dix_DET camps_NOUN
1800,1.7610464794870495e-05,0.0
1801,1.829224450489164e-05,1.6668277424969347e-08
1802,1.818916427964723e-05,0.0
1803,1.607079448717741e-05,1.1702035562777269e-08
1804,2.0239514867625985e-05,4.943701892301533e-09
1805,1.802100203462942e-05,1.1371510844071508e-08
1806,1.5411166344847516e-05,2.881669125542885e-09
1807,1.8112328632469143e-05,2.8469551160981155e-09
1808,1.9125665374986056e-05,1.3596443970698147e-08
1809,2.101350162320159e-05,2.0331274441787173e-08
1810,1.967110583223075e-05,0.0
1811,2.1641087187163066e-05,5.0141535368197765e-09
1812,1.9884036987605214e-05,0.0
1813,2.2767246377952688e-05,0.0
1814,2.1170844320295146e-05,0.0
1815,1.821435131432736e-05,0.0
1816,1.557198086743483e-05,1.1588019432906549e-08
1817,1.6722376585676102e-05,1.401186100480345e-08
1818,1.942079006767017e-05,7.152706427149269e-09
1819,1.939579755116938e-05,4.140420006848444e-09
1820,1.742236753443649e-05,5.933240565525466e-09
1821,1.85208608627363e-05,1.97229765852569e-09
1822,1.815739369703806e-05,7.017931125119503e-09
1823,1.7548687083035475e-05,3.9530747564242574e-09
1824,1.7724757356063492e-05,0.0
1825,2.0351139369267912e-05,2.641632912414593e-09
1826,1.9736051314112046e-05,1.0569580766173203e-08
1827,2.2108551434030232e-05,0.0
1828,1.851520687523589e-05,0.0
1829,1.936937599111843e-05,8.57317605795771e-10
1830,1.8881278862181716e-05,7.305785310052215e-09
1831,2.281461104303162e-05,0.0
1832,2.147476646996438e-05,6.764984572527055e-09
1833,2.077407896194927e-05,4.6334514003376626e-09
1834,2.0340875551028148e-05,1.8669061851994684e-09
1835,1.9089233376234915e-05,4.5378527602224494e-09
1836,2.142575107200173e-05,6.720750067579218e-10
1837,2.0301734821259743e-05,6.262101948095733e-09
1838,2.0358615358873067e-05,1.199310784016916e-08
1839,1.9610389074387058e-05,6.9914751765765e-10
1840,2.2441686894580926e-05,1.9109065441114126e-09
1841,2.2487329999876238e-05,6.420548537278137e-10
1842,2.127190759892983e-05,0.0
1843,2.073975525718197e-05,1.1813822142769936e-09
1844,2.2156223906222294e-05,1.6465684371524958e-09
1845,2.2573138153347827e-05,2.2320911785556063e-09
1846,2.116402157525954e-05,1.1709002656346001e-09
1847,2.1606872621759976e-05,7.550513103637968e-09
1848,2.2406747234526847e-05,9.65426583121598e-09
1849,1.9788825625255413e-05,1.6758829879393033e-09
1850,2.018232657974295e-05,3.394498016007219e-09
1851,2.0541463300105534e-05,6.449438760824933e-10
1852,2.0848719827881723e-05,1.3021090872200602e-09
1853,2.0599582569502672e-05,3.5831591027601917e-09
1854,1.93372233638911e-05,0.0
1855,2.0927905950429704e-05,2.1227748447927297e-09
1856,2.0336517081886996e-05,0.0
1857,2.0284135189285735e-05,1.4644527812635033e-09
1858,2.151847257891859e-05,9.787352039936081e-10
1859,2.1541420380799536e-05,0.0
1860,2.2547208232026605e-05,1.373155145145688e-09
1861,2.1855191164377175e-05,2.8295783494058924e-09
1862,2.180605986268347e-05,6.776979422085105e-09
1863,2.190241190191955e-05,0.0
1864,2.2096982945640775e-05,2.3973640850272204e-09
1865,2.1638775081100903e-05,0.0
