year,aux_ADP ados_NOUN,aux_ADP cadeaux_NOUN
1800,0.0,3.144164484325529e-09
1801,4.7623651688866175e-09,2.3811825400343878e-08
1802,0.0,4.475680270843441e-09
1803,0.0,3.900678446910888e-09
1804,0.0,0.0
1805,0.0,2.842877711017877e-09
1806,2.881669125542885e-09,0.0
1807,0.0,0.0
1808,2.2660739951163578e-09,0.0
1809,0.0,0.0
1810,1.8721014072298203e-08,4.680253518074551e-09
1811,0.0,1.0028307073639553e-08
1812,0.0,2.6672082320544632e-09
1813,0.0,0.0
1814,0.0,6.293354282149721e-09
1815,8.091670444798638e-09,2.697223555614414e-09
1816,0.0,2.3176038865813098e-09
1817,0.0,2.80237220096069e-08
1818,5.960588467246453e-09,7.152706427149269e-09
1819,0.0,2.070210003424222e-09
1820,0.0,1.779972080839798e-08
1821,0.0,1.97229765852569e-09
1822,0.0,1.9048670196752937e-08
1823,9.882686891060644e-10,1.9765373782121287e-09
1824,8.421112696055388e-10,1.2631669044083083e-08
1825,0.0,2.7296874094417944e-08
1826,0.0,2.3781558056157337e-08
1827,3.6869092223668076e-09,3.6869092223668076e-09
1828,0.0,9.172301251858528e-10
1829,0.0,6.858540846366168e-09
1830,0.0,1.1480519646056564e-08
1831,1.5591206548037917e-08,1.7150327380477393e-08
1832,1.3529969367098715e-09,2.705993829010822e-08
1833,3.4750886612755494e-09,1.6217079235048004e-08
1834,7.467624740797874e-09,5.600718555598405e-09
1835,0.0,3.025235173481633e-09
1836,0.0,1.1425274948351216e-08
1837,6.957890930081589e-10,3.2006298056330706e-08
1838,6.312161904276081e-10,1.3255539776935166e-08
1839,2.7965900706306e-09,2.6567605004856887e-08
1840,3.821813088222825e-09,1.910906560764758e-08
1841,0.0,1.0272877659645019e-08
1842,2.683306021822318e-09,1.341653010911159e-08
1843,0.0,7.678984559333912e-09
1844,5.488561272137815e-10,6.5862733600319245e-09
1845,2.2320911785556063e-09,2.7901139176833567e-08
1846,4.6836010625384006e-09,1.4636253098387897e-08
1847,5.393223645455691e-10,2.3190860787281053e-08
1848,4.02261068899179e-09,2.413566591030758e-08
1849,7.54147322368226e-09,1.0893239199560867e-08
1850,5.431196825611551e-09,1.4935791270431764e-08
1851,6.449438760824933e-10,2.7087642351375507e-08
1852,6.510545436100301e-10,2.4740073101270355e-08
1853,7.166318205520383e-09,7.166318205520383e-09
1854,0.0,2.234135720868835e-08
