year,veux_VERB ouvrir_VERB,veux_VERB couvrir_VERB
1800,3.144164484325529e-09,0.0
1801,1.6668277424969347e-08,7.143547975374531e-09
1802,8.951360541686881e-09,0.0
1803,3.900678446910888e-09,3.900678446910888e-09
1804,1.2359254952798437e-08,2.4718509461507665e-09
1805,1.1371510844071508e-08,2.842877711017877e-09
1806,0.0,0.0
1807,0.0,5.693910232196231e-09
1808,4.5321479902327155e-09,0.0
1809,4.518061036407062e-09,0.0
1810,1.1700633351097167e-08,0.0
1811,0.0,0.0
1812,2.6672082320544632e-09,0.0
1813,2.8757416448144113e-09,5.751483289628823e-09
1814,2.5173417128598885e-08,0.0
1815,1.3486118000116676e-08,0.0
1816,9.270415546325239e-09,0.0
1817,7.784366928831332e-09,3.113746815941454e-09
1818,7.152706427149269e-09,0.0
1819,6.210630232317271e-09,2.070210003424222e-09
1820,2.610625848831205e-08,9.493184904840746e-09
1821,2.2681422962023134e-08,5.9168927535324656e-09
1822,8.02049271442229e-09,1.0025615893027862e-09
1823,2.569498569471307e-08,1.9765373782121287e-09
1824,8.421112696055388e-09,1.6842225392110777e-09
1825,2.1133063299316746e-08,1.7610886082763955e-09
1826,8.807984341885344e-10,8.807984341885344e-10
1827,6.452091305675367e-09,9.217273055917019e-10
1828,3.668920500743411e-09,0.0
1829,9.430493719264632e-09,4.286587973467704e-09
1830,7.305785310052215e-09,6.262101504006523e-09
1831,4.677361609140007e-09,7.795603274018958e-09
1832,1.8941957335982806e-08,1.3529969367098715e-09
1833,2.3167257001688313e-09,2.3167257001688313e-09
1834,7.467624740797874e-09,1.120143711119681e-08
1835,2.7983425354705105e-08,3.781543966852041e-09
1836,6.72075017860152e-09,2.016224964762614e-09
1837,1.3219993100221927e-08,2.7831563720326358e-09
1838,5.680945491803868e-09,6.312161904276081e-10
1839,4.194885327990505e-09,6.9914751765765e-10
1840,5.732719632334238e-09,6.369688665408546e-10
1841,7.0626033910059505e-09,1.2841097074556274e-09
1842,1.475818312002275e-08,1.0733224087289273e-08
1843,4.7255288571079745e-09,2.953455480181333e-09
1844,4.390849017710252e-09,3.2931368743049916e-09
1845,7.812318791877715e-09,5.580227946389016e-10
1846,6.439951683034906e-09,0.0
1847,4.853901280910122e-09,5.393223645455691e-10
1848,1.528592186161859e-08,4.82713291560799e-09
1849,1.1731181359664333e-08,8.379414939696517e-10
1850,7.467895635215882e-09,1.3577992064028876e-09
1851,9.674158363282004e-09,2.579775504329973e-09
1852,4.557382027314816e-09,6.510545436100301e-10
1853,1.3735443005202796e-08,0.0
1854,1.9223959313308114e-08,2.0782657816909023e-09
1855,1.1675261646360013e-08,3.714855978387277e-09
1856,1.346069211649592e-08,1.1389816201301528e-08
1857,7.810414537345878e-09,1.9526036343364694e-09
1858,1.1744822003834088e-08,4.893676130990343e-09
1859,1.476730293603623e-08,0.0
1860,1.1442959468865865e-08,3.661747127736703e-09
1861,1.3676294763342867e-08,3.772770984511453e-09
1862,2.5300723294208183e-08,4.066187830886747e-09
1863,9.489779628779615e-09,3.496234635136375e-09
1864,7.1920918109924514e-09,0.0
1865,7.530950973944073e-09,1.4120533631256649e-09
1866,2.7247432754506917e-08,1.4596839292835284e-09
1867,1.1161466417775046e-08,1.455843445796745e-09
1868,7.409810987013543e-09,0.0
1869,1.2697149998075474e-08,2.441759683335931e-09
1870,1.7202147262196377e-08,1.7202146374017957e-09
1871,5.3105884134652115e-09,4.248470908407853e-09
1872,2.2979889990892843e-08,1.8142017887967654e-09
1873,8.380406590902112e-09,0.0
1874,1.9716210886144836e-08,3.5847653734322193e-09
1875,1.6592428764283795e-08,2.2886108563824337e-09
1876,1.6928840551599933e-08,0.0
1877,6.184816214727107e-09,0.0
1878,1.4493812372506909e-08,1.8117265465633636e-09
1879,1.4662380642960215e-08,6.10932526790009e-10
1880,1.2835692508872398e-08,6.417846254436199e-10
1881,1.1853263259808955e-08,3.4862537301449947e-09
1882,1.3310770263785798e-08,0.0
1883,7.58320695126713e-09,6.319338941018771e-10
1884,7.2618666635548834e-09,6.601696966868076e-10
1885,9.023890079618013e-09,0.0
1886,1.355227396970804e-08,1.2906927748801422e-09
1887,3.264462256069578e-09,1.3057849246322917e-09
1888,1.268122939990235e-08,0.0
1889,9.397704836544563e-09,1.8795409673089125e-09
1890,6.554386366985909e-09,1.3108772956016423e-09
1891,1.1473596295275001e-08,0.0
1892,6.268512375839919e-09,3.1342561879199593e-09
1893,8.621783287310336e-09,1.2316833108982905e-09
1894,6.9316934414587195e-09,0.0
1895,4.213029924926559e-09,1.2037228991346183e-09
