year,certains_DET anneaux_NOUN,certains_DET canaux_NOUN
1800,1.5720821977538435e-08,2.2009151834367913e-08
1801,0.0,1.4287095950749062e-08
1802,2.2378401354217203e-08,1.3427040812530322e-08
1803,2.3404069793286908e-08,1.950339223455444e-09
1804,0.0,9.887403784603066e-09
1805,0.0,0.0
1806,0.0,5.76333825108577e-09
1807,8.540865792383556e-09,1.7081731584767113e-08
1808,0.0,0.0
1809,1.581321384946932e-08,0.0
1810,2.3401267590372754e-09,1.4040760110134443e-08
1811,5.0141535368197765e-09,5.264861258069686e-08
1812,8.00162425207418e-09,1.0668832928217853e-08
1813,0.0,1.4378708446116661e-08
1814,0.0,1.5733386149463513e-08
1815,0.0,8.091670444798638e-09
1816,0.0,4.6352077731626196e-09
1817,0.0,4.514932783195036e-08
1818,0.0,3.2187177367859476e-08
1819,0.0,1.8631890696951814e-08
1820,3.5599443393152796e-09,4.746592452420373e-09
1821,8.875339574387908e-09,3.4515210245444905e-08
1822,7.017931125119503e-09,2.7069162911175226e-08
1823,0.0,1.680056804787e-08
1824,8.421112696055388e-10,1.3473780313688621e-08
1825,0.0,2.3774695545597524e-08
1826,9.688783109140786e-09,5.284790383086602e-09
1827,2.7651818612639545e-09,8.295545583791863e-09
1828,3.668920500743411e-09,1.4675682002973645e-08
1829,0.0,3.343538584887895e-08
1830,1.3567886369969528e-08,4.174734158368665e-08
1831,0.0,1.4032085493553836e-08
1832,1.0823975493678972e-08,1.758896062131754e-08
1833,9.266902800675325e-09,4.2859426230279496e-08
1834,1.5868701908061666e-08,2.240287422239362e-08
1835,2.4958190181223472e-08,3.1764969321557146e-08
1836,3.3603750337896088e-09,2.6210924986003192e-08
1837,1.3219993100221927e-08,2.2961039292113128e-08
1838,5.049729523420865e-09,3.7241754569095065e-08
1839,9.088918062616358e-09,5.383435919270596e-08
1840,8.280594876453051e-09,2.6752692505738196e-08
1841,2.0545754875200828e-08,4.3017674755674307e-08
1842,4.695785538189057e-09,3.085801791868903e-08
1843,9.451057936260554e-09,3.6032157924026365e-08
1844,1.6465684371524958e-09,3.677336124496833e-08
1845,6.696273757711424e-09,8.258737305144592e-08
1846,5.854501328173001e-09,4.625055893825447e-08
1847,9.168480197274675e-09,5.123562285547223e-08
1848,1.689496542667257e-08,4.585776380849893e-08
1849,5.865590679832167e-09,5.027649052635752e-08
1850,9.504594444820214e-09,5.091746846375145e-08
1851,7.094382858952031e-09,3.8696633453128015e-08
1852,1.0416872697760482e-08,3.385483537954315e-08
1853,5.3747388761848924e-09,3.642878243503844e-08
1854,0.0,3.117398605922972e-08
1855,1.5920811335945473e-09,5.678422709820552e-08
1856,1.0354378687793542e-08,4.814785992124371e-08
1857,1.1715621417440758e-08,3.612316845647001e-08
1858,1.3212924976357954e-08,3.670256987220455e-08
1859,1.7313389832906978e-08,2.0877910955618972e-08
1860,3.204028820036342e-09,2.334363813361051e-08
1861,9.431927239234028e-09,4.857442503780618e-08
1862,1.8975542914745347e-08,3.975828025137851e-08
1863,6.99246927027275e-09,3.995696601366561e-08
1864,2.0617330065419992e-08,4.459096836217924e-08
1865,1.6473954644879996e-08,6.118897744045171e-08
1866,2.432806400776144e-09,2.6274310060969697e-08
1867,7.76449837758264e-09,3.008743121313273e-08
1868,9.87974857480367e-09,2.667531973088444e-08
1869,5.860222973552709e-09,2.3929244363785074e-08
1870,2.0069171213776826e-08,3.669791226457164e-08
1871,8.496941816815706e-09,3.292564887402705e-08
1872,2.963196266136947e-08,4.051717450437309e-08
1873,1.5563610844537834e-08,4.429643174486131e-08
1874,2.6885741633009275e-08,4.241972639817959e-08
1875,8.58229043387837e-09,1.8308886295947957e-08
1876,5.441413541973361e-09,2.8416269781672554e-08
1877,1.7317484335421796e-08,4.8860045898102555e-08
1878,2.0532900657510567e-08,4.7708800909873617e-08
1879,1.2218650868867087e-08,3.787781510666832e-08
1880,1.6686399817444908e-08,5.326812391182045e-08
1881,2.370652651961791e-08,2.998178416646624e-08
1882,1.5972923872453748e-08,4.5256618896871714e-08
1883,1.7694149256897163e-08,4.549924126351357e-08
1884,1.4523733327109767e-08,3.8289840631478e-08
1885,1.2891271161663553e-08,7.02574285416091e-08
1886,1.2261581083805595e-08,3.5494051475737365e-08
1887,1.566941953967671e-08,6.985949041471429e-08
1888,2.9800888867725916e-08,6.086990111953128e-08
1889,2.380751951136517e-08,7.580815708507771e-08
1890,1.245333464128251e-08,3.8015442349603745e-08
1891,2.4859457603554347e-08,7.904033161310053e-08
1892,8.149066310636499e-09,8.399806494807649e-08
1893,3.695050043717174e-09,2.6481190629201734e-08
1894,7.561847370496366e-09,5.1042468918183204e-08
1895,6.018614495673091e-09,4.032471712100971e-08
1896,1.828079043697528e-08,4.127920427698939e-08
1897,6.992056045262984e-09,3.612562426980048e-08
1898,1.9804241802034994e-08,7.299277582362151e-08
1899,1.0502398950507086e-08,4.366786754417262e-08
1900,1.245852798703595e-08,4.5162160677847396e-08
1901,2.291382911190354e-08,6.371162453167045e-08
1902,1.2275710059572731e-08,5.303106648257838e-08
1903,4.860198243861191e-09,6.588268686158472e-08
1904,8.599400302955473e-09,4.837162848048138e-08
1905,8.773290538499623e-09,4.28343005509646e-08
1906,1.491813489407079e-08,5.812928671744544e-08
1907,1.0799970917574342e-08,5.6056993269493205e-08
1908,9.822778146428846e-09,9.626322938771636e-08
1909,9.351671770296832e-09,6.271121466561169e-08
1910,7.481810948561929e-09,4.27532063085323e-08
1911,7.980561322895596e-09,6.118430295742883e-08
1912,1.3023552902780011e-08,5.834551641825669e-08
1913,9.015082680363662e-09,7.265095902653229e-08
1914,8.705766774141921e-09,6.161004062477105e-08
1915,8.246533456102156e-09,4.947920095865754e-08
1916,9.888715624128963e-09,4.285110066781783e-08
1917,1.0966424435210342e-09,4.496234140560773e-08
1918,2.2972752589112133e-09,4.709414369585829e-08
1919,2.762354567309444e-09,5.06431653279904e-08
1920,3.028892692213958e-09,4.0890051788977644e-08
1921,1.5145495135815423e-08,4.5436483908645187e-08
1922,5.902348387820666e-09,7.082818376247246e-08
1923,1.3800732556745743e-08,5.095655009057509e-08
1924,1.5469949543600592e-08,3.738571141553848e-08
1925,7.698724324711748e-09,2.7495444365754906e-08
1926,1.5604594061358057e-08,4.346993875969929e-08
1927,2.3413372129965637e-08,2.89879845682961e-08
1928,2.8565103615818543e-08,2.9707706405979195e-08
1929,2.0052731253272782e-08,3.4535259096912796e-08
1930,1.1553964007759987e-08,3.991369368350206e-08
1931,1.2545892325022123e-08,3.649714042097685e-08
1932,3.287861094491973e-09,4.055028401950267e-08
1933,1.8353059516584835e-08,6.308863942372511e-08
1934,4.193552882725271e-08,2.2765002327673756e-08
1935,4.308582379763948e-08,3.11175387679441e-08
1936,3.152425831487449e-08,3.152425698260686e-08
1937,2.1404900962807005e-08,6.67329245196413e-08
1938,2.9819993030422154e-08,5.186085871855539e-08
1939,1.3764645423464117e-08,3.823512795264605e-08
1940,2.5357829169792012e-08,4.057252755984564e-08
1941,2.066051774107791e-08,5.312704587367989e-08
1942,1.8205270180260413e-08,6.068423408223111e-08
1943,5.806470415592457e-09,2.9032352077962287e-08
1944,1.927911696952833e-08,6.42637232317611e-08
1945,1.089252066321933e-08,1.3071024262956144e-08
1946,1.2528993842408909e-08,2.9234318077442367e-08
1947,2.1457567278559964e-08,3.337843956785491e-08
1948,5.435943917220243e-09,2.5005342907391537e-08
1949,1.6688914139528777e-08,4.417653798327592e-08
1950,2.765194051512765e-08,4.041437340340792e-08
1951,1.3859821956785368e-08,4.264560538036477e-08
1952,2.319856839960721e-08,4.639713813148205e-08
1953,2.370242058180594e-08,5.602390373837807e-08
1954,1.2704297391863406e-08,4.0067396511744846e-08
1955,1.3139850985055546e-08,7.133061652453421e-08
1956,7.849027650053131e-09,3.4012451299858526e-08
1957,1.0602045463770082e-08,5.30102268747612e-08
1958,1.3235589180204954e-08,3.970676926146055e-08
1959,8.525822714489095e-09,4.10789646743126e-08
1960,2.0762500829718533e-08,5.6058750752541187e-08
1961,3.126671677122772e-08,8.198828149730275e-08
1962,1.6489086540616427e-08,5.2638237324487136e-08
1963,2.3277792138287623e-08,6.013429576512408e-08
1964,1.8860301764789256e-08,3.4678618643368964e-08
1965,1.2038495811328431e-08,3.775709789266557e-08
1966,1.994066989308152e-08,3.37883556689178e-08
1967,2.6130777985855502e-08,2.958201261726856e-08
1968,1.8414804570099363e-08,4.221930982595268e-08
1969,2.3162965101519717e-08,3.451736046988785e-08
1970,3.0811457607526904e-08,4.2768144137284025e-08
1971,3.0316544386010946e-08,3.751030130949573e-08
1972,1.898154378121575e-08,3.591102726296924e-08
1973,1.32316891332529e-08,4.07977067684584e-08
1974,7.313243122197832e-09,4.894247362940973e-08
1975,9.709516746170266e-09,3.5982326451744484e-08
1976,1.7711933197883667e-08,4.856497759497813e-08
1977,2.9383910082891873e-08,3.6436048400645404e-08
1978,2.316830560733507e-08,2.4356424876970095e-08
1979,9.363157360553487e-09,3.6282234883167064e-08
1980,5.68515062804309e-09,4.32071438627446e-08
1981,1.6446428885430464e-08,2.4669643716723755e-08
