year,vos_DET offres_NOUN,vos_DET coffres_NOUN
1800,1.446315693875988e-07,6.288328968651058e-09
1801,1.9049460320275102e-07,8.572257570449437e-08
1802,1.544109693440987e-07,2.2378401354217203e-09
1803,1.8918289867997373e-07,3.705644502360883e-08
1804,2.0269177269938154e-07,5.9324420931261557e-08
1805,1.8478704744140373e-07,0.0
1806,1.7290014397985942e-07,4.3225035994964855e-08
1807,1.7651121675399395e-07,1.7081731584767113e-08
1808,1.20101923961613e-07,2.945896149242344e-08
1809,1.8524050471313558e-07,1.581321384946932e-08
1810,3.6739989361933567e-07,7.488405628919281e-08
1811,1.529316882020737e-07,5.515568801683912e-08
1812,1.360276229434021e-07,8.00162425207418e-09
1813,1.322841143291953e-07,4.3136125782439194e-08
1814,1.384537955395615e-07,1.8880063290538374e-08
1815,1.6453063267363177e-07,3.776112933451259e-08
1816,2.1321956111819418e-07,2.5493642752394408e-08
1817,2.880215914657924e-07,5.1376822796100896e-08
1818,1.2994082920769756e-07,4.887682791832049e-08
1819,1.2938812909979447e-07,1.5526575580793178e-08
1820,2.3851627517501583e-07,2.0173018810965004e-08
1821,2.830247223251092e-07,6.311352507282209e-08
1822,2.5866089004011883e-07,4.912551787583652e-08
1823,1.749235538639482e-07,5.633131583415718e-08
1824,2.5515970580869407e-07,4.21055617039201e-08
1825,2.5359676047997937e-07,4.3146670236637874e-08
1826,2.1315322040749152e-07,3.2589543508265706e-08
1827,2.525532749042547e-07,4.147772969531616e-08
1828,2.2105245511827576e-07,4.769596628761974e-08
1829,1.1745251526917855e-07,4.286587840240941e-08
1830,2.3587249708967306e-07,3.131050907434485e-08
1831,2.2919073305871507e-07,5.768746280665482e-08
1832,2.0024353908354442e-07,2.570694235259907e-08
1833,2.027134975435274e-07,3.7067612312924325e-08
1834,1.1108091890754679e-07,4.387229557423211e-08
1835,2.0722860938349186e-07,5.3697924329298985e-08
1836,1.4718442709060753e-07,6.85516496901073e-08
1837,1.384620276212445e-07,6.888311787633938e-08
1838,9.405120948713375e-08,6.754013215370946e-08
1839,2.0415108092919354e-07,3.775396617555771e-08
1840,1.0509986336781907e-07,5.0957508768156856e-08
1841,1.1621193252153716e-07,1.8619590758106597e-08
1842,1.0666141569970478e-07,4.9641161847802096e-08
1843,1.0573371089783734e-07,5.5524964182041003e-08
1844,8.17795653973441e-08,9.220782715146925e-08
1845,9.318980476180627e-08,5.357019006169139e-08
1846,1.2645723312942891e-07,5.269051217560161e-08
