year,avons_VERB osé_VERB,avons_VERB causé_VERB
1800,8.803660733747165e-08,6.288328791015374e-08
1801,4.286128785224719e-08,1.0953439755212457e-07
1802,2.6854081625060644e-08,3.5805442166747525e-08
1803,4.6808139586573816e-08,4.4857802805609026e-08
1804,6.179627121127851e-08,6.921182915675672e-08
1805,1.6204403152642044e-07,2.55858996212055e-08
1806,6.916005901302924e-08,1.0950342499427279e-07
1807,4.555128185756985e-08,1.7081731584767113e-08
1808,3.3991110370834576e-08,3.172503681980743e-08
1809,6.777091243748146e-08,5.421673421324158e-08
1810,4.914266327205041e-08,2.8081521108447305e-08
1811,3.5099073869560016e-08,6.016983888912364e-08
1812,1.2802598803318688e-07,2.400487453257938e-08
1813,5.463909147351842e-08,8.052076339026826e-08
1814,9.44003133440674e-08,1.5733386149463513e-08
1815,1.9150287755564932e-07,4.315557688983063e-08
1816,9.038654980031424e-08,3.9399267848239106e-08
1817,1.3077736582545185e-07,3.113746771532533e-08
1818,8.106400883889364e-08,1.4066989706407185e-07
1819,1.0558071039667993e-07,3.1053151161586356e-08
1820,1.0679833195581523e-07,6.289234733003468e-08
1821,1.479223215028469e-07,6.7058117281249e-08
1822,1.223125138949399e-07,4.511527151862538e-08
1823,5.6331316500290995e-08,2.0753643070747785e-07
1824,9.010590673597108e-08,1.1789558129748912e-07
1825,6.60408261410339e-08,4.842993561737785e-08
1826,8.984144272972117e-08,2.1139161532346407e-08
1827,7.005127855563842e-08,3.594736597278825e-08
1828,5.319934714975716e-08,4.494427585655103e-08
1829,9.344761764396026e-08,3.600733933240008e-08
1830,1.1063045946002603e-07,9.080046936560393e-08
1831,7.327867024287116e-08,7.795603096383275e-08
1832,6.494385473843067e-08,4.8707889277466165e-08
1833,3.59092489077284e-08,7.29768601104297e-08
1834,9.427876079826092e-08,1.1481473194407954e-07
1835,6.277362984974388e-08,9.302598158456021e-08
1836,5.309392392405243e-08,4.838939915430274e-08
1837,7.72325918774186e-08,9.184415716845251e-08
1838,7.132742751991827e-08,5.617824072601252e-08
1839,6.362242288560083e-08,4.61437359433603e-08
1840,6.17859825524647e-08,4.713569623504554e-08
1841,7.447836480878323e-08,9.951850188372191e-08
1842,7.244926081284575e-08,7.379091471193533e-08
1843,7.383638944702398e-08,7.560846171372759e-08
1844,7.57421432240335e-08,4.171306500211358e-08
1845,7.812319324784767e-08,8.035528509253709e-08
1846,6.205771541090144e-08,5.2690513285824636e-08
1847,9.060615724365562e-08,4.476375536910382e-08
1848,9.091100849900613e-08,4.424871846708811e-08
1849,1.1396004140351579e-07,7.960444037280467e-08
1850,6.653215933738466e-08,5.2275268558332755e-08
1851,5.93348374877678e-08,4.2566295377355345e-08
1852,6.250123618656289e-08,6.640756566866912e-08
1853,6.270528274399112e-08,8.957897534855874e-08
1854,5.455447649183043e-08,6.754363823802123e-08
1855,6.368324534378189e-08,7.588920425405377e-08
1856,5.2807330064297275e-08,7.610468344410037e-08
1857,8.689086428148585e-08,8.054490052700203e-08
1858,8.612870061597278e-08,7.878818308881819e-08
1859,4.83756465996521e-08,8.198399115144639e-08
1860,7.094634923987542e-08,1.107678500034126e-07
1861,6.979626476777412e-08,1.3016060051995737e-07
1862,6.370360949858878e-08,1.2424462170201878e-07
1863,8.291070230370678e-08,1.4933915792880725e-07
1864,7.000302559845295e-08,1.5534918418325105e-07
1865,7.107335164846518e-08,1.807428304800851e-07
1866,4.962925004292629e-08,1.1385534293140154e-07
1867,6.502767746496829e-08,1.7130425078448752e-07
1868,5.631456545529545e-08,8.941172069398817e-08
1869,6.641585770239544e-08,1.0939082528693689e-07
1870,5.103303379883073e-08,8.429051945313404e-08
1871,8.496941461544338e-08,7.753459385639871e-08
1872,3.0236694925633856e-08,1.7839650467976753e-07
1873,4.968383748860106e-08,1.0774807890356897e-07
1874,6.273339892004515e-08,1.254667978400903e-07
1875,5.9503882710032485e-08,1.430381786349244e-07
1876,4.292670396921494e-08,1.6868381180756842e-07
1877,5.751878973114799e-08,1.0204946221392674e-07
1878,5.254007007238215e-08,1.1595049898005527e-07
1879,6.292604837199178e-08,1.2585209674398357e-07
1880,4.813384535395926e-08,9.626769070791852e-08
1881,3.9046042843438045e-08,1.8337695451009495e-07
1882,1.9300616216355593e-08,1.2978000540897483e-07
1883,3.981183382961717e-08,2.243365315734991e-07
1884,2.9047466654219534e-08,1.478780120578449e-07
1885,2.707166935067562e-08,9.21725913372029e-08
1886,3.6784744139595205e-08,1.2971462126643019e-07
1887,3.4603299781110763e-08,1.8085121666899795e-07
1888,4.057993407968752e-08,1.3822540267938166e-07
1889,2.6313573542324775e-08,1.1026640578393199e-07
1890,3.604912635069013e-08,1.23877910596093e-07
1891,3.250852387282066e-08,1.1154885015685068e-07
1892,2.1312942521944933e-08,1.6862298934938735e-07
1893,3.1407925149551374e-08,9.730297989563041e-08
1894,3.654892921645114e-08,2.1047141274266323e-07
1895,4.634333095054899e-08,1.1615925643582159e-07
1896,3.774098544795379e-08,1.7809027497150964e-07
1897,3.787363667129284e-08,3.4727213460428175e-07
1898,2.093591255913907e-08,1.8898904841080366e-07
1899,3.537650172802387e-08,1.6859114282397059e-07
1900,3.633737222230593e-08,1.635181803294472e-07
1901,2.6825947685438223e-08,2.4143352561623033e-07
1902,1.8659077838378835e-08,1.22757100484705e-07
1903,3.4021386596805314e-08,1.7550715369907266e-07
1904,3.33226779503093e-08,1.676883130130591e-07
1905,2.6835946798087207e-08,1.641121372131238e-07
1906,3.189394348623864e-08,1.6564274574193405e-07
1907,2.3142794347563722e-08,1.7742809177434538e-07
1908,2.2592390180875555e-08,1.6453152795747883e-07
1909,3.080550925460557e-08,1.496267572065335e-07
1910,2.8858414324872683e-08,2.062842128225384e-07
1911,2.4473720827700163e-08,1.5588696555823844e-07
1912,2.344239469209697e-08,1.437800278836221e-07
1913,3.0227042202568555e-08,2.5454349383835506e-07
1914,1.5402511266415786e-08,1.3929226838627073e-07
1915,3.180805663305364e-08,2.5799869263209985e-07
1916,3.84561182897869e-08,1.9557683117454872e-07
1917,2.7416060532914344e-08,2.0287885149627982e-07
1918,3.9053681177847466e-08,2.0216022278418677e-07
1919,3.498982437122322e-08,1.6482049147725775e-07
1920,2.3473917920568965e-08,1.4008628568262793e-07
1921,1.3630945261411398e-08,1.976487027377516e-07
1922,1.9920426197472807e-08,1.2394932014103688e-07
1923,1.2739137744688378e-08,1.1146745748646936e-07
1924,1.933743654092268e-08,1.5598865843458043e-07
1925,2.969508017258704e-08,2.1446446396566898e-07
1926,2.6750733184144337e-08,1.7165052668133285e-07
1927,2.4528294062520217e-08,2.0849050486049236e-07
1928,1.7139061725401916e-08,1.5653677110094577e-07
1929,2.4508894469477127e-08,1.982992330340494e-07
1930,3.991369368350206e-08,1.523022490346193e-07
1931,2.3951248095954725e-08,1.4028589134795766e-07
1932,3.1782654730250215e-08,1.0630750324480687e-07
1933,3.211785326584504e-08,1.0782422776856038e-07
1934,3.354842448288764e-08,1.845163382085957e-07
1935,1.6755597798123745e-08,1.3524160635824956e-07
1936,3.516167268458048e-08,9.457277627689109e-08
1937,1.0072894518486919e-08,1.2465207532841305e-07
1938,2.9819993585533666e-08,1.413208394751564e-07
1939,2.7529290846928234e-08,9.635251529971356e-08
1940,2.7893612752905028e-08,1.6989746143281081e-07
1941,2.9515025090631752e-08,1.2101160962174617e-07
1942,1.8205270180260413e-08,1.5474479653221351e-07
1943,1.7419411690866582e-08,1.451617634984359e-07
1944,2.2492303131116387e-08,1.0282195717081777e-07
1945,3.703456741277478e-08,1.3071024795863195e-07
1946,2.645009899993056e-08,1.0023195073927127e-07
1947,2.8610090296865565e-08,2.086152477431824e-07
1948,2.391815279167986e-08,9.567261116671943e-08
1949,3.435953033203987e-08,8.540797580280923e-08
