year,premières_ADJ ouvertures_NOUN,premières_ADJ couvertures_NOUN
1800,1.6978488304175698e-07,1.2576657937302116e-08
1801,2.643112679834303e-07,3.095537337571841e-08
1802,8.503792514602537e-08,2.2378401354217203e-09
1803,2.1648764914061758e-07,1.950339223455444e-09
1804,1.458392091535643e-07,2.4718509461507665e-09
1805,1.1655798459742073e-07,0.0
1806,3.7749865100522584e-07,0.0
1807,2.5053205376934784e-07,0.0
1808,3.0591999689022487e-07,4.5321479902327155e-09
1809,3.1174621994978224e-07,0.0
1810,2.1295153374012443e-07,0.0
1811,3.911039812010131e-07,0.0
1812,9.868670503010435e-08,0.0
1813,1.35159851311073e-07,0.0
1814,1.8250727862323401e-07,0.0
1815,3.02089047998777e-07,0.0
1816,1.8309070526356663e-07,2.3176038865813098e-09
1817,4.219126943372231e-07,4.981994905506326e-08
1818,2.7895555376744596e-07,4.768470951432846e-09
1819,2.4324967284883314e-07,1.1386155129855524e-08
1820,1.993568892189046e-07,2.3732962262101864e-09
1821,2.46537211978648e-07,9.86148829262845e-10
1822,3.288402155021686e-07,1.0025615893027862e-09
1823,2.935157965566759e-07,1.581229902569703e-08
1824,2.5010706039552133e-07,5.894778887238772e-09
1825,1.5937851571834472e-07,2.289415235168235e-08
1826,3.021138752501429e-07,2.6423952803611428e-08
1827,2.5347500809402845e-07,0.0
1828,4.2192585603118005e-07,4.586150570418113e-09
1829,3.7207585279475097e-07,0.0
1830,2.515277577330721e-07,1.0436835840010872e-09
1831,3.4924300607031e-07,1.5591206103948707e-09
1832,2.8142335217751224e-07,0.0
1833,1.7027933552071772e-07,0.0
1834,1.6335428654201678e-07,9.334530925997342e-10
1835,1.709257801962849e-07,2.2689263801112247e-09
1836,1.5860969532210945e-07,2.016224964762614e-09
1837,2.539630177267327e-07,0.0
1838,2.4869918213710207e-07,1.8936485712828244e-09
1839,2.0764680830342996e-07,1.3982950353153e-09
1840,2.9810143864494876e-07,0.0
1841,2.0995193938944112e-07,6.420548537278137e-09
1842,3.676129303187281e-07,0.0
1843,2.5635993772255006e-07,0.0
1844,2.3161728890386257e-07,2.7442805805577564e-09
1845,1.7187101963855866e-07,0.0
1846,1.9788214444815821e-07,5.854501328173001e-10
1847,2.497062530082417e-07,0.0
1848,2.1883002432332432e-07,8.045221711050488e-10
1849,1.5250535057020898e-07,6.703531951757213e-09
1850,2.525506488382234e-07,6.788996032014438e-10
1851,2.4636856110760164e-07,9.674158363282004e-09
1852,1.1588771187120983e-07,6.510545436100301e-10
1853,2.1260076810136752e-07,1.1943863675867306e-09
1854,2.0159177438472398e-07,1.0391328908454511e-09
1855,1.6239227562664382e-07,5.306937111981824e-10
1856,1.9725091249256366e-07,5.177189232874468e-10
1857,1.6108980105400406e-07,9.763018171682347e-10
1858,1.6687434900575226e-07,0.0
1859,2.8006952823567133e-07,0.0
1860,2.284014737341522e-07,0.0
1861,1.4902445588660385e-07,0.0
1862,1.766532595759429e-07,0.0
1863,2.811971466787355e-07,0.0
1864,2.694637157851787e-07,0.0
1865,1.7415324804481713e-07,1.4120533631256649e-09
1866,2.0094981767471154e-07,0.0
1867,1.8731852513553804e-07,4.85281148598915e-10
1868,2.0204084538733014e-07,4.93987406535723e-10
1869,1.841086665343994e-07,0.0
1870,1.800491267189841e-07,0.0
1871,1.8480848495983082e-07,1.0621177271019633e-09
1872,2.0863321026354242e-07,2.4189357183956872e-09
1873,1.2391029036162848e-07,0.0
1874,1.822255830674635e-07,0.0
1875,1.4532679415424354e-07,3.432916173551348e-09
1876,1.7412523334314756e-07,0.0
1877,1.5462039926195104e-07,0.0
1878,2.0230947395116772e-07,6.039088673581716e-10
1879,1.4784566459979942e-07,1.832797580370027e-09
1880,1.841921912770772e-07,3.2089231272180996e-09
1881,1.610649272287823e-07,2.091752326904839e-09
1882,2.2827971513095235e-07,6.655385131892899e-10
1883,1.5292800625843483e-07,0.0
1884,2.700094183794022e-07,0.0
1885,2.3913307800604855e-07,0.0
1886,2.258712319402889e-07,0.0
1887,1.801983131599627e-07,6.528924623161458e-10
1888,2.3713899377497683e-07,3.804368819970705e-09
1889,1.948457534761694e-07,1.8795409673089125e-09
1890,2.1629475810414078e-07,6.554386478008212e-10
1891,2.2883450156996332e-07,0.0
1892,1.266239517683232e-07,0.0
1893,2.1308120801144526e-07,4.926733243593162e-09
1894,1.3359263562051638e-07,0.0
1895,1.7273422958652418e-07,1.2037228991346183e-09
1896,2.1642096648122333e-07,5.307326134129653e-09
1897,1.322664004987928e-07,1.1653427112179315e-09
1898,1.4372220924485646e-07,5.6583548957434e-10
1899,1.7577698940840492e-07,7.738609753005221e-09
1900,1.3081453242858032e-07,6.748368974740515e-09
1901,1.3468861237431184e-07,0.0
1902,1.2717635300418806e-07,9.820567692386817e-10
1903,1.344654854129601e-07,0.0
1904,1.526393536011028e-07,3.2247751136083025e-09
1905,1.4759770716743503e-07,1.0321518084666081e-09
