year,grands_ADJ anneaux_NOUN,grands_ADJ canaux_NOUN
1800,4.087413785214267e-08,3.6157891258881136e-07
1801,4.524246932646747e-08,1.3334621939975477e-07
1802,4.699464284385613e-08,2.506380951672327e-07
1803,6.631153581793114e-08,1.2872239096850535e-07
1804,3.707776485839531e-08,3.114532070025433e-07
1805,2.842877711017877e-09,1.705726617728942e-07
1806,5.76333825108577e-09,7.204172902675055e-08
1807,1.0533734240425474e-07,2.306033621835013e-07
1808,6.118399653587403e-08,1.4049659391446312e-07
1809,7.454800510231507e-08,2.1686693685296632e-07
1810,3.510190182964834e-08,1.1232608443378922e-07
1811,3.760615285841595e-08,2.030732253466283e-07
1812,3.200649700829672e-08,2.3204711396829225e-07
1813,7.476928232108548e-08,2.5881675469463516e-07
1814,1.2586708564299443e-08,2.485874901481111e-07
1815,8.091670444798638e-09,7.012781111370714e-08
1816,1.367386346373678e-07,2.109019590079697e-07
1817,3.7364962679475866e-08,1.0742426326260102e-07
1818,4.2916237674717195e-08,2.610737794839224e-07
1819,5.2790355198339967e-08,2.1530183968998529e-07
1820,5.6959109429044474e-08,1.910503506508121e-07
1821,4.141825016290568e-08,1.6863144636225513e-07
1822,1.804610860745015e-08,1.6241497746705136e-07
1823,3.360113609574e-08,1.5614645576533803e-07
1824,6.568468080558887e-08,2.1810681971601298e-07
1825,3.6982861217893515e-08,1.8403376600417687e-07
1826,8.191425138193154e-08,1.6206691100251192e-07
1827,8.019027575301152e-08,1.9264101069893513e-07
1828,7.704733206992387e-08,6.787502826455238e-08
1829,5.744027831156018e-08,2.666257614691858e-07
1830,1.3046044955444813e-07,1.753388403358258e-07
1831,2.182768810143898e-08,1.9644919291295082e-07
1832,8.659180394943178e-08,1.1500473950931678e-07
1833,1.0656938087549861e-07,2.617900065615686e-07
1834,6.16079063320285e-08,2.2589564596664502e-07
1835,9.15133639978194e-08,1.9058981592934288e-07
1836,6.51912728244497e-08,1.8078817942690506e-07
1837,5.0096815584765864e-08,1.5168202771587147e-07
1838,9.341999884782126e-08,1.805278344590988e-07
1839,6.082583325905944e-08,1.9715960108968034e-07
1840,5.223144583510475e-08,1.7898824467010854e-07
1841,2.953452238330101e-08,1.996790524039227e-07
1842,3.4212153110502186e-08,1.9386886318528695e-07
1843,5.316219997553162e-08,2.5931339564522204e-07
1844,5.982531803283564e-08,1.992347762325153e-07
1845,5.747634901354104e-08,1.9977215970357065e-07
1846,9.250111787650894e-08,2.6111074746815177e-07
1847,4.422443566909351e-08,1.7851570532911865e-07
1848,6.516629724728773e-08,1.9871697531925747e-07
1849,7.0387088157986e-08,2.7400687940826174e-07
1850,5.295417082606946e-08,1.4460562169915647e-07
1851,4.1921353499674296e-08,2.0380226972704918e-07
1852,4.296959943417278e-08,2.109416783468987e-07
1853,6.688563303214323e-08,1.7617199055131039e-07
1854,4.000661490977109e-08,9.767849462605227e-08
1855,3.6087172361476405e-08,1.3001996279626837e-07
1856,3.727576114442854e-08,1.4289042726822743e-07
1857,3.124165814938351e-08,1.3961115996607987e-07
1858,4.3553715300959084e-08,1.9574704124281084e-07
1859,2.5970084749360467e-08,1.41053206448305e-07
1860,2.5174511364411956e-08,1.1214100226197843e-07
1861,1.839225838295988e-08,6.508030025997869e-08
1862,4.834245359575107e-08,1.0843167075336169e-07
