year,des_DET ouvertures_NOUN,des_DET couvertures_NOUN
1800,1.7418671767188698e-06,7.577436491601475e-07
1801,1.6882584645827592e-06,7.286418979290943e-07
1802,2.1348994607706118e-06,6.422601188660337e-07
1803,1.7475039477687915e-06,1.02197770956991e-06
1804,2.306237007587697e-06,7.440271203584814e-07
1805,1.7881700880018059e-06,4.832891951078722e-07
1806,1.971061725392076e-06,6.685472246914514e-07
1807,1.2811297906978325e-06,4.5266586790049246e-07
1808,1.2667354170048384e-06,5.211970344198846e-07
1809,2.0715310213859084e-06,1.0233407987669807e-06
1810,1.5164021611724365e-06,5.42909387224455e-07
1811,1.917913714066799e-06,5.866559558143081e-07
1812,1.9363931365035114e-06,7.97495285809191e-07
1813,2.0101434508035254e-06,8.339650983124614e-07
1814,2.4858749725353846e-06,5.538151839346028e-07
1815,1.5778757811446553e-06,3.964918595666944e-07
1816,1.6454987097347384e-06,6.002594243881276e-07
1817,1.9818999206222543e-06,6.896949074075565e-07
1818,1.4543836348579475e-06,6.330145083666139e-07
1819,1.767959375342798e-06,3.384793432203992e-07
1820,1.8464244249116746e-06,5.494180648213387e-07
1821,1.7415388526842435e-06,3.737503981859902e-07
1822,1.683300908439378e-06,4.3811941452531755e-07
1823,2.078329131904866e-06,6.63128270517177e-07
1824,1.9284347700931903e-06,4.075818500481887e-07
1825,1.9002146629532035e-06,5.468180281908985e-07
1826,1.5237813446589143e-06,4.588959949813898e-07
1827,1.9457663427147054e-06,4.0556002822711434e-07
1828,1.9867204201773347e-06,3.485474397990629e-07
1829,2.0952842305632657e-06,3.24066067314277e-07
1830,1.653194843243e-06,4.811381373315271e-07
1831,1.8506761865211274e-06,5.160689136030072e-07
1832,2.0335543773342124e-06,7.53619314508569e-07
1833,1.972691844542851e-06,5.606475976804859e-07
1834,1.6998180676353059e-06,5.507373206370403e-07
1835,2.174387887521334e-06,5.233657134340319e-07
1836,1.7904077793673423e-06,4.0190085037750123e-07
1837,2.3079323980823574e-06,4.877481644127712e-07
1838,2.0653394123826274e-06,4.847740413538304e-07
1839,2.084857868567269e-06,5.320512777018394e-07
1840,1.975877388815661e-06,4.3887155776189957e-07
1841,1.775923770708232e-06,5.136438825381617e-07
1842,1.762932100746184e-06,3.803586423600791e-07
1843,1.8990718828604258e-06,4.0639549059307e-07
1844,1.96216060999177e-06,4.950682317428345e-07
1845,1.8610060052992594e-06,4.670650790572495e-07
1846,1.7089289201521751e-06,4.4435665103037536e-07
1847,1.4507771766147926e-06,4.632779209146065e-07
1848,1.6090442969129981e-06,5.87301208554436e-07
1849,1.759677182633368e-06,5.371205133997137e-07
1850,1.7590288834412604e-06,4.6708292344987967e-07
1851,1.8871058387048834e-06,5.81739378446855e-07
1852,1.534535524427838e-06,4.2058123028709815e-07
1853,1.6118244161589246e-06,4.879068349339377e-07
1854,1.6880713715750062e-06,4.3072057387405494e-07
1855,1.8001130399625254e-06,5.269788729833635e-07
1856,1.5314125292320568e-06,4.5766352974041524e-07
1857,1.5083863189602198e-06,5.130465823288688e-07
1858,1.5165502134095732e-06,4.350478044479189e-07
1859,1.719626986584899e-06,4.980145380528711e-07
1860,1.6569405190125508e-06,5.437694277077298e-07
1861,1.8297938737532604e-06,5.022501419205128e-07
1862,1.5695484663069692e-06,5.145986339272213e-07
1863,1.6936759266172885e-06,4.500153369946247e-07
1864,1.6786343053354358e-06,4.4590969050517515e-07
1865,1.477949169270687e-06,5.361095620770584e-07
1866,1.5209905797064494e-06,6.427474659176369e-07
1867,1.7111013050907786e-06,4.784872142948871e-07
1868,1.582735649208189e-06,5.438801133905713e-07
1869,1.53782015388515e-06,4.7565476402056106e-07
1870,1.7385635899813678e-06,4.4266855780961123e-07
1871,1.7227549236054074e-06,7.052461654666331e-07
1872,1.5571898686062013e-06,5.436557861671076e-07
1873,1.5120647773869678e-06,5.584942193159748e-07
1874,1.8126963681197594e-06,4.725915965231309e-07
1875,1.5791415250987484e-06,5.681476551444575e-07
1876,1.3778867824498775e-06,4.85494992652491e-07
1877,1.5363082610519996e-06,5.312756705677657e-07
1878,1.6770549748912345e-06,4.58366842703839e-07
1879,1.3214470406808232e-06,4.698071274233939e-07
1880,1.4600600124481389e-06,5.15353047347844e-07
1881,1.5994932738294665e-06,4.859837940962564e-07
1882,1.3836545420531365e-06,4.685391052916543e-07
1883,1.3946781152185395e-06,5.042832689206023e-07
1884,1.512448726259663e-06,5.763281523130104e-07
1885,1.5894937703819778e-06,4.705314062825039e-07
1886,1.720493465029449e-06,5.730676013726566e-07
1887,1.4539915405009651e-06,4.890164557735943e-07
1888,1.495751046576288e-06,4.64767043517611e-07
1889,1.349510416304156e-06,5.081026070996586e-07
1890,1.4544183173370584e-06,5.944828771475841e-07
1891,1.686618674057172e-06,4.40458602035676e-07
1892,1.4442652584989446e-06,6.074188405591485e-07
1893,1.3086635206605024e-06,4.840515548387714e-07
1894,1.269760176114687e-06,5.942351357646203e-07
1895,1.3903000066761706e-06,4.92322689282787e-07
1896,1.2330688008432844e-06,5.100930344781318e-07
1897,1.2422553083979437e-06,4.964360047488015e-07
1898,1.225599689291812e-06,4.730384759454864e-07
1899,1.1646607624982153e-06,5.052206830669093e-07
1900,1.2686933743566442e-06,4.827679611629776e-07
1901,1.1373084021215618e-06,5.275769447976586e-07
1902,5.524560265257605e-06,4.4585378056183345e-07
1903,1.129186046000541e-06,4.2283724788205745e-07
1904,1.2442256860367706e-06,4.014844900979142e-07
1905,1.2442590282546462e-06,4.541467912844155e-07
1906,1.191907500697198e-06,4.568035869567666e-07
1907,1.0275400548209745e-06,4.700558964287893e-07
1908,1.12176127231578e-06,3.884908732487702e-07
1909,9.896269439479966e-07,4.472299639513011e-07
1910,1.284733826878437e-06,4.307385466084668e-07
1911,1.1108941002646588e-06,4.7457738361345037e-07
1912,1.218483610898602e-06,4.4019610712098256e-07
1913,1.0303708464221017e-06,4.41739049339418e-07
1914,1.078845407675999e-06,4.6408434339895166e-07
1915,1.0048990475297614e-06,7.928452765426641e-07
1916,1.1317086219264638e-06,6.7243270152062e-07
1917,9.946546573047499e-07,6.645653201076129e-07
1918,1.1187730102335536e-06,6.420884393065762e-07
1919,1.041407699631236e-06,4.926198657884129e-07
1920,1.032852459559308e-06,4.111721825239556e-07
1921,8.769241475192757e-07,4.543648586263771e-07
1922,1.0048747682844805e-06,5.72527802944478e-07
1923,9.204026980569324e-07,4.2569951652637883e-07
1924,8.895220595661613e-07,5.943038896560893e-07
1925,8.413606202850588e-07,4.509252953255327e-07
1926,8.783157312564072e-07,5.372438911521726e-07
1927,8.295023228299669e-07,4.816464920232022e-07
1928,9.175111070902631e-07,4.913197946265768e-07
1929,1.0260313807464172e-06,3.921423044062067e-07
1930,8.823027179971632e-07,5.115254761989263e-07
1931,1.203265075133686e-06,4.687601462549651e-07
1932,9.07449656750714e-07,3.5508898843517045e-07
1933,9.061822936473618e-07,3.647670450135365e-07
1934,8.279271668243382e-07,4.6967793743135644e-07
1935,8.6650379316211e-07,4.296614113385999e-07
1936,7.735567884026295e-07,3.9041582056142943e-07
1937,8.373093578484259e-07,4.5202115384057606e-07
1938,7.753197976967385e-07,3.8506686195205475e-07
1939,7.952906067032472e-07,4.1905698644484346e-07
1940,1.0523499049952534e-06,4.361546563913521e-07
1941,1.044831904550847e-06,6.050580569905151e-07
1942,8.313740238463652e-07,5.52226534722422e-07
1943,8.651641119072906e-07,6.59034414596249e-07
1944,9.864481160803962e-07,7.29393253351418e-07
1945,7.406914050989144e-07,7.69011924361962e-07
1946,7.587001995545961e-07,6.097443581154494e-07
1947,8.511501583541303e-07,6.031960904095968e-07
1948,8.382225402669974e-07,5.218506136106527e-07
1949,7.725985327056151e-07,4.240947575340215e-07
1950,7.689366476881787e-07,4.4774872254293996e-07
1951,8.113326899206186e-07,5.000197589311028e-07
1952,8.19331258838929e-07,4.1968318420515516e-07
1953,8.112691993744647e-07,4.869770071636026e-07
1954,7.876663890016289e-07,5.198989168064827e-07
1955,8.165478533328496e-07,4.842973755359026e-07
1956,7.93623861738979e-07,4.979771617286133e-07
1957,8.057554126139621e-07,5.389372814690319e-07
1958,8.363237924413625e-07,4.905440480484913e-07
1959,8.153786978937205e-07,5.115493841856278e-07
1960,7.945116600183155e-07,4.6577207335474213e-07
1961,7.205241132623996e-07,4.849815304908134e-07
1962,7.902077925336926e-07,4.826228883203498e-07
1963,7.552350140827002e-07,5.489679448800189e-07
1964,7.458945354699154e-07,4.842838858820642e-07
1965,8.815461676192626e-07,4.284610071181305e-07
1966,8.003963127833913e-07,4.974089033993323e-07
1967,7.671602126890775e-07,5.186713156746237e-07
1968,7.846503660147164e-07,5.025894438404066e-07
1969,7.902658438752042e-07,4.941432765193099e-07
1970,8.043170076632578e-07,4.911438331589579e-07
1971,7.25541749346803e-07,5.045906306122561e-07
1972,7.997898947564863e-07,5.391784636543662e-07
1973,6.946636830207353e-07,4.890211755537166e-07
1974,5.968731748851042e-07,4.6692245270207877e-07
1975,6.648162944600244e-07,4.906161610307436e-07
1976,6.90194074337569e-07,5.073611584194282e-07
1977,6.405692474231728e-07,4.454600617265214e-07
1978,6.879204956788953e-07,5.192076848459237e-07
1979,8.040611199078285e-07,5.313592055244953e-07
1980,7.100753016686667e-07,5.469114841005762e-07
1981,6.901174494089446e-07,5.370391491510418e-07
1982,8.094583243689613e-07,4.90392695340347e-07
1983,7.445757574942036e-07,5.95534325853464e-07
1984,7.36474092377648e-07,5.741018593852232e-07
1985,7.597649620549873e-07,5.660640169935505e-07
1986,7.34923915501895e-07,5.814651116153868e-07
1987,7.607966825418089e-07,4.77254790354209e-07
1988,7.315795436113604e-07,5.163032579247329e-07
1989,6.915034198584635e-07,5.74057557933827e-07
1990,7.388370857341897e-07,5.464996952753154e-07
1991,6.975143467258249e-07,5.263595515003772e-07
1992,7.146397607016297e-07,5.350155838357296e-07
1993,7.394841876617875e-07,6.203912477076301e-07
1994,7.036752229794274e-07,5.976491745940393e-07
1995,6.794331124382325e-07,5.471252730870901e-07
1996,7.254467533357456e-07,6.368344127594128e-07
1997,7.024520236598164e-07,5.485359091395026e-07
1998,6.870874145192829e-07,5.397522135908162e-07
1999,8.157809077147249e-07,5.767593833638784e-07
2000,7.18813726763301e-07,5.725768748021665e-07
2001,7.001176278720322e-07,5.353840624167105e-07
2002,7.084435047488569e-07,5.257465964803032e-07
2003,6.900424143196915e-07,6.254551045969947e-07
2004,7.360406080181292e-07,6.43099529185065e-07
2005,7.485231918735735e-07,6.480895677896115e-07
2006,7.403965831542791e-07,5.896818429107498e-07
2007,6.822570934872374e-07,6.586896734717129e-07
2008,6.173287623312262e-07,6.982201359306828e-07
2009,6.5085829348277e-07,7.438380293933733e-07
2010,6.471596627477538e-07,9.28697682311963e-07
2011,6.015107700818589e-07,1.0416499804932755e-06
2012,5.998293257647447e-07,1.2306373342596544e-06
2013,5.530834954470265e-07,1.2631947008401312e-06
2014,5.515388821208944e-07,1.3761403643286485e-06
2015,6.011352606805076e-07,1.1801047925530384e-06
2016,6.209877554397281e-07,1.2092483352432737e-06
2017,5.114237637826591e-07,1.149131279021276e-06
2018,5.170677717103445e-07,1.3550118964644753e-06
2019,5.441257080462947e-07,1.2344229887162328e-06
