year,comptes_NOUN ouverts_ADJ
1800,2.2009151834367913e-08
1801,7.143547975374531e-09
1802,3.1329761895904085e-08
1803,0.0
1804,9.887403784603066e-09
1805,1.7057265822018053e-08
1806,1.0950342499427279e-07
1807,1.4234775136401367e-08
1808,1.9261629491396093e-07
1809,1.581321384946932e-08
1810,1.3104709584155216e-07
1811,8.273353113708026e-08
1812,1.0935553973467904e-07
1813,2.0130190847567064e-08
1814,9.440030979135372e-09
1815,5.66416948899473e-08
1816,2.5493642752394408e-08
1817,4.670620223912181e-09
1818,3.9339884239097955e-08
1819,1.6561680027393777e-08
1820,1.0679833017945839e-08
1821,7.88919063410276e-09
1822,2.606660132187244e-08
1823,4.150728438734319e-08
1824,7.242156829789792e-08
1825,1.1447076175841175e-08
1826,8.80798456392995e-09
1827,1.935627302884768e-08
1828,2.5682442839070063e-08
1829,3.3435386015412405e-08
1830,2.7135772739939057e-08
1831,1.7150327380477393e-08
1832,1.7994858581005246e-07
1833,1.8533804935216835e-08
1834,6.534171603789218e-08
1835,5.142899794918776e-08
1836,2.8227150394855016e-08
1837,2.7831563942370963e-08
1838,4.986607948787025e-08
1839,2.586845759822154e-08
1840,3.312238161523595e-08
1841,1.6693427085101575e-08
1842,2.683306021822318e-08
1843,2.7762482091020502e-08
1844,4.061535463506516e-08
1845,2.9575208060350633e-08
1846,3.4541557836220704e-08
1847,4.961765753819236e-08
1848,4.103063133698015e-08
1849,6.284561138159006e-08
1850,8.350465385831285e-08
1851,8.061798384417784e-08
1852,4.296960143257422e-08
1853,2.2693341650281695e-08
1854,7.118060096900081e-08
1855,3.078023524949458e-08
1856,4.245295259774906e-08
1857,2.880090299584026e-08
1858,4.502181999432864e-08
1859,3.666364989385329e-08
1860,2.5632229755379043e-08
1861,3.5369729312062503e-08
1862,4.879425244408431e-08
1863,8.840479037708349e-08
1864,2.2055748449822943e-08
1865,2.635832907493807e-08
1866,2.2381820230510385e-08
1867,2.4749338578544666e-08
1868,2.4699369993719245e-08
1869,8.301982434844035e-09
1870,2.981705460314288e-08
1871,1.274541272522356e-08
1872,2.1165687646984566e-08
1873,1.3169209722718733e-08
