year,trois_DET arrières_NOUN,trois_DET carrières_NOUN
1800,0.0,3.144164484325529e-09
1801,0.0,1.904946111963568e-08
1802,0.0,1.5664880947952042e-08
1803,5.851017448321727e-09,1.950339267864365e-08
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,5.76333825108577e-09
1807,0.0,2.562259560079383e-08
1808,2.2660739951163578e-09,1.5862518409903714e-08
1809,0.0,2.4849335034105025e-08
1810,0.0,3.042164919975221e-08
1811,0.0,7.521229861140455e-09
1812,0.0,2.400487453257938e-08
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,2.4275012222574333e-08
1816,0.0,9.270415546325239e-09
1817,0.0,3.269434145636296e-08
1818,0.0,2.384235475716423e-09
1819,0.0,6.210629899250364e-09
1820,0.0,5.933240565525466e-09
1821,0.0,1.1833785507064931e-08
1822,1.0025615893027862e-09,1.303330066093622e-08
1823,0.0,3.854247943024802e-08
1824,0.0,5.052667617633233e-09
1825,0.0,1.4088708866211164e-08
1826,0.0,1.6735170138559852e-08
1827,0.0,1.1982454806158671e-08
1828,0.0,1.192399179394954e-08
1829,0.0,1.714635211591542e-09
1830,0.0,2.0873671680021744e-09
1831,0.0,2.182768810143898e-08
1832,0.0,4.7354892007689386e-08
1833,0.0,4.6334513115198206e-08
1834,0.0,9.334531370086552e-09
1835,0.0,1.5126175867408165e-08
1836,0.0,6.048674894287842e-09
1837,0.0,3.061472142462662e-08
1838,0.0,1.64116205070286e-08
1839,0.0,2.6567605004856887e-08
1840,0.0,1.9109065441114126e-09
1841,0.0,1.2841097074556274e-08
1842,0.0,2.1466448618667755e-08
1843,0.0,4.1348376944583265e-09
1844,0.0,1.591682796675542e-08
1845,0.0,2.7343117658951144e-08
1846,0.0,1.8734404250153602e-08
1847,0.0,1.7797638030003782e-08
1848,0.0,2.25266200692964e-08
1849,0.0,1.4245005175439474e-08
1850,0.0,1.765139057141596e-08
1851,0.0,1.7413484876271923e-08
1852,0.0,1.9531636752390114e-08
1853,0.0,1.1346670714118545e-08
1854,0.0,9.352195906586758e-09
1855,5.306937111981824e-10,6.8990182455763716e-09
1856,0.0,1.1907535402144731e-08
1857,0.0,1.9037886156425543e-08
1858,0.0,2.3979013219488365e-08
1859,0.0,1.0693564256314403e-08
1860,0.0,7.781212646440494e-09
1861,0.0,3.3011746669586728e-09
1862,0.0,1.0391368432394188e-08
1863,0.0,4.495158689721279e-09
1864,0.0,1.0068928801842958e-08
1865,0.0,7.060266704606022e-09
1866,0.0,1.0704348518686402e-08
1867,0.0,1.747012134956094e-08
1868,0.0,1.7783547412442147e-08
1869,0.0,1.31855019125382e-08
1870,0.0,8.601073187008978e-09
1871,0.0,5.310588635509816e-09
1872,0.0,6.652073114565837e-09
1873,0.0,1.3767810336240416e-08
1874,0.0,3.5847653734322193e-09
1875,0.0,3.490131450512024e-08
1876,0.0,1.51150369998021e-08
1877,0.0,4.9478527941460015e-09
1878,0.0,1.4493813038640724e-08
1879,0.0,1.2218650313755575e-08
1880,0.0,1.4761046385203258e-08
1881,0.0,1.0458761079412682e-08
1882,0.0,4.6587693702804245e-09
1883,0.0,1.3902545337174388e-08
1884,0.0,4.621187876807653e-09
1885,0.0,1.2891271272685856e-08
1886,0.0,2.0005738787798322e-08
1887,6.528924623161458e-10,1.3710741486594458e-08
1888,0.0,1.141310668195672e-08
1889,0.0,1.0650732740202784e-08
1890,0.0,1.9663159989136147e-09
1891,0.0,1.4023283867459213e-08
1892,0.0,7.522215073052507e-09
