year,foyers_NOUN ouverts_ADJ,foyers_NOUN couverts_ADJ
1800,3.144164484325529e-09,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,2.4718509461507665e-09,0.0
1805,2.842877711017877e-09,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,2.4926814390369145e-08,0.0
1809,0.0,0.0
1810,0.0,1.1700633351097167e-08
1811,0.0,0.0
1812,0.0,0.0
1813,2.8757416448144113e-09,0.0
1814,0.0,9.440030979135372e-09
1815,0.0,0.0
1816,0.0,0.0
1817,1.401186100480345e-08,0.0
1818,2.384235475716423e-09,0.0
1819,2.070210003424222e-09,5.175524897538253e-09
1820,3.5599443393152796e-09,0.0
1821,9.86148829262845e-10,0.0
1822,1.0025615893027862e-09,0.0
1823,0.0,0.0
1824,2.5263338088166165e-09,8.421112696055388e-10
1825,8.805443041381977e-10,8.805443041381977e-10
1826,1.7615968683770689e-09,0.0
1827,1.6591091167583727e-08,0.0
1828,2.5682442839070063e-08,0.0
1829,8.57317605795771e-10,0.0
1830,8.349468672008697e-09,0.0
1831,0.0,0.0
1832,2.705993873419743e-09,0.0
1833,4.6334514003376626e-09,2.3167257001688313e-09
1834,0.0,0.0
1835,5.294161553592858e-09,4.5378527602224494e-09
1836,0.0,0.0
1837,0.0,0.0
1838,0.0,1.3886756633496589e-08
1839,0.0,0.0
1840,5.095750932326837e-09,0.0
1841,3.2102742686390684e-09,1.926164561183441e-09
1842,3.3541325272778977e-09,0.0
1843,1.1813821920725331e-08,0.0
1844,5.488561161115513e-09,1.097712254427563e-09
1845,1.3392547515422848e-08,0.0
1846,5.269050973311096e-09,0.0
1847,7.011190739092399e-09,2.6966118227278457e-09
1848,7.24069959545659e-09,0.0
1849,8.379414495607307e-09,0.0
1850,8.82569484161877e-09,0.0
1851,1.096404567135778e-08,0.0
1852,1.3672145193766028e-08,0.0
1853,1.1943863675867306e-08,0.0
1854,8.313063126763609e-09,0.0
1855,1.0613874223963649e-08,0.0
1856,1.1907535402144731e-08,5.177189232874468e-10
1857,6.8341128311999455e-09,0.0
1858,3.4255731584664773e-09,4.893676019968041e-10
1859,6.110608019582742e-09,5.092173349652285e-10
1860,6.408057640072684e-09,0.0
1861,1.839225838295988e-08,4.715963730639317e-10
1862,4.9697850279528666e-09,4.517986262886353e-10
1863,1.5982786649715308e-08,2.4973103585068657e-09
1864,1.821996598039277e-08,2.3973640850272204e-09
1865,1.835669216632141e-08,4.706844358715045e-10
1866,3.454585240092456e-08,2.432806400776144e-09
1867,1.358787216076962e-08,4.85281148598915e-09
1868,6.915823469455518e-09,4.93987406535723e-10
1869,9.278686263769487e-09,2.9301114867763545e-09
1870,3.4404292748035914e-09,5.734048791339319e-10
1871,8.496941816815706e-09,1.0621177271019633e-09
1872,1.3908880269752899e-08,0.0
1873,5.686704085405836e-08,0.0
1874,3.5847653734322193e-09,1.1949218281515073e-09
1875,1.830888685105947e-08,2.2886108563824337e-09
1876,4.836811839936672e-09,6.04601479992084e-10
1877,2.8450154232473324e-08,0.0
1878,1.6305540029293297e-08,4.831270938865373e-09
1879,1.5273313280772527e-08,6.10932526790009e-10
1880,1.5402831010646878e-08,0.0
1881,1.3945014920579979e-08,6.972507571312292e-10
1882,1.9300616216355593e-08,6.655385131892899e-09
1883,1.3270612164717477e-08,1.8958017378167824e-09
1884,1.1222884843675729e-08,1.9805090900604227e-09
1885,7.7347630522695e-09,0.0
1886,1.936039106809062e-09,0.0
1887,1.697520346510828e-08,0.0
1888,1.268122939990235e-09,3.1703073499755874e-09
1889,9.397704836544563e-09,6.265136742733546e-10
1890,9.831579994568074e-09,6.554386478008212e-10
1891,1.529812720946211e-08,1.2748440081367107e-09
1892,1.8805537127519756e-09,0.0
1893,4.310891643655168e-09,1.2316833108982905e-09
1894,1.0082462864602348e-08,0.0
1895,1.2037228991346183e-08,3.0093072478365457e-09
1896,2.4767521367152767e-08,1.179405795248556e-09
1897,1.5149455023788505e-08,0.0
