year,plus_ADV ouvert_ADJ,plus_ADV couvert_ADJ
1800,5.659496196130931e-07,9.746909768182377e-08
1801,5.429096177067549e-07,1.5953922627431893e-07
1802,4.2295178559470514e-07,1.4993528907325526e-07
1803,5.304922865434492e-07,2.1258696847326064e-07
1804,2.076354803648428e-07,7.168367943677367e-08
1805,5.117179853186826e-07,1.847870549909203e-07
1806,3.486819650788675e-07,1.123850950079941e-07
1807,2.4768510797912313e-07,1.708173016368164e-07
1808,3.172503681980743e-07,1.4049658147996524e-07
1809,3.7499907534765953e-07,2.3268013649158092e-07
1810,2.2465216886757844e-07,1.6848912309797015e-07
1811,2.1059445032278745e-07,8.524060746140094e-08
1812,2.5605197606637375e-07,1.2802598803318688e-07
1813,3.537162172051467e-07,1.3803560250380542e-07
1814,3.0522767247020965e-07,9.44003133440674e-08
1815,4.099779857824615e-07,1.2407228666688752e-07
1816,4.936496225127485e-07,9.965696534663948e-08
1817,3.752064969830826e-07,1.7904044113947748e-07
1818,2.3484719235966622e-07,1.323250700124845e-07
1819,2.5049541818589205e-07,8.073818946741085e-08
1820,2.990353209497698e-07,1.483310114736014e-07
1821,3.204983727300714e-07,1.065040748926549e-07
1822,3.6493241850621416e-07,1.5740216952053743e-07
1823,3.9333093582172296e-07,1.9765373338032077e-07
1824,2.501070355265256e-07,9.010590673597108e-08
1825,1.9107811510821193e-07,1.1447075820569808e-07
1826,2.7304750460643845e-07,9.600702810530493e-08
1827,2.7467473273645737e-07,1.1060727445055818e-07
1828,2.302247565921789e-07,1.2566052021156793e-07
1829,2.4776477403065655e-07,1.217391059071815e-07
1830,3.1832348668103805e-07,1.0958677876260481e-07
1831,2.806417001011141e-07,7.951515357262906e-08
1832,3.1930727573126205e-07,1.2582871988797706e-07
1833,3.0233269399104756e-07,5.79181431703546e-08
1834,2.847031908004283e-07,5.880754372356023e-08
1835,3.2521279536013026e-07,1.285724948729694e-07
1836,3.071382650432497e-07,1.25005954032531e-07
1837,2.734451243213698e-07,8.836521203647862e-08
1838,3.547434914707992e-07,8.963269948480956e-08
1839,2.726675347730634e-07,1.1186359927251033e-07
1840,3.1657353360969864e-07,8.089504888175725e-08
1841,3.191012751813105e-07,6.292137300079048e-08
