year,soixante - dix couverts
1800,3.4447684704730364e-09
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,6.244470274197056e-09
1806,2.5279453197413204e-08
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,2.8323588807666056e-08
1814,1.719689457502227e-08
1815,0.0
1816,7.599422424675595e-09
1817,0.0
1818,1.3033228718484224e-08
1819,0.0
1820,1.2948726535455535e-09
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,9.610704454487973e-10
1826,0.0
1827,0.0
1828,1.0023107899215233e-09
1829,2.8096480697570314e-09
1830,0.0
1831,0.0
1832,2.3722035891182713e-08
1833,5.069511921362846e-09
1834,1.0228743407836305e-09
1835,0.0
1836,7.343489705213813e-10
1837,9.109185405975495e-09
1838,1.3764486217482386e-09
1839,2.2927735265909632e-09
1840,0.0
1841,7.01979030459654e-10
1842,4.401124797936973e-09
1843,0.0
1844,0.0
1845,3.0502023129486133e-09
1846,0.0
1847,1.7671799579233038e-09
1848,4.40450831362682e-09
1849,1.37613174189255e-08
1850,7.430066562008619e-10
1851,7.05856872951216e-10
1852,3.5667659936677865e-09
1853,5.883337816925405e-09
1854,3.978228857448585e-09
1855,5.236008959741412e-09
1856,4.536912179275987e-09
1857,1.4979152140881524e-08
1858,1.0185877030721713e-08
1859,1.6722780937783455e-09
1860,5.017982140920196e-10
1861,5.163843797006962e-10
1862,9.407061796196103e-09
1863,6.579135902740063e-09
1864,5.249539469787123e-09
1865,3.6117238089161674e-09
1866,3.2035836206034674e-09
1867,3.1939990652318784e-09
1868,0.0
1869,6.964506304996121e-09
1870,6.283288334074655e-10
1871,0.0
1872,0.0
1873,0.0
1874,1.3110328378473923e-09
1875,1.2573940777471648e-09
1876,7.304914451111699e-09
1877,6.807560071209195e-10
1878,1.329367504965262e-09
1879,6.720529133197317e-10
1880,0.0
1881,0.0
1882,1.2456976783425944e-08
1883,9.056591920852952e-09
1884,1.454968479031038e-09
1885,6.391875473354958e-09
1886,4.978023770974005e-09
1887,6.482361758486377e-09
1888,1.397803872649206e-09
1889,6.91406210062695e-10
1890,7.951872049716258e-09
1891,7.729927808952652e-09
1892,6.917188488664294e-10
1893,5.434353411715165e-09
1894,2.7835238558537867e-09
1895,2.656783015808628e-09
1896,7.80522491083957e-09
1897,7.0860255441118625e-09
1898,1.872777710687501e-09
1899,1.830123053103705e-09
1900,8.604006396240038e-09
1901,4.93387686262281e-09
1902,4.325722002818111e-09
1903,3.5765954642386077e-09
1904,5.9352265324719156e-09
1905,7.977054572450015e-09
1906,1.1351314332941342e-09
1907,0.0
1908,5.424864446545996e-10
1909,3.0330327138727853e-09
1910,1.1796716936629537e-09
1911,5.871810260238419e-10
1912,4.023405164588212e-09
1913,1.1702200319874123e-09
1914,1.4773187118066744e-09
1915,0.0
1916,1.2093360757248206e-09
1917,1.206102329120995e-09
1918,0.0
1919,4.053978486240339e-09
1920,0.0
1921,0.0
1922,0.0
1923,2.346282945708822e-09
1924,1.424905637925633e-09
1925,1.2185186193391928e-09
1926,0.0
1927,1.2342680211219204e-09
1928,0.0
1929,4.937050768205609e-09
1930,1.1625793661096395e-09
1931,0.0
1932,3.6386460511295127e-09
1933,7.612786845356823e-09
1934,6.637088212357867e-09
1935,1.3263738996016627e-09
1936,1.342229327683242e-09
1937,1.394759063799711e-08
1938,1.4344111454178687e-09
1939,0.0
1940,0.0
1941,1.3123854003538327e-08
1942,0.0
1943,1.284549089319853e-08
1944,3.5494505112865227e-09
1945,0.0
1946,7.698679027612343e-09
1947,0.0
1948,0.0
1949,3.244822410763959e-09
1950,0.0
1951,0.0
1952,0.0
1953,0.0
1954,1.0806723294010112e-09
1955,0.0
1956,3.858756425501042e-09
1957,9.778776677293877e-10
1958,4.57445903379039e-09
1959,0.0
1960,3.826682970498041e-09
1961,7.66812890962143e-10
1962,2.7977031802350893e-09
1963,0.0
1964,2.6845252687479615e-09
1965,6.033863408916318e-10
1966,1.8331725026854429e-09
1967,0.0
1968,1.4822802985037242e-09
1969,0.0
1970,1.0115754900397178e-09
1971,5.666332403286845e-10
1972,3.3918023945034292e-09
1973,6.093281434971232e-10
1974,3.1096449859546738e-09
1975,6.315566958292607e-10
1976,0.0
1977,6.494660920175477e-10
1978,1.3086939310014145e-09
1979,6.441445155047631e-10
1980,3.757000488491258e-09
1981,0.0
1982,6.818714481937604e-10
1983,6.941931474102603e-10
1984,1.2736263155233019e-09
1985,6.608413816167058e-10
1986,1.316708742038486e-09
1987,1.3427359224493784e-09
1988,1.3171627122332552e-09
1989,6.027806587205475e-10
1990,0.0
1991,1.2859849851665217e-09
1992,0.0
1993,0.0
1994,4.04135924725324e-09
1995,2.3715431840543033e-09
1996,0.0
1997,0.0
1998,1.5607679593188095e-09
1999,9.970285708149618e-10
2000,1.4452057328639967e-09
2001,9.554933511068953e-10
2002,9.54669232555716e-10
2003,9.075864504382025e-10
2004,4.31698810032799e-09
2005,4.904935346772277e-10
2006,1.7949673969397395e-09
2007,2.61781440968889e-09
2008,1.3946513943707828e-09
2009,4.172557410697664e-09
2010,4.141490261844183e-09
2011,2.9374986887376053e-09
2012,2.249739061710443e-09
2013,2.7721749340514634e-09
2014,1.1975775926487131e-09
2015,2.2062749405193927e-09
2016,4.126478270194411e-09
2017,1.3945099519574455e-09
2018,1.43249689887881e-09
2019,5.665002356103344e-10
