year,murs_NOUN ouverts_ADJ,murs_NOUN couverts_ADJ
1800,0.0,1.5720821977538435e-08
1801,0.0,2.3811825400343878e-08
1802,0.0,4.923248297927785e-08
1803,1.5602713787643552e-08,4.095712213825209e-08
1804,0.0,5.9324420931261557e-08
1805,0.0,2.2743021688143017e-08
1806,0.0,2.881669125542885e-09
1807,0.0,1.7081731584767113e-08
1808,1.1330369531492579e-08,2.7192887941396293e-08
1809,4.518061036407062e-09,8.810219043198231e-08
1810,4.680253518074551e-09,3.510190182964834e-08
1811,0.0,5.0141535368197765e-09
1812,0.0,7.468182872116813e-08
1813,8.627225156487839e-09,5.176335093892703e-08
1814,0.0,1.2586708564299443e-08
1815,0.0,2.1577788444915313e-08
1816,4.6352077731626196e-09,4.4034472068688046e-08
1817,2.1796227045456362e-08,1.0898113522728181e-08
1818,3.5763532135746345e-09,3.099506074022429e-08
1819,1.0351049795076506e-08,2.4842520929269085e-08
1820,1.1866481131050932e-09,5.814575843032799e-08
1821,1.97229765852569e-09,2.7612166775270452e-08
1822,6.015369535816717e-09,4.210758675071702e-08
1823,4.941343334508019e-09,3.755421040807505e-08
1824,4.210556348027694e-09,4.126345132249298e-08
1825,1.8491430608946757e-08,1.7610886970942374e-08
1826,1.7615968683770689e-09,3.170874407487645e-08
1827,7.373818444733615e-09,4.3321183085254233e-08
1828,1.8344602503717056e-09,2.5682442839070063e-08
1829,1.714635211591542e-09,1.971830521085849e-08
1830,4.174734336004349e-09,3.1310506187764986e-08
1831,0.0,2.3386808933878456e-08
1832,0.0,2.3000948701223933e-08
1833,1.3900354645102198e-08,3.359252431778259e-08
1834,9.334530925997342e-10,4.480574844478724e-08
1835,7.563087933704082e-09,3.327758690829796e-08
1836,0.0,3.9652424621561266e-08
1837,2.7831563720326358e-09,4.87052354003481e-08
1838,3.787297142565649e-09,3.661054082115811e-08
1839,1.3982950353153e-09,5.173691519644308e-08
1840,4.458782232319436e-09,3.821813043813904e-08
1841,3.2102742686390684e-09,3.017657768111803e-08
1842,5.366612043644636e-09,4.024958855097793e-08
1843,5.906911071384968e-10,4.371114231682682e-08
1844,2.7442805805577564e-09,3.0187088384536764e-08
1845,5.580227946389016e-10,4.464182268293371e-08
1846,2.9272506640865004e-09,4.0981507964943376e-08
1847,5.393223645455691e-10,3.88312111354594e-08
1848,1.6090443422100975e-09,7.482056219032529e-08
1849,0.0,5.781796375003978e-08
1850,0.0,6.042206734946376e-08
1851,1.9348316282474798e-09,4.385618268543112e-08
1852,1.3021090872200602e-09,4.101643469311966e-08
1853,1.1943863675867306e-09,4.001194353620008e-08
1854,1.0391328908454511e-09,3.792835201466005e-08
1855,1.0613874223963649e-09,4.2455496895854594e-08
1856,0.0,2.795682235712249e-08
1857,9.763018171682347e-10,2.4407545373694717e-08
1858,5.872411001917044e-09,2.300027807100591e-08
1859,2.5460866748261424e-09,4.0228169240208445e-08
1860,0.0,2.0139608647440355e-08
1861,0.0,3.819930682880113e-08
1862,9.035972525772706e-10,2.891511208247266e-08
1863,4.994620828036034e-10,5.593975471729351e-08
1864,2.8768367688059016e-09,5.657778812118153e-08
1865,4.706844358715045e-10,4.565638889175716e-08
1866,4.865612912574591e-10,3.308616669528419e-08
1867,0.0,7.327745521479301e-08
1868,9.87974813071446e-10,3.507310708528166e-08
1869,9.767038289254515e-10,2.5882651910613674e-08
1870,5.734048791339319e-09,4.185855573268782e-08
1871,1.0621177271019633e-09,3.292564842993784e-08
1872,0.0,3.8098239008022006e-08
1873,5.387403856360606e-09,3.23244258026989e-08
1874,0.0,4.839433387360259e-08
1875,3.432916173551348e-09,4.405575876331724e-08
1876,1.209202959984168e-09,3.083467703390852e-08
1877,8.658742167710898e-09,5.504486111362894e-08
1878,4.22736201599605e-09,5.555961546388488e-08
1879,6.10932526790009e-10,6.231511817667013e-08
1880,1.2835692508872398e-09,5.326812324568664e-08
1881,0.0,6.763332521808607e-08
1882,6.655385131892899e-10,7.986462136067018e-08
1883,7.58320695126713e-09,9.60539514593961e-08
1884,6.601696966868076e-10,7.790002332086488e-08
1885,6.445635691854079e-10,4.7697705396476664e-08
1886,6.453463874400711e-10,4.452889917905267e-08
1887,6.528924623161458e-10,4.1785117588233334e-08
1888,0.0,5.5163347667530616e-08
1889,0.0,6.641045047217631e-08
1890,0.0,4.8502460714416884e-08
1891,0.0,5.8005401371019616e-08
1892,0.0,5.140180192597654e-08
1893,0.0,6.651089989873071e-08
1894,0.0,3.969969797346096e-08
1895,0.0,7.04177907095982e-08
1896,0.0,5.955999426987546e-08
1897,0.0,6.23458333848248e-08
1898,1.6975064687230201e-09,4.0174319315688933e-08
1899,5.527578395003729e-10,5.5275783950037294e-08
1900,5.191053142894475e-10,5.294874227956825e-08
1901,0.0,4.973977496547377e-08
1902,0.0,2.700656126508605e-08
1903,5.400220270956879e-10,6.156251153299763e-08
1904,0.0,5.159640181773284e-08
1905,0.0,5.160758931310738e-08
1906,0.0,5.761486576716379e-08
1907,0.0,6.017126708002252e-08
1908,0.0,4.518478036175111e-08
1909,1.6502950117569526e-09,5.2809443651380406e-08
1910,0.0,6.573305622037395e-08
1911,2.128149656499545e-09,3.458243114096149e-08
1912,0.0,5.782457535019603e-08
1913,0.0,5.939348529659938e-08
