year,étions_VERB en_PRON
1800,3.144164395507687e-08
1801,1.4287095950749062e-08
1802,1.7902721083373763e-08
1803,1.950339267864365e-08
1804,3.707776485839531e-08
1805,1.9900143755080535e-08
1806,5.76333825108577e-09
1807,2.2775640928784924e-08
1808,2.2660739951163578e-09
1809,2.259030518203531e-09
1810,9.360507036149102e-09
1811,4.512738271955641e-08
1812,2.6672082320544632e-09
1813,5.751483289628823e-09
1814,1.1328037885505182e-07
1815,2.1577788444915313e-08
1816,1.1588019432906549e-08
1817,2.9580593974287694e-08
1818,1.9073883805731384e-08
1819,2.2772310259711048e-08
1820,4.746592452420373e-09
1821,1.972297702934611e-08
1822,8.02049271442229e-09
1823,2.569498569471307e-08
1824,4.210556348027694e-09
1825,7.924898959288385e-09
1826,6.077509340229881e-08
1827,1.1060727445055818e-08
1828,1.3758452155343548e-08
1829,2.1432940755516938e-08
1830,1.6698937344017395e-08
1831,3.1182413096075834e-08
1832,2.570694235259907e-08
1833,1.0425265983826648e-08
1834,1.4935249481595747e-08
1835,1.5126175867408165e-08
1836,1.2097349788575684e-08
1837,8.349468672008697e-09
1838,8.837027110075724e-09
1839,8.38977065598101e-09
1840,8.280594876453051e-09
1841,9.630822361827995e-09
1842,2.0124795163667386e-09
1843,1.4176587015413133e-08
1844,1.2623690537338916e-08
1845,7.812318791877715e-09
1846,1.0538101946622191e-08
1847,1.3483059113639229e-08
1848,1.448139919091318e-08
1849,8.379414495607307e-09
1850,1.3577992064028876e-08
1851,1.5478653025979838e-08
1852,3.2552727180501506e-09
1853,1.1346670270029335e-08
1854,2.0782657372819813e-08
1855,1.1675261646360013e-08
1856,1.1389816201301528e-08
1857,1.122747050885664e-08
1858,2.300027723833864e-08
1859,1.1202780925145817e-08
1860,1.830873586072812e-08
1861,4.2443675241088386e-09
1862,1.400575744270327e-08
1863,1.6482248454963155e-08
1864,1.102787461348953e-08
1865,2.0710114512212385e-08
1866,1.1677471434268227e-08
1867,4.85281148598915e-09
1868,1.432563490055827e-08
1869,2.0999133099053324e-08
1870,6.307453670473251e-09
1871,7.434824311758348e-09
1872,1.2094679036067646e-08
1873,1.7958013742713774e-08
1874,2.5690820137924675e-08
1875,2.689117728493784e-08
1876,7.255217759905008e-09
1877,9.27722432209066e-09
1878,8.4547240319921e-09
1879,1.588424503040642e-08
1880,9.626769603698904e-09
1881,1.045876096839038e-08
1882,8.652000893505374e-09
1883,9.479008689083912e-09
1884,8.582206056928499e-09
1885,4.511945039809007e-09
1886,1.7424351739236954e-08
1887,1.1752064210668323e-08
1888,1.268122939990235e-08
1889,6.265136853755848e-09
1890,8.520702365899524e-09
1891,1.0198752065093686e-08
1892,1.191017329205124e-08
1893,8.005941687372342e-09
1894,7.561847148451761e-09
1895,2.347259631108045e-08
1896,1.4152869098893461e-08
1897,1.3984112534615178e-08
1898,1.1882545614128048e-08
1899,1.6029977345510815e-08
1900,8.824790675987515e-09
1901,5.58873880507349e-09
1902,5.4013122863239005e-09
1903,6.480264325148255e-09
1904,3.117282432185675e-08
1905,5.160758931310738e-09
1906,6.6874399351490865e-09
1907,8.228549397415463e-09
1908,1.1787333775714615e-08
1909,1.4302557360679202e-08
1910,1.60324518105881e-08
1911,1.0640748726586935e-08
1912,6.772247651554153e-09
1913,1.113627856597077e-08
1914,1.4063162190325329e-08
1915,2.1205371680821372e-08
1916,3.4061130804730055e-08
1917,1.864292187292449e-08
1918,3.44591288836682e-09
1919,1.2890987832747669e-08
1920,1.741613253614105e-08
1921,7.572747762196741e-09
1922,1.475587119159627e-08
1923,8.492758496458919e-09
1924,9.02413699321869e-09
1925,1.7597084678300234e-08
1926,1.7833821530643945e-08
1927,7.804457524684949e-09
1928,9.14083297942625e-09
1929,1.0026365515614089e-08
1930,5.2518016602221e-09
1931,1.3686427990933225e-08
1932,1.0959536389520963e-08
1933,4.588264879146209e-09
1934,3.5944740517379614e-09
1935,1.196828414151696e-08
1936,2.0612015205756506e-08
1937,6.295559185076627e-09
1938,3.8895642262559704e-09
1939,0.0
1940,5.0715658339584024e-09
1941,5.9030051957620344e-09
1942,6.068423541449874e-09
1943,5.806470415592457e-09
1944,1.927911696952833e-08
1945,1.089252066321933e-08
1946,5.568441707737293e-09
1947,1.907339353124371e-08
1948,1.9569398546082084e-08
1949,9.817008539414473e-09
1950,9.571825110299415e-09
1951,4.264560704569931e-09
1952,1.7926167217297007e-08
1953,1.0773827163745864e-08
1954,6.840775057526116e-09
1955,1.0324168187025862e-08
1956,1.2209598665435806e-08
1957,7.068030161150318e-09
1958,8.272243334772611e-09
1959,6.200598257066758e-09
1960,1.314958364417862e-08
1961,1.389631876236308e-08
1962,1.2683912586908264e-08
1963,7.759263453976928e-09
1964,9.125952438182594e-09
1965,7.660860390501512e-09
1966,1.0524241922382771e-08
1967,9.860671390526932e-09
1968,1.1677681044375277e-08
1969,7.72098829315837e-09
1970,1.1956685419534097e-08
1971,8.735275613958038e-09
1972,1.487742551375959e-08
1973,8.269805285010534e-09
1974,8.438357568252286e-09
1975,1.028066431985053e-08
1976,1.1427053969725876e-08
1977,1.1165885105413054e-08
1978,1.1881182260253809e-08
1979,7.022368020415115e-09
1980,1.762396628635088e-08
1981,1.3916208629893845e-08
1982,1.4277254933858785e-08
1983,1.136756910824488e-08
1984,8.69851302098823e-09
1985,2.1054452403745927e-08
1986,1.8582904104391673e-08
1987,1.1610551631235921e-08
1988,7.795519785247507e-09
1989,1.6464365870660913e-08
1990,1.8525414091641323e-08
1991,1.875668864670388e-08
1992,1.3774860363469088e-08
1993,1.2186256448387667e-08
1994,1.793475057354499e-08
1995,1.7351842629409475e-08
1996,1.1743802375008272e-08
1997,8.630809844589749e-09
1998,1.5734826774860267e-08
1999,1.1425503210205079e-08
2000,1.5463109903635086e-08
2001,1.8839211080035057e-08
2002,2.102986229601811e-08
2003,2.0417921575699438e-08
2004,1.7178685141061578e-08
2005,1.8915748967174295e-08
2006,1.070651389767363e-08
2007,2.2768533725070483e-08
2008,1.9158479247494142e-08
2009,2.098004614481397e-08
2010,2.645324137517946e-08
2011,3.556294103645996e-08
2012,3.2680826933528806e-08
2013,3.8211013020372775e-08
2014,3.832838046946563e-08
2015,5.541438596878834e-08
2016,5.2404903527758506e-08
2017,5.584657003510074e-08
2018,7.357180464850899e-08
2019,6.607058367080754e-08
