year,six_DET couverts_NOUN
1800,9.432493897065797e-09
1801,2.3811825844433088e-09
1802,2.0140561218795483e-08
1803,1.1702035562777269e-08
1804,1.4831105232815389e-08
1805,1.7057265822018053e-08
1806,6.627838899930794e-08
1807,1.7081731584767113e-08
1808,0.0
1809,3.388545621874073e-08
1810,3.978215445954447e-08
1811,1.0028307073639553e-08
1812,2.1337665856435706e-08
1813,7.764502640839055e-08
1814,5.034683425719777e-08
1815,4.5852800667489646e-08
1816,1.622322720606917e-08
1817,4.981994838892945e-08
1818,1.7881766289917778e-08
1819,1.6561680027393777e-08
1820,2.8479554714522237e-08
1821,3.155676331356716e-08
1822,2.0051231786055723e-08
1823,4.348382276475604e-08
1824,3.03160057057994e-08
1825,5.107157075023849e-08
1826,2.8185549894033102e-08
1827,7.373818444733615e-09
1828,2.8434133270138773e-08
1829,4.9724420136953995e-08
1830,1.878630406793036e-08
1831,4.677361786775691e-08
1832,4.058990921151917e-09
1833,2.548398292390175e-08
1834,2.42697808516823e-08
1835,4.0840674842002045e-08
1836,2.5538851033957144e-08
1837,7.653680356156656e-09
1838,2.146135025249407e-08
1839,1.4682098203877558e-08
1840,2.7389662093924017e-08
1841,8.346713098461578e-09
1842,1.408735617047796e-08
1843,1.7720733325177207e-08
1844,7.1351298203126134e-09
1845,3.2923345827384765e-08
1846,1.8148954339380907e-08
1847,2.0494249852731627e-08
1848,2.976732105253177e-08
1849,7.541473445726865e-09
1850,5.431196825611551e-09
1851,1.0319102017319892e-08
1852,2.4740072657181145e-08
1853,2.09017620989016e-08
1854,1.454786069388092e-08
1855,2.388121700391821e-08
1856,2.070875682047557e-08
1857,3.3194262505364946e-08
1858,6.361778881469604e-09
1859,4.1755821911237945e-08
1860,2.1055045706930287e-08
1861,3.159695793897299e-08
1862,6.008921760169983e-08
1863,2.3474717281146695e-08
1864,1.965838380968421e-08
1865,1.788600889618408e-08
1866,2.335494220240264e-08
1867,2.620518202434141e-08
1868,2.6181333323549438e-08
1869,1.7580668254524312e-08
1870,2.2936194277178856e-08
1871,3.504988499436479e-08
1872,1.0885210732780592e-08
1873,1.1972009161809183e-08
1874,1.1949217948448165e-08
1875,1.3731664694205392e-08
1876,1.3301232781870453e-08
1877,1.7317485334622518e-08
1878,2.3552445771457542e-08
1879,4.154341182172061e-08
1880,2.631317030932223e-08
1881,1.8128519130300447e-08
1882,1.1979693459451823e-08
1883,6.951272890631799e-09
1884,5.0833067533062604e-08
1885,5.2854212118091937e-08
1886,2.7104548716572197e-08
1887,3.3950408484528793e-08
1888,1.7119659467823567e-08
1889,8.144677543509005e-09
1890,2.1629475099871343e-08
1891,3.378336543846672e-08
1892,1.0029619579299265e-08
1893,1.97069330298838e-08
1894,1.764431090123253e-08
1895,1.8657704714541978e-08
1896,2.240870955461105e-08
1897,1.514945524583311e-08
1898,1.3014215816120611e-08
1899,1.3818945987509323e-08
1900,3.322274011452464e-08
1901,1.9001712259214543e-08
1902,2.209627647520307e-08
1903,1.5660639007819555e-08
1904,1.7736262236667244e-08
1905,1.4966200945210062e-08
1906,1.1831624291414045e-08
1907,1.3885677496716653e-08
1908,2.161011147805425e-08
1909,2.6954818821423032e-08
1910,2.7789583301185417e-08
1911,2.5005758574891956e-08
1912,2.7609933339611814e-08
1913,1.9090762359841307e-08
1914,1.808120764223986e-08
1915,2.9451904026700504e-08
1916,5.493730803607377e-09
1917,5.483212106582869e-09
1918,1.9526839700745313e-08
1919,1.3811772170413406e-08
1920,8.329454903588385e-09
1921,1.1359120755116692e-08
1922,1.549366501762961e-08
1923,2.5478275489376756e-08
1924,2.062659898438568e-08
1925,1.9796720263087764e-08
1926,1.2260752080273107e-08
1927,2.118352704361115e-08
1928,1.7139061614379614e-08
1929,2.6736974856333973e-08
1930,1.680576589002669e-08
1931,1.0264820993199919e-08
