year,six_DET anneaux_NOUN,six_DET canaux_NOUN
1800,1.006132621661493e-07,0.0
1801,7.619784270218588e-08,0.0
1802,7.384872446891677e-08,1.1189200677108602e-08
1803,1.014176405078615e-07,1.5602713787643552e-08
1804,6.673997887673977e-08,4.943701892301533e-09
1805,1.7057265822018053e-08,0.0
1806,2.5935023018064385e-08,8.645007376628655e-09
1807,2.306033621835013e-07,0.0
1808,4.078933102391602e-08,0.0
1809,6.777091243748146e-08,2.259030518203531e-09
1810,6.31834211617388e-08,1.1700633351097167e-08
1811,2.5070767684098882e-09,0.0
1812,6.934741492159446e-08,0.0
1813,2.8757416448144113e-09,0.0
1814,2.5173417128598885e-08,0.0
1815,1.8880564667256294e-08,0.0
1816,2.201723674488676e-07,3.708166040894412e-08
1817,1.5257359109455138e-07,0.0
1818,1.1563542301473717e-07,0.0
1819,4.554462162964512e-08,1.035105001712111e-09
1820,6.051905643289501e-08,2.4919611263385377e-08
1821,2.7612166553225848e-08,1.97229765852569e-09
1822,3.408709403629473e-08,1.1028177482330648e-08
1823,6.81905376609393e-08,0.0
1824,5.894779064874456e-08,4.210556348027694e-09
1825,8.277116303467835e-08,0.0
1826,8.631824499616414e-08,8.807984341885344e-10
1827,2.488663675137559e-08,9.217273055917019e-10
1828,1.0639869429951432e-07,6.420610709767516e-09
1829,8.830371456269859e-08,1.1145129263923081e-08
1830,4.5922078584226256e-08,7.305785310052215e-09
1831,2.182768810143898e-08,0.0
1832,3.6530916958099624e-08,2.1647950987357945e-08
1833,2.6642346329097677e-08,1.1583628500844156e-09
1834,7.094243414940138e-08,7.467624740797874e-09
1835,1.0739584865859797e-07,6.050470346963266e-09
1836,4.0996577133078915e-08,2.6882999715205358e-09
1837,5.0792603900617905e-08,4.0355766728339404e-08
1838,7.574594462766981e-08,1.3886756189407379e-08
1839,4.754203075663099e-08,1.3982950353153e-09
1840,1.5669434105802793e-07,1.52872523528913e-08
1841,3.0818634311202686e-08,1.0272877659645019e-08
1842,4.62870293205242e-08,4.024959032733477e-09
1843,3.1306628400784575e-08,7.088293285661962e-09
1844,5.762989485624814e-08,6.037417454862748e-09
