year,leurs_DET ouvertures_NOUN,leurs_DET couvertures_NOUN
1800,4.5590385155946933e-07,3.9302057075474295e-07
1801,2.3335590038087162e-07,2.666924459049369e-07
1802,2.1259481286506343e-07,2.2378401354217203e-07
1803,2.028352799055e-07,3.8811750613376717e-07
1804,2.916784094253444e-07,2.9909395493632474e-07
1805,2.0753007490270647e-07,1.9615855517685077e-07
1806,2.362968700708734e-07,1.1526676235718014e-07
1807,6.547996811434587e-08,1.4234775136401367e-08
1808,7.47804418388398e-08,1.7448769229488903e-07
1809,1.1746958961111886e-07,3.4789070468832506e-07
1810,1.9189039335287816e-07,1.2168659679900884e-07
1811,1.42903374467096e-07,1.3788921648938413e-07
1812,1.5469807124190993e-07,2.4004873466765275e-07
1813,3.0482860680081103e-07,3.738464116054274e-08
1814,1.604805350829963e-07,9.440030979135372e-09
1815,1.7801676133188948e-07,9.170560133497929e-08
1816,2.4334840453832385e-07,5.284136790351113e-07
1817,1.759266883283317e-07,4.639482824586594e-07
1818,2.098127254157589e-07,5.424135451903567e-07
1819,2.5567092620804033e-07,3.477952930097672e-07
1820,1.4477106446975085e-07,9.374520004712394e-08
1821,1.587699673955001e-07,8.875339574387908e-08
1822,1.4336630727029842e-07,1.383534993237845e-07
1823,1.1958051082672227e-07,8.064272378760506e-07
1824,1.9873825607419349e-07,8.58953512761218e-08
1825,1.3472327964336728e-07,1.4352872312883846e-07
1826,1.4357014777033328e-07,3.1620663776266156e-07
1827,1.7697164089724993e-07,1.3365045958835253e-07
1828,1.467568182533796e-07,2.1371461400576663e-07
1829,1.6031839455976638e-07,6.68707736406482e-08
1830,1.3776623153383127e-07,1.1271782374144834e-07
1831,1.4187997066095193e-07,5.3010101197514814e-08
1832,1.3529968745373822e-07,1.1771073360478113e-07
1833,2.1313876708006774e-07,7.52935847003755e-08
1834,1.2041544783514269e-07,9.427876079826092e-08
1835,2.0042183734858554e-07,1.9512766868956533e-07
1836,1.7742780178409134e-07,1.0887615387034089e-07
1837,1.8716725991296812e-07,1.1897993779097504e-07
1838,2.2029444979310142e-07,8.332053469395362e-08
1839,2.062485244813672e-07,1.3493547612597467e-07
1840,1.4268102566106222e-07,9.236048859051493e-08
1841,1.4125206959647585e-07,1.2841097429827641e-07
1842,1.2678620597839085e-07,7.915753030829364e-08
1843,1.4708208384561772e-07,1.0573370717859021e-07
1844,1.9594164113456713e-07,9.550096535804187e-08
1845,1.2109094482681826e-07,6.249855033502172e-08
1846,9.484292196049182e-08,7.435216775597553e-08
1847,1.7743706148820593e-07,8.844887133818702e-08
1848,1.198738033281188e-07,9.734718581233537e-08
1849,9.636327380491139e-08,1.4747770649137237e-07
1850,1.8058729267522722e-07,1.7108269911858542e-07
1851,1.7800451157512498e-07,1.2253933334704925e-07
1852,1.2304931518158924e-07,9.179868953879122e-08
1853,1.5108987838630128e-07,1.6363093879867563e-07
1854,1.1274591704690806e-07,1.0235458686169707e-07
1855,1.358575900667347e-07,1.3426551248585383e-07
1856,1.9569776021910457e-07,1.0043746967447476e-07
1857,1.0788134918726655e-07,1.0348799150960986e-07
1858,1.0080972745463157e-07,7.38945047373818e-08
1859,1.7517076145168176e-07,1.0948172501912268e-07
1860,1.1076784733887735e-07,1.2541483263017739e-07
1861,1.0422279972388537e-07,1.0563758934267753e-07
1862,8.403454687666567e-08,9.894390040621204e-08
1863,1.1837251207014177e-07,1.0338865052972324e-07
1864,1.0308665421288055e-07,1.4528026204274624e-07
1865,1.0778673797950944e-07,1.1814179146085735e-07
1866,8.709447296695316e-08,3.3378104191683633e-07
1867,9.026229008668452e-08,1.1549691691925545e-07
1868,1.195449490509759e-07,1.1707501812452392e-07
1869,1.1036753599924509e-07,8.204312251791634e-08
1870,1.1525438381454478e-07,9.633201614178688e-08
1871,1.0939812811194827e-07,2.1029931618343767e-07
1872,1.5239294715030383e-07,1.0824737017856023e-07
1873,8.081106006585514e-08,8.38040605799506e-08
1874,1.3622108552269196e-07,6.512323835750067e-08
1875,1.1271408117963233e-07,1.310229675866026e-07
1876,1.1789729059685783e-07,7.920279188056156e-08
1877,9.64831281535794e-08,7.236234722540758e-08
1878,1.0206059819495295e-07,7.609251895246416e-08
1879,6.781351258311474e-08,9.652733878873221e-08
1880,9.113341814526166e-08,8.984984845028521e-08
1881,8.645909499449544e-08,1.4084465732588924e-07
1882,1.237901663397878e-07,1.124760089510346e-07
1883,1.0679682971304061e-07,1.2828258744157495e-07
1884,1.1552969514383449e-07,1.1420936107953139e-07
