year,serez_VERB assez_ADV
1800,5.345079756580162e-08
1801,8.572257570449437e-08
1802,5.147032311469957e-08
1803,3.510610468993036e-08
1804,7.415552971679062e-08
1805,9.665784261869703e-08
1806,1.123850950079941e-07
1807,5.124519120158766e-08
1808,6.345007363961486e-08
1809,4.0662548883574345e-08
1810,1.1232608443378922e-07
1811,4.763445815569867e-08
1812,1.0935553973467904e-07
1813,3.163315653864629e-08
1814,1.1328037885505182e-07
1815,8.631115377966125e-08
1816,4.8669683394564345e-08
1817,3.113746771532533e-08
1818,5.722165141719415e-08
1819,2.2772310259711048e-08
1820,4.153268307049984e-08
1821,9.664258726616026e-08
1822,9.624591257306747e-08
1823,8.696764552951208e-08
1824,5.9789897477458e-08
1825,8.101007864524945e-08
1826,7.662946188702335e-08
1827,5.1616730445402936e-08
1828,3.8523666034961934e-08
1829,4.9724420136953995e-08
1830,5.218418053232199e-08
1831,8.263339168479433e-08
1832,4.7354891563600177e-08
1833,4.9809603552830595e-08
1834,6.534171603789218e-08
1835,1.1193370141882042e-07
1836,4.9061476659062464e-08
1837,1.0019363116953173e-07
1838,7.763959075646198e-08
1839,9.019002789045771e-08
1840,6.051204337609306e-08
1841,3.5955071808757566e-08
1842,6.574099842282521e-08
1843,6.674809327478215e-08
1844,6.147188713612195e-08
1845,9.207376194808603e-08
1846,6.6741314697083e-08
1847,5.015698079091635e-08
1848,4.34441957963827e-08
1849,6.033178578945808e-08
1850,6.245876704724651e-08
1851,4.70809027319774e-08
1852,8.724131106419009e-08
1853,4.837264810930719e-08
1854,8.261106643203675e-08
1855,8.225752878843196e-08
1856,6.212626857404757e-08
1857,7.761599363220739e-08
1858,8.612870061597278e-08
1859,7.281808223069675e-08
1860,7.689668990451537e-08
1861,1.0139321915403343e-07
1862,4.9246050792817186e-08
1863,6.1433837572622e-08
1864,6.568777166648943e-08
1865,9.649031085245952e-08
1866,8.028261078152354e-08
1867,6.939520602600169e-08
1868,5.285665238830006e-08
1869,8.643829119137081e-08
1870,8.085008573743835e-08
1871,4.0360472297606975e-08
1872,6.349706183073067e-08
1873,6.285304721131979e-08
1874,6.034355237716227e-08
1875,3.318485752856759e-08
1876,6.529695895096665e-08
1877,5.071549225021954e-08
1878,4.7104890654736664e-08
1879,6.59807142255886e-08
1880,3.401458670282409e-08
1881,3.69542902944886e-08
1882,5.657077295495583e-08
1883,6.003372021723408e-08
1884,3.498899303622238e-08
1885,4.7053141827291256e-08
1886,2.710454793941608e-08
1887,2.415702127223085e-08
1888,3.550744054336974e-08
1889,4.698852507090123e-08
1890,3.736000309118026e-08
1891,4.6531805963923034e-08
1892,4.2625885043889866e-08
1893,3.7566341148931315e-08
1894,3.150769600779313e-08
1895,3.972285611553161e-08
1896,1.6511680911435178e-08
1897,1.5149455023788505e-08
1898,3.7910979244770715e-08
1899,4.643165851803133e-08
1900,3.218453059616877e-08
1901,3.129693837422565e-08
1902,2.455141867585553e-08
1903,3.7801541452608944e-08
1904,3.439760121182189e-08
1905,2.7868098939620722e-08
1906,2.777859720026754e-08
1907,4.937129460813594e-08
1908,3.388858615949175e-08
1909,4.510806661528477e-08
1910,4.80973554317643e-08
1911,2.8197982615552064e-08
1912,5.261515312326992e-08
1913,2.4924052155483878e-08
1914,4.68772043404897e-08
1915,1.0602685840410686e-08
1916,1.648119329900055e-08
1917,1.0966424213165737e-08
1918,1.4932290071101306e-08
1919,2.1178051312631396e-08
1920,1.590168707821249e-08
1921,2.3475516641724425e-08
1922,2.6560567079059183e-08
1923,2.653987074552333e-08
1924,2.9650736976805092e-08
1925,2.74954441437103e-08
1926,6.13037585139864e-08
1927,6.689534615134107e-08
1928,2.399468712610542e-08
1929,3.676334259239411e-08
1930,1.470504518152893e-08
1931,2.0529641986399838e-08
1932,1.4247397928102146e-08
1933,3.670611903316967e-08
1934,2.036868629318178e-08
1935,4.4282650435434334e-08
1936,2.5461901032031165e-08
1937,2.7700460591972842e-08
1938,2.074434313215079e-08
1939,3.211750509990452e-08
1940,3.0429394115571995e-08
1941,3.246652724442356e-08
1942,4.8547388331598995e-08
1943,2.9032351633873077e-08
1944,2.2492303131116387e-08
1945,8.714016175304096e-09
1946,2.3665876369705074e-08
1947,3.337843779149807e-08
1948,2.174377655705939e-08
1949,3.435953033203987e-08
1950,1.701657836861159e-08
1951,4.264560615752089e-08
1952,4.428817490520487e-08
1953,3.232148060305917e-08
1954,1.8567819282111486e-08
1955,1.783265446420046e-08
1956,2.616342520411763e-08
1957,2.03205861026845e-08
1958,9.926692356998501e-09
1959,2.712761748568937e-08
1960,3.18358317485945e-08
1961,1.667558180429296e-08
1962,5.200404373795209e-08
1963,2.5864213881732212e-08
1964,2.7377858202726202e-08
1965,2.134096988015699e-08
1966,2.76953731059848e-08
1967,2.3172576746333107e-08
1968,2.6948494991074767e-08
1969,2.0892086283197386e-08
1970,2.3913370839068193e-08
1971,1.7470551227916076e-08
1972,3.1293897251316594e-08
1973,2.591205827684462e-08
1974,1.2938814464291681e-08
1975,7.4249242310031605e-09
1976,1.314111219841152e-08
1977,1.9393379346865913e-08
1978,2.613860239364385e-08
1979,2.2237498953359136e-08
1980,1.819248218737357e-08
1981,1.8344094243616382e-08
1982,9.311253101884631e-09
1983,1.9577479193344516e-08
1984,1.2177918229383522e-08
1985,2.1656008541981464e-08
1986,1.4386765556650971e-08
1987,1.5277041853778428e-08
1988,1.739000587974715e-08
1989,1.5915555096057687e-08
1990,1.7980548605578406e-08
1991,9.96449056600568e-09
1992,1.322386644631024e-08
1993,2.7142116110212555e-08
1994,1.4242301560329906e-08
1995,1.7894087989134277e-08
1996,1.5480466686312866e-08
1997,1.102825741838842e-08
1998,1.716526476513991e-08
1999,1.279656292041409e-08
2000,2.164835422036049e-08
2001,1.445799924226776e-08
2002,1.0076809608960957e-08
2003,1.0833999475323708e-08
2004,1.2773894830786503e-08
2005,1.7114247796712334e-08
2006,1.8118715416903797e-08
2007,2.4765773432022797e-08
2008,2.299017509699297e-08
2009,1.8595951445377068e-08
2010,2.3146585093059002e-08
2011,2.370862617340208e-08
2012,4.1872308287338456e-08
2013,4.406817666335883e-08
2014,4.28758148984798e-08
2015,4.6326427138865256e-08
2016,5.1990635796528295e-08
2017,3.2954506679061524e-08
2018,4.1303465536657313e-08
2019,4.234639661149231e-08
