year,avions_VERB assez_ADV,avions_VERB cassé_VERB
1800,8.174827570428533e-08,0.0
1801,7.381665767525192e-08,2.3811825844433088e-09
1802,7.384872446891677e-08,0.0
1803,7.801356893821776e-09,0.0
1804,3.213406074564773e-08,0.0
1805,2.2743021688143017e-08,0.0
1806,6.051504897186533e-08,2.881669125542885e-09
1807,2.8469550272802735e-08,0.0
1808,6.798222074166915e-08,0.0
1809,2.9367397402779716e-08,0.0
1810,2.574139479349924e-08,0.0
1811,7.521229861140455e-09,2.5070767684098882e-09
1812,2.6672083208723052e-08,0.0
1813,3.738464116054274e-08,0.0
1814,8.810695817373926e-08,0.0
1815,1.3486118000116676e-08,0.0
1816,4.6352077731626196e-09,0.0
1817,3.113746771532533e-08,0.0
1818,5.841376804482934e-08,0.0
1819,4.5544620519422097e-08,0.0
1820,2.4919611263385377e-08,0.0
1821,7.297501269931672e-08,0.0
1822,7.017931125119503e-08,0.0
1823,6.028439258898288e-08,0.0
1824,6.400046004273463e-08,3.3684450784221553e-09
1825,1.937197424695114e-08,1.7610886082763955e-09
1826,4.051672775062798e-08,0.0
1827,4.147772969531616e-08,0.0
1828,4.769596628761974e-08,0.0
1829,4.6295149047637096e-08,0.0
1830,6.366470017837855e-08,0.0
1831,5.76874619184764e-08,0.0
1832,5.141388470519814e-08,0.0
1833,8.108539617524002e-08,0.0
1834,5.3206825612051034e-08,9.334530925997342e-10
1835,1.0361430469174593e-07,7.563087933704082e-10
1836,5.9142600150607905e-08,0.0
1837,2.852735292435682e-08,2.0873671680021744e-09
1838,2.7142295522253335e-08,0.0
1839,3.0063343814390464e-08,0.0
1840,4.968357103507515e-08,0.0
1841,4.55858959469424e-08,0.0
1842,3.957876515414682e-08,0.0
1843,2.3627643841450663e-08,4.7255288571079745e-09
1844,4.006649589882727e-08,0.0
1845,3.4039391749729475e-08,0.0
1846,3.454155717008689e-08,0.0
1847,2.3190860787281053e-08,0.0
1848,2.815827571112095e-08,0.0
1849,4.273501730267526e-08,0.0
1850,4.616517301769818e-08,0.0
1851,3.740674614505224e-08,0.0
1852,3.5156944022674e-08,0.0
1853,5.3747385209135246e-08,7.166318205520383e-09
1854,6.078927583530458e-08,0.0
1855,4.776243400783642e-08,0.0
1856,5.5913645269356493e-08,0.0
1857,6.443592326377257e-08,8.298565390418844e-09
1858,3.6213201326518174e-08,0.0
1859,5.754155907311542e-08,5.092173349652285e-10
1860,2.9751696217772405e-08,2.288591982591015e-09
1861,4.715963797252698e-08,4.715963730639317e-10
1862,4.382446761042047e-08,9.035972525772706e-10
1863,3.49623441309177e-08,9.989241656072068e-10
1864,3.5001512799226475e-08,0.0
1865,2.447559133145205e-08,4.706844358715045e-10
1866,5.011581194480641e-08,2.432806400776144e-09
1867,3.154327288257264e-08,9.7056229719783e-10
1868,4.989272639477349e-08,4.93987406535723e-10
1869,6.495080384638641e-08,4.883519366671862e-09
1870,3.383088653663435e-08,5.734048791339319e-10
1871,9.45284810427438e-08,0.0
1872,3.265563108811875e-08,1.2094678591978436e-09
1873,4.2500630570430076e-08,0.0
1874,7.766991672042423e-08,0.0
1875,2.689117728493784e-08,0.0
1876,2.2370254981751714e-08,0.0
1877,5.133397351642088e-08,0.0
1878,3.563062378475479e-08,6.039088673581716e-10
1879,4.948553566919145e-08,0.0
1880,4.55667077403632e-08,0.0
1881,2.4403776777148778e-08,0.0
1882,3.8601232432711186e-08,6.655385131892899e-10
1883,5.0554710639971745e-08,0.0
1884,4.423137056619453e-08,0.0
1885,2.1915161241281567e-08,6.445635691854079e-10
1886,2.6459201052375647e-08,1.2906927748801422e-09
1887,2.0892558794116667e-08,0.0
1888,5.2627100899371726e-08,6.340614699951175e-10
1889,2.8819629349641218e-08,6.265136742733546e-10
1890,2.4906668727453507e-08,0.0
1891,2.677172439291553e-08,6.374220040683554e-10
1892,2.8835156484774416e-08,3.1342561879199593e-09
1893,2.3401982574000613e-08,0.0
1894,4.537108111435373e-08,1.2603078580752936e-09
1895,4.273216447359118e-08,4.213029924926559e-09
1896,3.3023361822870356e-08,0.0
1897,2.6220211779559577e-08,0.0
