year,pouvais_VERB oser_VERB,pouvais_VERB causer_VERB
1800,6.288328968651058e-09,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,2.4718509461507665e-09
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,9.036122072814123e-09,0.0
1810,2.3401267590372754e-09,7.020380277111826e-09
1811,0.0,2.5070767684098882e-09
1812,0.0,2.6672082320544632e-09
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,6.952811659743929e-09,2.3176038865813098e-09
1817,1.556873407970727e-09,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,0.0,1.0847637454958203e-08
1822,0.0,6.015369535816717e-09
1823,0.0,1.8777104315859106e-08
1824,9.263223965660927e-09,1.0947446504872005e-08
1825,8.805443041381977e-10,8.805443041381977e-10
1826,1.7615968683770689e-09,8.807984341885344e-10
1827,5.530363722527909e-09,1.1060727445055818e-08
1828,0.0,9.172301251858528e-10
1829,0.0,1.714635211591542e-09
1830,0.0,0.0
1831,0.0,0.0
1832,0.0,2.705993873419743e-09
1833,0.0,3.4750886612755494e-09
1834,0.0,1.8669061851994684e-09
1835,1.5126175867408165e-09,6.806779140333674e-09
1836,0.0,1.008112526790228e-08
1837,0.0,6.957890930081589e-10
1838,1.2624323808552163e-09,0.0
1839,0.0,2.7965900706306e-09
1840,0.0,7.64362617644565e-09
1841,3.2102742686390684e-09,1.2841097074556274e-09
1842,1.341653010911159e-09,2.750388716776797e-08
1843,0.0,6.497602011990011e-09
1844,0.0,5.488561272137815e-10
1845,0.0,5.580227835366713e-09
1846,1.1709002656346001e-09,2.3418005312692003e-09
1847,0.0,4.314578916364553e-09
1848,0.0,5.63165514222419e-09
1849,1.6758829879393033e-09,4.1897072478036534e-09
1850,4.073397619208663e-09,6.788996032014438e-09
1851,0.0,2.579775504329973e-09
1852,0.0,1.3021090872200602e-09
1853,0.0,2.9859659189668264e-09
1854,5.195664454227256e-10,4.676098175337984e-09
1855,0.0,7.960405667972736e-09
1856,0.0,8.28350277259915e-09
1857,0.0,5.369659827891837e-09
1858,0.0,4.893676130990343e-09
1859,0.0,1.5785737161877478e-08
1860,4.119465657481669e-09,1.9681891672007623e-08
1861,0.0,4.715963730639317e-10
1862,9.035972525772706e-10,9.035972525772706e-10
1863,9.989241656072068e-10,2.9967726078439227e-09
1864,0.0,1.4384183621984903e-08
1865,4.706844358715045e-10,2.8241067262513297e-09
1866,0.0,4.379051787850585e-09
1867,0.0,2.426405742994575e-09
1868,0.0,4.44588676984381e-09
1869,0.0,9.278686263769487e-09
1870,0.0,2.2936195165357276e-09
1871,0.0,2.1242354542039266e-09
1872,6.047339295989218e-10,1.4513614310374123e-08
1873,5.986004469882289e-10,1.3767810003173508e-08
1874,0.0,7.169530746864439e-09
1875,0.0,2.1169650921137873e-08
1876,0.0,1.813804395567331e-08
1877,0.0,4.329371083855449e-09
1878,0.0,6.6429977074733415e-09
