year,dix_DET anneaux_NOUN,dix_DET canaux_NOUN
1800,7.231578535993322e-08,0.0
1801,5.9529565277216534e-08,0.0
1802,1.1412984690650774e-07,0.0
1803,1.3652375230321923e-07,0.0
1804,1.4831105232815389e-08,0.0
1805,3.980028751016107e-08,3.4114531644036106e-08
1806,1.152667650217154e-08,0.0
1807,2.562259560079383e-08,3.131650583299006e-08
1808,2.2660739062985158e-08,1.3596443970698147e-08
1809,0.0,0.0
1810,1.1700633351097167e-08,0.0
1811,0.0,1.504245972228091e-08
1812,5.3344164641089264e-09,0.0
1813,2.8757416448144113e-09,2.8757416448144113e-09
1814,0.0,0.0
1815,0.0,0.0
1816,3.244645441213834e-08,2.3176038865813098e-09
1817,7.472992535895173e-08,0.0
1818,1.3113295338484932e-08,0.0
1819,2.3807414706311647e-08,0.0
1820,1.779972080839798e-08,0.0
1821,1.577838126820552e-08,1.4792232327920374e-08
1822,1.7043547018147365e-08,1.303330066093622e-08
1823,3.261286707356703e-08,1.9765373782121287e-09
1824,4.210556348027694e-09,1.0105335235266466e-08
1825,2.993850500843109e-08,1.937197424695114e-08
1826,2.025836387531399e-08,1.5854372037438225e-08
1827,3.963427586128887e-08,5.530363722527909e-09
1828,1.3758452155343548e-08,0.0
1829,2.4004892296147773e-08,0.0
1830,1.7742621594152297e-08,1.461156973192601e-08
1831,6.236482441579483e-09,4.677361831184612e-09
1832,2.3000948701223933e-08,0.0
1833,1.1583628500844156e-09,1.2741991461950875e-08
1834,1.7735608537350345e-08,5.600718555598405e-09
1835,2.2689263801112247e-09,1.739510224751939e-08
1836,5.376600054063374e-09,6.72075017860152e-09
1837,1.461157062010443e-08,8.349469116097907e-09
1838,2.5248648061193535e-08,9.468243078458727e-09
1839,2.0974425751774106e-08,2.7965901816529026e-09
1840,5.477932346620307e-08,1.2739377552861697e-08
1841,2.8250413564023802e-08,6.420548537278137e-10
1842,9.391571076378114e-09,0.0
1843,1.0041748765843295e-08,0.0
1844,1.701453911095996e-08,5.488561272137815e-09
