year,nos_DET heures_NOUN,nos_DET coeurs_NOUN
1800,9.432493364158745e-08,5.156429510044802e-07
1801,5.9529563944948904e-08,6.310133642273286e-07
1802,1.096541666356643e-07,5.057518706053088e-07
1803,8.191424427650418e-08,4.3882632283498424e-07
1804,5.9324422707618396e-08,4.770672183962432e-07
1805,4.5486043376286034e-08,3.5535972342515265e-07
1806,4.8988376022407465e-08,6.714289018106001e-07
1807,5.97860605466849e-08,6.092483886277478e-07
1808,1.0197332755979005e-07,3.739022123028235e-07
1809,7.68070356205186e-08,5.015047701562025e-07
1810,9.360507213784786e-08,6.411947346407487e-07
1811,4.512738271955641e-08,6.769107336879188e-07
1812,4.800974684471271e-08,3.1206335204814195e-07
1813,4.601186631703058e-08,2.962013825325016e-07
1814,5.664018942752591e-08,6.230420908082124e-07
1815,3.236668177919455e-08,4.261613104628026e-07
1816,8.57513455798653e-08,4.565679745383022e-07
1817,8.718490818182545e-08,4.530501591659686e-07
1818,5.4837415719433125e-08,2.205417803935461e-07
1819,9.005413570406517e-08,2.277230946035047e-07
1820,5.22125169766241e-08,2.408895696248692e-07
1821,1.3313008651039127e-07,3.145814875260555e-07
1822,5.714601059025881e-08,2.596634374185669e-07
1823,2.1445430498090445e-07,2.895627231325193e-07
1824,1.1200079974571509e-07,2.433701462578597e-07
1825,5.3713202774474667e-08,1.6994505047662756e-07
1826,7.134467683300727e-08,1.8232528109507484e-07
1827,6.083400155842966e-08,1.972496388447098e-07
1828,9.447469984102952e-08,2.650795161152075e-07
1829,4.458051439115707e-08,2.2290257817303427e-07
1830,1.1271782551780518e-07,1.3776622731498378e-07
1831,1.1849316616796557e-07,1.1069756622461568e-07
1832,1.068867558906561e-07,1.772426001522831e-07
1833,1.8302133453218516e-07,2.0271349510103676e-07
1834,1.306834287451153e-07,1.9789205474296523e-07
1835,1.384045091867847e-07,1.2327832621394919e-07
1836,1.2769425195013895e-07,8.938597484409172e-08
1837,7.51452237102157e-08,8.906100701366881e-08
1838,8.521418637386091e-08,1.3444904967130356e-07
1839,8.669429307772702e-08,1.160584877091253e-07
1840,1.0955864837569607e-07,8.726473477160823e-08
1841,1.0658110793926312e-07,1.20064259423458e-07
1842,1.1202802641108178e-07,1.1135720301425067e-07
1843,1.140033822899511e-07,1.4944485160484078e-07
1844,1.108689349216263e-07,1.1141779698853327e-07
1845,1.060243287054341e-07,8.649353011591643e-08
1846,7.025401460580838e-08,1.311408337478781e-07
1847,8.035903054093296e-08,8.952751429092132e-08
1848,8.608387447317511e-08,9.010648532870036e-08
1849,1.868609524890985e-07,7.625267306465844e-08
1850,1.1744962868931452e-07,1.099817357186339e-07
1851,1.186696703125989e-07,9.222697472388575e-08
1852,8.007971130652436e-08,7.356916631451327e-08
1853,1.0212003753728993e-07,8.360704306653588e-08
1854,1.184611526650059e-07,9.300239400822363e-08
1855,1.178140038859965e-07,8.70337721892156e-08
1856,1.340891978562908e-07,1.0665009742005793e-07
1857,1.581608892742281e-07,7.859229933515621e-08
1858,9.493731462084654e-08,7.585197780990427e-08
1859,1.3799789400081863e-07,1.1610155059571525e-07
1860,1.4418129579141237e-07,6.591144829926066e-08
1861,1.348765561459686e-07,8.205776885761296e-08
1862,1.2560001805272947e-07,9.849210180767898e-08
1863,1.7581064803984248e-07,1.0888273066500531e-07
1864,1.3185502290014028e-07,9.44561420190837e-08
1865,1.3743985505243472e-07,1.2002453431136928e-07
1866,1.4791463520680281e-07,1.1774783104101516e-07
1867,9.462982575314527e-08,1.0336488287521206e-07
1868,1.0274938044840809e-07,7.903798815434016e-08
1869,1.3234336893042098e-07,8.985675270523075e-08
1870,8.88777544894026e-08,1.1525437804138505e-07
1871,1.2426777296070668e-07,9.77148342240497e-08
1872,1.1368998076299874e-07,8.768641990286596e-08
1873,1.2510749103356034e-07,7.662085788062711e-08
1874,9.380136356540447e-08,7.229276799414208e-08
1875,1.0985331994062264e-07,1.0413179540869066e-07
1876,7.497058351901842e-08,7.980739225033062e-08
1877,9.648312992993624e-08,4.3912195102358e-08
1878,9.602150763399209e-08,8.213160707093436e-08
1879,1.0324759713853382e-07,6.414791653419627e-08
