year,leurs_DET âges_NOUN,leurs_DET ages_NOUN,leurs_DET cages_NOUN
1800,8.174827570428533e-08,0.0,1.5720821977538435e-08
1801,1.523956829618811e-07,0.0,4.7623650800687756e-08
1802,1.2308120744819462e-07,0.0,6.937304419807333e-08
1803,1.014176405078615e-07,0.0,9.751695984050457e-08
1804,6.426812149129546e-08,0.0,3.460591457837836e-08
1805,3.695740957709859e-08,0.0,4.8328921309348516e-08
1806,9.50950811429152e-08,0.0,0.0
1807,1.1957211620838848e-07,5.693910232196231e-09,2.8469551160981155e-09
1808,4.078933102391602e-08,0.0,2.2660739062985158e-08
1809,6.325285539787728e-08,2.259030518203531e-09,4.743964154840796e-08
1810,1.0062544930633521e-07,2.3401267590372754e-09,1.8721014072298203e-08
1811,3.008492122091866e-08,0.0,3.008491944456182e-08
1812,4.5342538612658245e-08,0.0,1.0668832928217853e-08
1813,1.3228410944421398e-07,5.751483289628823e-09,2.8757416004054903e-08
1814,8.810695728556084e-08,0.0,1.8880061958270744e-08
1815,4.315557688983063e-08,2.697223555614414e-09,4.8550024445148665e-08
1816,7.184571870766376e-08,4.6352077731626196e-09,9.270415546325239e-09
1817,1.1987924608547473e-07,0.0,1.120948880384276e-07
1818,6.675859509641668e-08,0.0,2.5034472272977837e-08
1819,5.6930774094965386e-08,3.1053151161586356e-09,1.2421260464634543e-08
1820,9.730514527461764e-08,0.0,1.542642635854463e-08
1821,8.776724769177235e-08,2.9584463767662328e-09,6.212737702071536e-08
1822,8.622029668003961e-08,0.0,4.3110148340019805e-08
1823,4.941343334508019e-08,0.0,5.5343047478118024e-08
1824,6.652679118701599e-08,0.0,2.7789671008804362e-08
1825,5.28326600246487e-08,8.805443041381977e-10,8.365170600654892e-08
1826,4.051672597427114e-08,0.0,3.6112734136395375e-08
1827,5.1616730445402936e-08,0.0,8.295545583791863e-09
1828,6.145441955318631e-08,0.0,3.118582370120748e-08
1829,6.858540757548326e-08,6.001223296081548e-09,3.1720752247110795e-08
1830,5.740259823028282e-08,1.0436835840010872e-09,6.262101237552997e-08
1831,7.639690635663499e-08,0.0,5.14509785887185e-08
1832,1.0418076623608385e-07,0.0,7.982681893281551e-08
1833,6.139323061038482e-08,1.1583628500844156e-09,2.7800709290204395e-08
1834,2.8003592333902816e-08,1.8669061851994684e-09,2.7070139907436896e-08
1835,8.016873209726327e-08,1.5126175867408165e-09,8.24376584773745e-08
1836,4.771732697861353e-08,4.704525213838906e-09,5.779845224651581e-08
1837,3.409366655660051e-08,2.0873671680021744e-09,8.627785064163618e-08
1838,2.20925673311001e-08,6.312161904276081e-10,9.02639172295494e-08
1839,4.544458864774725e-08,0.0,3.5656523067473245e-08
1840,6.051204193280313e-08,1.2739377330817092e-09,2.7389662093924017e-08
1841,5.585877183023058e-08,0.0,5.008027770259105e-08
1842,5.702025163145663e-08,4.695785538189057e-09,5.366612043644636e-08
1843,7.738053264816358e-08,0.0,6.73387887673016e-08
1844,4.335963410539989e-08,2.195424508855126e-09,4.9945906965831455e-08
1845,3.9061596290856926e-08,5.580227946389016e-10,6.584669165476953e-08
1846,5.795956425913573e-08,2.9272506640865004e-09,4.8006910446929396e-08
1847,6.25613978399997e-08,5.393223645455691e-10,3.289866512545814e-08
1848,6.757986170669028e-08,0.0,5.873011943435813e-08
1849,6.619738002200393e-08,1.6758829879393033e-09,4.1897074254393374e-08
1850,3.59816780814981e-08,1.3577992064028876e-09,6.78899567674307e-08
1851,6.642921590582773e-08,6.449438760824933e-10,3.998652076120379e-08
1852,9.114763432904738e-08,4.557382027314816e-09,3.6459056218518526e-08
1853,5.315019468987714e-08,5.971931837933653e-10,3.3442816516071616e-08
1854,5.2995775989828076e-08,2.0782657816909023e-09,5.195664343204953e-08
1855,7.641989796525195e-08,5.306937111981824e-10,5.837630823180007e-08
