year,voudrions_VERB analyser_VERB
1800,0.0
1801,2.3811825844433088e-09
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,5.143905745796928e-09
1830,0.0
1831,1.091384405071949e-08
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,1.8936485712828244e-09
1839,0.0
1840,0.0
1841,0.0
1842,2.683306021822318e-09
1843,2.953455480181333e-09
1844,0.0
1845,5.580227946389016e-10
1846,5.854501328173001e-10
1847,3.235934187273415e-09
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,1.1943863675867306e-09
1854,0.0
1855,1.0613874223963649e-09
1856,0.0
1857,1.9526036343364694e-09
1858,2.4468380654951716e-09
1859,2.036869339860914e-09
1860,4.57718396518203e-09
1861,2.8295783494058924e-09
1862,3.162590411776023e-09
1863,4.994620828036034e-10
1864,4.794728170054441e-09
1865,0.0
1866,5.352174259343201e-09
1867,0.0
1868,6.421836395986702e-09
1869,0.0
1870,1.1468097582678638e-09
1871,0.0
1872,1.2094678591978436e-09
1873,1.1972008939764578e-09
1874,5.974609251779839e-09
1875,6.293679799540541e-09
1876,4.232210137899983e-09
1877,1.8554447978047506e-09
1878,0.0
1879,4.887460214320072e-09
1880,5.776061406947974e-09
1881,6.972507571312292e-10
1882,7.320923423037584e-09
1883,2.5277355764075082e-09
1884,6.601696966868076e-10
1885,1.2891271383708158e-09
1886,1.2906927748801422e-09
1887,5.223139698529167e-09
1888,5.706553452000662e-09
1889,6.265136853755848e-09
1890,3.9326319978272295e-09
1891,4.461953917456185e-09
1892,7.522214851007902e-09
1893,8.005941687372342e-09
1894,5.041231432301174e-09
1895,3.0093072478365457e-09
1896,1.7691086373616827e-09
1897,4.661370844871726e-09
1898,6.7900258748920805e-09
1899,5.527578395003729e-09
1900,5.191053142894475e-10
1901,1.676621730339889e-09
1902,9.329538919189417e-09
1903,9.720396931811592e-09
1904,6.987012746151322e-09
1905,8.257214467732865e-09
1906,2.572092316910357e-09
1907,1.131425531042396e-08
1908,7.367083831866239e-09
1909,5.5009836685826485e-09
1910,6.412980813053082e-09
1911,2.6601871816467337e-09
1912,3.125652625612929e-09
1913,9.015082902408267e-09
1914,1.3393487430235496e-09
1915,1.4136913861761968e-08
1916,9.888715624128963e-09
1917,6.57985488317081e-09
1918,3.44591288836682e-09
1919,1.8415696745321952e-09
1920,5.300562211374427e-09
1921,1.5145494858259667e-09
1922,0.0
1923,5.307974060286824e-09
1924,0.0
1925,8.798542339150117e-09
1926,1.4489979882625903e-08
1927,4.4596899506643695e-09
1928,3.4278122562625413e-09
1929,4.4561625500705304e-09
1930,6.302162347537887e-09
1931,4.5621426636444085e-09
1932,1.3151444377967891e-08
1933,2.2941324395731044e-09
1934,1.5576054224197833e-08
1935,1.0771455727365264e-08
1936,3.6374143697059935e-09
1937,1.6368453259474336e-08
1938,1.2965214679638848e-08
1939,6.117620188206274e-09
1940,2.5357829613881222e-08
1941,1.1806010391524069e-08
1942,0.0
1943,8.709705845433291e-09
1944,1.6065930807940276e-08
1945,8.714016175304096e-09
1946,9.744772988540262e-09
1947,4.7683483828109274e-09
1948,6.523132700664291e-09
1949,8.835307596655184e-09
1950,1.0635361036293034e-08
1951,8.529121409139861e-09
1952,1.2653764258629963e-08
1953,9.69644453618912e-09
1954,1.3681550115052232e-08
1955,7.508486277174597e-09
1956,2.52913103793162e-08
1957,8.835037590415595e-09
1958,2.4816730004317833e-08
1959,1.6276571201956358e-08
1960,1.6610000486139143e-08
1961,2.292892631317045e-08
1962,9.512934440181198e-09
1963,1.8104948651398445e-08
1964,2.494427064902993e-08
1965,8.20806533852192e-09
1966,1.0524241922382771e-08
1967,1.0846738618397467e-08
1968,1.392338955241712e-08
1969,1.6350327314285096e-08
1970,1.6555409487750694e-08
1971,6.166076982339064e-09
1972,1.7442499000708267e-08
1973,1.929621262775072e-08
1974,1.1813700240281833e-08
1975,1.770558810676448e-08
1976,2.171140245366132e-08
1977,1.5867311020656416e-08
1978,1.2475242172627077e-08
1979,1.8726314721106974e-08
1980,1.762396628635088e-08
1981,2.909752794266751e-08
1982,1.924325765401136e-08
1983,2.0209011353244932e-08
1984,1.8556827185989277e-08
1985,1.5038894574104233e-08
1986,1.558566253834215e-08
1987,1.7721369260925712e-08
1988,1.4391728697660255e-08
1989,1.3720305780395847e-08
1990,1.0352437129768077e-08
1991,9.96449056600568e-09
1992,2.0937788391961476e-08
1993,2.1048988330107932e-08
1994,1.318731612798274e-08
1995,1.3013881527967897e-08
1996,1.868332333287981e-08
1997,1.3425704992187093e-08
1998,1.3350762273489636e-08
1999,1.690974471557638e-08
2000,1.0161472552283612e-08
2001,1.445799924226776e-08
2002,1.752488643091965e-08
2003,1.6250998768896352e-08
2004,9.250062049659391e-09
2005,1.1259373877692269e-08
2006,1.4824403926638752e-08
2007,8.38840730210677e-09
2008,6.811903485726134e-09
2009,6.675469510497578e-09
2010,6.140930874920514e-09
2011,8.412738061736036e-09
2012,4.425528388196653e-09
2013,3.0680376017500066e-09
2014,4.980523993225461e-09
2015,2.659890530054554e-09
2016,2.899876117012923e-09
2017,5.7859059765519305e-09
2018,2.8396134332808742e-09
2019,2.806086474294034e-09
