year,vastes_ADJ anneaux_NOUN,vastes_ADJ canaux_NOUN
1800,0.0,6.288328968651058e-09
1801,0.0,9.524730337773235e-09
1802,0.0,4.475680270843441e-09
1803,0.0,5.851017448321727e-09
1804,0.0,2.4718509461507665e-09
1805,0.0,8.528632911009026e-09
1806,8.645007376628655e-09,1.4408345627714425e-08
1807,8.540865792383556e-09,1.4234775136401367e-08
1808,0.0,4.5321479902327155e-09
1809,0.0,9.036122072814123e-09
1810,0.0,4.680253518074551e-09
1811,1.2535384286138651e-08,5.0141535368197765e-09
1812,0.0,1.3336041604361526e-08
1813,0.0,2.300593315851529e-08
1814,3.1466771410748606e-09,6.293354282149721e-09
1815,0.0,3.236668177919455e-08
1816,0.0,3.9399267848239106e-08
1817,0.0,4.670620334934483e-09
1818,0.0,2.2650237241350624e-08
1819,2.070210003424222e-09,7.24573512300708e-09
1820,2.3732962262101864e-09,3.5599443393152796e-09
1821,0.0,2.2681422962023134e-08
1822,0.0,8.02049271442229e-09
1823,0.0,1.1859224713361982e-08
1824,0.0,1.0105335235266466e-08
1825,3.522177216552791e-09,5.283265824829186e-09
1826,1.8496766784892316e-08,1.145037931138404e-08
1827,0.0,2.3964910056406552e-08
1828,1.8344602503717056e-09,1.3758452155343548e-08
1829,4.286587973467704e-09,1.2859763920403111e-08
1830,0.0,2.0873670791843324e-08
1831,1.091384405071949e-08,2.8064171431196883e-08
1832,1.3529969367098715e-09,1.488296597074168e-08
1833,1.0425265983826648e-08,2.0850531967653296e-08
1834,1.0267983796552471e-08,1.8669061851994684e-09
1835,3.025235173481633e-09,3.025235173481633e-09
1836,8.736974699274924e-09,1.6129799718100912e-08
1837,4.174734336004349e-09,9.045257876039159e-09
1838,6.312161904276081e-10,1.9567702125300457e-08
1839,2.7965900706306e-09,7.690622361167243e-09
1840,1.2739377330817092e-09,5.095750932326837e-09
1841,1.926164561183441e-09,2.0545755319290038e-08
1842,2.683306021822318e-09,1.542900918138912e-08
1843,1.0041748765843295e-08,1.063243981747064e-08
1844,4.390849017710252e-09,1.1525978393933656e-08
1845,1.1160455892778032e-09,1.3392547515422848e-08
1846,2.3418005312692003e-09,1.6392604607062822e-08
1847,0.0,8.629157832729106e-09
1848,0.0,1.287235473768078e-08
1849,0.0,1.6758828991214614e-08
1850,1.3577992064028876e-09,2.5119284430275002e-08
1851,0.0,1.5478653025979838e-08
1852,8.463708844885787e-09,1.3672145193766028e-08
1853,8.360704129017904e-09,7.763511611358354e-09
1854,5.195664454227256e-10,1.3508727469968562e-08
1855,0.0,1.8043586180738203e-08
1856,2.5885946719483854e-09,1.5531567143511893e-08
1857,1.4644527812635033e-09,1.4644527368545823e-08
1858,6.361778659424999e-09,3.4255731584664773e-09
1859,0.0,8.656694916453489e-09
1860,2.288591982591015e-09,1.2816115280145368e-08
1861,4.2443675241088386e-09,1.226150558863992e-08
1862,2.2589932147099034e-09,2.2589931703009825e-08
1863,5.9935452156878455e-09,7.491931519609807e-09
1864,2.3973640850272204e-09,1.4863656971897399e-08
1865,2.3534221238463715e-09,8.943004559114343e-09
1866,2.432806400776144e-09,2.919367858567057e-09
1867,3.88224918879132e-09,2.620518202434141e-08
1868,1.4819622196071691e-09,1.679557115608077e-08
1869,9.767038289254515e-10,7.813630631403612e-09
1870,5.160643912205387e-09,1.0321287824410774e-08
1871,1.0621177271019633e-09,1.0621177271019633e-09
1872,1.2094678591978436e-09,3.628403577593531e-09
1873,1.1972008939764578e-09,8.979006871356887e-09
1874,1.1949218281515073e-09,7.766991494406739e-09
1875,1.0298748520654044e-08,4.577221712764867e-09
1876,4.836811839936672e-09,2.2974855795609983e-08
1877,2.4739263970730008e-09,4.329371083855449e-09
1878,1.8117265465633636e-09,1.8117265465633636e-09
1879,4.27652757650776e-09,3.665595160740054e-09
1880,2.5671385017744797e-09,1.2835692508872398e-09
1881,6.972507571312292e-10,2.091752326904839e-09
1882,2.6621540527571597e-09,7.320923423037584e-09
1883,1.8958017378167824e-09,1.2638677882037541e-09
1884,1.3203393933736152e-09,3.300848483434038e-09
1885,2.5782542767416317e-09,5.80107206715752e-09
1886,1.2906927748801422e-09,2.5813855497602844e-09
1887,1.3057849246322917e-09,5.876032105334161e-09
1888,0.0,4.4384300679212174e-09
1889,3.759081934617825e-09,7.51816386923565e-09
1890,2.6217545912032847e-09,1.9663159989136147e-09
1891,0.0,3.824531802365527e-09
1892,0.0,1.002961980134387e-08
1893,1.847525021858587e-09,3.695050043717174e-09
1894,2.520615716150587e-09,1.1342770278588432e-08
1895,1.2037228991346183e-09,1.444467478961542e-08
1896,0.0,6.486732040400511e-09
1897,5.826713556089658e-10,3.4960281336537946e-09
1898,1.13167097914868e-09,1.3014216371232123e-08
1899,0.0,2.7637891975018647e-09
1900,4.671947717582725e-09,1.5054054003371675e-08
1901,0.0,2.235495566438317e-09
1902,1.9641135384773634e-09,1.0311596021495006e-08
1903,1.0800440541913758e-09,9.1803746826713e-09
1904,3.7622376325430196e-09,6.449550227216605e-09
1905,0.0,4.1286072338664326e-09
1906,0.0,7.716276506641861e-09
1907,0.0,1.2857108266928208e-08
1908,1.964555629285769e-09,6.384805573134145e-09
1909,1.1001967115120692e-09,1.6502950117569526e-09
1910,1.068830135508847e-09,9.085056262847502e-09
1911,0.0,3.1922244847493175e-09
1912,0.0,7.293189607793238e-09
1913,1.060597942803554e-09,0.0
