year,plusieurs_DET hôtes_NOUN,plusieurs_DET côtes_NOUN
1800,3.144164484325529e-09,2.138031902632065e-07
1801,0.0,5.714838380299625e-08
1802,0.0,3.75957142750849e-07
1803,3.1205427575287104e-08,1.540767957664002e-07
1804,0.0,8.157108055684148e-08
1805,0.0,5.685755510853596e-08
1806,0.0,1.3832011802605848e-07
1807,2.8469551160981155e-09,1.1387820464392462e-08
1808,6.798221985349073e-09,9.064295625194063e-08
1809,0.0,5.6475762733043666e-08
1810,0.0,7.488405628919281e-08
1811,0.0,1.1532553045867644e-07
1812,0.0,6.66802022486479e-08
1813,0.0,1.4091133948568313e-07
1814,0.0,8.810695817373926e-08
1815,0.0,9.170560133497929e-08
1816,0.0,1.6918508549679245e-07
1817,3.113746815941454e-09,1.323342360137758e-07
1818,1.668964877410417e-08,6.318224166079744e-08
1819,0.0,1.3042323188106053e-07
1820,0.0,1.0323838495196469e-07
1821,2.9584463767662328e-09,1.0157332908100614e-07
1822,0.0,8.020492714422289e-08
1823,1.087095569118901e-08,5.435477845594505e-08
1824,0.0,1.0863235377911451e-07
1825,0.0,9.421824387345623e-08
1826,8.807984341885344e-10,1.1978858083239174e-07
1827,1.8434546111834038e-09,1.4286773070137926e-07
1828,0.0,1.3483283112236677e-07
1829,8.57317605795771e-10,9.430493719264632e-08
1830,3.1310507520032616e-09,1.0019362406410437e-07
1831,1.5591206103948707e-09,1.262887678876723e-07
1832,0.0,1.7588960288250632e-07
1833,1.1583628500844156e-09,1.633291617508803e-07
1834,7.467624740797874e-09,6.90755317389602e-08
1835,2.2689263801112247e-09,1.4445498663917533e-07
1836,4.704525213838906e-09,9.543465145922525e-08
1837,1.3915781860163179e-09,9.045258053674843e-08
1838,2.5248647617104325e-09,1.1740620919908906e-07
1839,4.894032734625853e-09,9.298661929335594e-08
1840,2.5478754661634184e-09,9.172351694841652e-08
1841,0.0,8.025685538370908e-08
1842,6.037438549100216e-09,6.0374387267359e-08
1843,1.7720733214154905e-09,6.14318764746713e-08
1844,1.1525978393933656e-08,7.629100307049441e-08
1845,2.2320911785556063e-09,3.794554936931149e-08
1846,5.854501328173001e-10,5.503231181869239e-08
1847,4.314578916364553e-09,5.9325459211834186e-08
1848,0.0,5.712107359334695e-08
1849,8.379414939696517e-10,8.71459120421747e-08
1850,1.2899092460827433e-08,6.4495464080494e-08
1851,6.449438760824933e-09,4.51460699935069e-08
1852,3.2552727180501506e-09,8.333498002777162e-08
1853,1.1943863675867306e-09,7.584353767242646e-08
1854,4.676098175337984e-09,2.8056588163849483e-08
1855,5.306937111981824e-09,5.996838581268094e-08
1856,3.1063134287023786e-09,4.6076985338316945e-08
1857,1.9526036343364694e-09,5.808995884315493e-08
1858,5.872411001917044e-09,3.229826267547864e-08
1859,2.1387128512628806e-08,4.2774256803213007e-08
1860,1.0527522853465143e-08,5.446848794221637e-08
1861,6.13075279431996e-09,2.5466203645851948e-08
1862,9.035972858839614e-09,2.3041730301542884e-08
1863,6.99246927027275e-09,2.3974180862751382e-08
1864,7.1920918109924514e-09,3.979624307870466e-08
1865,1.2237795665726026e-08,4.23615986733239e-08
1866,1.2650593461671633e-08,4.622332322457012e-08
1867,8.249779526181555e-09,3.54255238477208e-08
