year,risques_NOUN couverts_ADJ
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,8.540865792383556e-09
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,1.556873407970727e-09
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,2.641632912414593e-09
1826,0.0
1827,0.0
1828,1.8344602503717056e-09
1829,8.57317605795771e-10
1830,0.0
1831,3.1182412207897414e-09
1832,5.411987746839486e-09
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,2.0873671680021744e-09
1838,3.1560809521380406e-09
1839,2.097442586279641e-08
1840,4.458782232319436e-09
1841,5.1364388298225094e-09
1842,1.341653010911159e-09
1843,5.906911071384968e-10
1844,0.0
1845,4.464182357111213e-09
1846,2.3418005312692003e-09
1847,1.1865092020002521e-08
1848,4.82713291560799e-09
1849,8.379414939696517e-10
1850,2.7834882843080777e-08
1851,1.805842941848823e-08
1852,0.0
1853,5.971931837933653e-10
1854,2.0782657816909023e-09
1855,6.8990182455763716e-09
1856,6.212626857404757e-09
1857,8.786716299002961e-09
1858,4.404308473482388e-09
1859,2.4442432078330967e-08
1860,1.2358396306311192e-08
1861,8.017138342086838e-09
1862,5.873382252774562e-09
1863,1.2486552236623538e-08
1864,9.10998321224099e-09
1865,5.177528628053096e-09
1866,8.758103242634263e-09
1867,0.0
1868,4.44588676984381e-09
1869,9.767038289254515e-10
1870,6.880858549607183e-09
1871,1.3807530230280918e-08
1872,1.0885210954825197e-08
1873,9.577607151811662e-09
1874,7.766991494406739e-09
1875,5.721527251978387e-09
1876,1.269663130187837e-08
1877,7.4217790801967e-09
1878,1.8117266020745149e-09
1879,3.0546627449723474e-09
1880,7.701415505323439e-09
1881,9.064259565150223e-09
1882,1.0648615766939429e-08
1883,1.0742875922176154e-08
1884,1.5844072720483382e-08
1885,4.511945039809007e-09
1886,1.871504551331782e-08
1887,2.9380160526670807e-08
1888,1.3315291091942072e-08
1889,1.691586903884712e-08
1890,2.6872984115744458e-08
1891,2.103492668936724e-08
1892,5.014809900671935e-09
1893,1.3548516086814288e-08
1894,2.3315696040526745e-08
1895,7.824199066419624e-09
1896,2.653663044860366e-08
1897,2.2141510735984582e-08
1898,1.4711722506888236e-08
1899,1.879376654301268e-08
1900,6.021621712370973e-08
1901,2.9620316976952665e-08
1902,2.5533475223049606e-08
1903,2.2680925804152707e-08
1904,2.3110888314192835e-08
1905,2.425556694385378e-08
1906,5.092742794143845e-08
1907,2.7257069656894117e-08
1908,2.2101250385375693e-08
1909,3.190570296851547e-08
1910,6.092331916729421e-08
1911,3.4582431474028397e-08
1912,3.0735585521135533e-08
1913,3.977242241104406e-08
1914,6.027069388014894e-08
1915,6.950649733550307e-08
1916,4.5048595298524674e-08
1917,3.728584241358135e-08
