year,nos_DET ouvertures_NOUN,nos_DET couvertures_NOUN
1800,0.0,2.5153315874604232e-08
1801,2.3811825844433088e-09,6.667310969987739e-08
1802,4.475680270843441e-09,2.2378401354217203e-09
1803,9.751696339321825e-09,3.900678446910888e-09
1804,4.943701892301533e-09,5.6852570651244605e-08
1805,1.421438877713399e-08,5.685755422035754e-09
1806,4.3225035994964855e-08,6.916005901302924e-08
1807,1.1387820464392462e-08,5.693910232196231e-09
1808,6.798221985349073e-09,4.758755522971114e-08
1809,1.129515236897305e-08,1.8072244145628247e-08
1810,0.0,5.616304221689461e-08
1811,1.7549536934780008e-08,5.0141535368197765e-09
1812,0.0,2.9339290108509886e-08
1813,2.8757416448144113e-09,0.0
1814,0.0,0.0
1815,0.0,5.394447111228828e-09
1816,0.0,1.622322720606917e-08
1817,2.1796227045456362e-08,0.0
1818,2.384235475716423e-09,2.1458118837358597e-08
1819,1.0351049795076506e-08,2.898294093611753e-08
1820,4.746592452420373e-09,2.254631326081835e-08
1821,1.97229765852569e-09,3.155676331356716e-08
1822,0.0,3.60922172149003e-08
1823,2.668325471688604e-08,1.5515818496680822e-07
1824,6.736890156844311e-09,2.105278085196005e-08
1825,6.163809906922779e-09,3.258013947515792e-08
1826,8.80798456392995e-09,4.1397527184017235e-08
1827,4.608636583469661e-09,1.6591091167583727e-08
1828,1.9261833017480967e-08,1.1006761724274838e-08
1829,2.3147574523818548e-08,2.1432940755516938e-08
1830,1.461157062010443e-08,2.400472176589119e-08
1831,1.2472964883158966e-08,7.795603274018958e-09
1832,9.470978667991403e-09,1.352996914505411e-08
1833,5.791814139399776e-09,4.865124125785769e-08
1834,1.7735608537350345e-08,1.213489042584115e-08
1835,3.781543966852041e-09,4.61348363955949e-08
1836,3.4947900906523444e-08,2.8227150394855016e-08
1837,3.270208637218275e-08,1.87863058442872e-08
1838,6.943378316748294e-09,2.209256688701089e-08
1839,1.957613093850341e-08,9.088918062616358e-09
1840,1.3376346252869098e-08,1.910906560764758e-08
1841,1.2841097074556274e-08,3.467096387765878e-08
1842,1.408735705865638e-08,3.4212153110502186e-08
1843,1.0041748765843295e-08,2.008349753168659e-08
1844,8.232841963717874e-09,5.3239045172404076e-08
1845,5.580227946389016e-10,1.3950570143528296e-08
1846,5.854501328173001e-09,2.1076203893244383e-08
1847,9.168480197274675e-09,4.0988499705463255e-08
1848,2.413566457803995e-09,5.792559676365272e-08
1849,6.703531951757213e-09,6.619737735746867e-08
1850,1.2899092460827433e-08,8.893584890756756e-08
1851,9.674158363282004e-09,6.320450296470881e-08
1852,7.161600201754936e-09,1.4974254725075298e-08
1853,7.763511389313749e-09,9.853687288341462e-08
1854,2.0263092093131263e-08,6.390667084410495e-08
1855,4.192480318465641e-08,1.8043586180738203e-08
1856,3.416944893697149e-08,4.4523826403519706e-08
1857,1.1227470564367792e-08,3.172980811427806e-08
1858,8.80861672492017e-09,2.5936483183386372e-08
1859,1.3239650931140545e-08,2.5460867192350634e-08
1860,1.2816115280145368e-08,8.696649311801252e-08
1861,1.933545146215465e-08,6.413710762487312e-08
1862,1.9427341513278407e-08,2.4848924751186274e-08
1863,3.49623441309177e-08,3.696019490462277e-08
1864,2.4932584663517332e-08,2.4932585773740357e-08
1865,3.859612363044107e-08,4.00081777152117e-08
1866,2.092213513549268e-08,1.0266443450923646e-07
1867,5.192508112372707e-08,5.143980175148499e-08
1868,2.0253483112853132e-08,6.224241255736729e-08
1869,4.688178556477851e-08,5.518376455793117e-08
1870,1.7202147262196377e-08,5.6193677266946906e-08
1871,3.717412155879174e-08,1.6569036476177246e-07
1872,1.8746751706544273e-08,9.978109527519763e-08
1873,1.1972008717719973e-08,6.764185389585009e-08
1874,3.0470507006441494e-08,5.7356248084339256e-08
1875,1.1443054226401017e-08,9.669381029198121e-08
1876,8.464420719889176e-09,8.162120290755581e-08
1877,6.432208721207644e-08,7.359930975781026e-08
1878,4.7708800354762104e-08,5.254007173771669e-08
1879,2.077170613290491e-08,8.003215945517894e-08
1880,1.6044616302224313e-08,4.2999571236990164e-08
1881,5.159655458442103e-08,7.042232852416674e-08
1882,1.6638462829732248e-08,7.986461980635795e-08
1883,6.319339107552224e-09,7.58320695126713e-08
1884,1.3203393933736152e-08,6.271611852071146e-08
1885,3.0294486919046903e-08,6.510092387390642e-08
1886,4.7755634113855194e-08,7.098809973182796e-08
1887,4.439668632727489e-08,6.724792300794036e-08
1888,2.1558090423923204e-08,6.65764527951751e-08
1889,1.9421923624918236e-08,8.645888893710207e-08
1890,2.2284913470116408e-08,4.9157899362217705e-08
1891,3.697047767925454e-08,8.095259695917179e-08
1892,4.952124754709075e-08,8.838602383320904e-08
1893,2.0938616174248637e-08,6.589505852083732e-08
1894,2.457600345451283e-08,5.419323900746065e-08
1895,3.129679559954468e-08,4.4537745935713247e-08
1896,2.4767521755730826e-08,5.366296207398591e-08
1897,1.3401440845939305e-08,5.9432476717802274e-08
1898,5.658354784721098e-09,6.67685909894189e-08
1899,2.432134493801641e-08,5.030096339453394e-08
1900,1.038210584169974e-08,3.68564786468184e-08
1901,7.265360535413379e-09,4.526878449873095e-08
1902,8.347482483017643e-09,4.3701526841744e-08
1903,3.0781254878320397e-08,3.6181475593366486e-08
1904,2.6873125946735854e-08,4.998401426092869e-08
1905,9.289366276199473e-09,2.9416327151920996e-08
1906,5.144184633820714e-09,1.594697174311932e-08
1907,2.46856486363356e-08,4.1657032823216866e-08
1908,1.3751889627044989e-08,3.4379725066813194e-08
1909,5.5009836685826485e-09,3.7406688746521866e-08
1910,2.404867771588215e-08,8.657524286359575e-08
1911,9.576673454247953e-09,3.830669470517023e-08
1912,1.354449502555255e-08,2.7088990606216612e-08
1913,4.242391771214216e-09,4.0302722159601956e-08
1914,9.37544086809794e-09,3.4153391226254826e-08
1915,7.068456930880984e-09,1.0249263082684479e-07
1916,2.197492410260793e-09,9.229468389548856e-08
1917,1.4256351654751143e-08,1.32693742216361e-07
1918,2.067547733020092e-08,8.27019102089821e-08
1919,7.366278698128781e-09,4.60392427514833e-08
1920,1.8930579770426448e-08,4.846228440769096e-08
1921,9.844571879913389e-09,3.86210117220287e-08
1922,2.0658220023506146e-08,3.910305829135652e-08
1923,2.0170300985000722e-08,3.715581931018619e-08
1924,2.0626599095407983e-08,1.5469949543600592e-08
1925,1.7597084678300234e-08,6.708888644624267e-08
1926,1.7833821530643945e-08,5.2386851523422706e-08
1927,1.3379070296082318e-08,3.233275258640589e-08
1928,1.1426041224282812e-09,3.884854016256156e-08
1929,3.4535258208734376e-08,3.453526065122503e-08
1930,1.155396367469308e-08,3.781297219784818e-08
1931,2.623232031595535e-08,2.3951248984133144e-08
1932,1.9727165678773417e-08,2.4110979879310435e-08
1933,1.4911860191091364e-08,3.4411986149507356e-08
1934,2.3963160344919743e-09,3.354842448288764e-08
1935,2.393656828303392e-09,2.154291056655211e-08
1936,2.424942913137329e-09,2.3036957230715416e-08
1937,6.295559185076627e-09,2.1404900518717795e-08
1938,1.8151300906765755e-08,7.779128452511941e-09
1939,2.9058696782158222e-08,2.141167065872196e-08
1940,1.5214697057785997e-08,4.310830958864642e-08
1941,0.0,2.6563522936839945e-08
1942,0.0,3.034211815133858e-08
1943,0.0,7.548411673496958e-08
1944,3.2131861615880553e-09,4.4984606262232774e-08
1945,2.178504043826024e-09,1.1110370357059196e-07
1946,1.3921104269343232e-09,1.155451645473704e-07
1947,2.3841741914054637e-09,8.583027044650748e-08
1948,1.4133454184772631e-08,4.6749117910138693e-08
1949,4.908504269707237e-09,3.435952899977224e-08
1950,1.1698897850465073e-08,2.2334258886758107e-08
1951,2.1322803522849654e-09,3.3050346015528476e-08
1952,8.435843135146115e-09,4.112473561690422e-08
1953,1.0773827163745864e-08,4.0940544732137596e-08
1954,1.2704297169818801e-08,4.299916067651566e-08
1955,1.220129064449793e-08,3.566530937249013e-08
1956,8.72114158667614e-10,4.360570926564833e-08
1957,9.718541527092839e-09,3.7990662726805624e-08
1958,8.272243445794913e-10,4.7979012318677405e-08
1959,6.975673150222406e-09,3.255314029448897e-08
1960,3.460416619915918e-09,4.567749911643659e-08
1961,1.389631876236308e-08,2.5708189077544574e-08
1962,5.0735651235811474e-09,3.29781729146994e-08
1963,3.879631726988464e-09,3.556329231102495e-08
1964,7.909158605823308e-09,5.41473177406715e-08
1965,1.0944087081021792e-08,3.119064762024948e-08
1966,6.092982118843793e-09,4.652822838124848e-08
1967,5.916402479044791e-09,2.9582013727491585e-08
1968,4.940557296606585e-09,4.4015876277114785e-08
1969,4.1784169901859514e-08,3.7696589627600474e-08
1970,3.035158580022568e-08,3.2650948167400884e-08
1971,6.679916730867319e-09,4.4704058232980515e-08
1972,5.130146973897354e-09,4.206720483068693e-08
1973,4.410563025913916e-09,3.7489786941513614e-08
1974,6.750686232237513e-09,4.275434384304333e-08
1975,3.998036124386317e-09,2.227477224892027e-08
1976,7.998937512354587e-09,2.8567635146359294e-08
1977,1.057820719907454e-08,2.6445518497286713e-08
1978,2.970295565063452e-09,3.920790370148808e-08
1979,3.803782677724854e-08,1.6385525491990904e-08
1980,1.4212877097463661e-08,3.2973875241371076e-08
1981,3.795329828193417e-09,4.174862833217219e-08
1982,1.1173503899897241e-08,3.041676066573018e-08
1983,8.209910973278056e-09,2.462973291983417e-08
1984,4.059305780401701e-09,2.957494366073732e-08
1985,1.564045071233977e-08,3.609334697785016e-08
1986,7.792831269171074e-09,3.716581120638551e-08
1987,6.110816852533674e-10,4.3997882004376265e-08
1988,1.0194141475405871e-08,2.818380373525997e-08
1989,4.939310072060721e-09,4.2258541221862345e-08
1990,3.814055737905164e-09,3.977515050657132e-08
1991,3.5168792322792797e-09,2.7548886116779414e-08
1992,1.322386644631024e-08,4.8487508341743535e-08
1993,6.647049133334804e-09,2.8249957040316076e-08
1994,6.329912038971486e-09,3.323203745519976e-08
1995,2.7112254663563817e-09,3.253470326480823e-08
1996,6.4057104065540216e-09,2.829188794351012e-08
1997,7.671831170341648e-09,3.644119872525664e-08
1998,5.2449422582867555e-09,4.195953706709332e-08
1999,3.1991407301035224e-09,5.0729233175283994e-08
2000,3.092622158362701e-09,4.771473927078773e-08
2001,1.0953029233595757e-08,5.038393546819009e-08
2002,3.9430991805033955e-09,3.8992872042342697e-08
2003,3.333538334260311e-09,4.5419460636964004e-08
2004,3.523833003171717e-09,3.391689312737256e-08
2005,1.8014998381943315e-09,4.728936930931127e-08
2006,4.11788997345397e-09,3.7884587911207745e-08
2007,3.1955834922658966e-09,6.351222125999811e-08
2008,5.5346714711301814e-09,4.087142196906868e-08
2009,5.721831008997924e-09,4.339055115210044e-08
2010,9.919965293647692e-09,4.676555254157222e-08
2011,3.82397197240536e-09,5.0858828204436435e-08
2012,7.829781267787439e-09,5.7531872210692114e-08
2013,3.3469499394200852e-09,7.75376769457381e-08
2014,6.4963353585412165e-09,8.726743794262859e-08
2015,3.989835573037226e-09,6.782720714249013e-08
2016,5.178350331869197e-09,8.989616073762363e-08
