year,puissions_VERB oser_VERB,puissions_VERB causer_VERB
1800,0.0,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,2.842877755426798e-08
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,4.518061036407062e-09,0.0
1810,0.0,0.0
1811,0.0,5.0141535368197765e-09
1812,0.0,2.6672082320544632e-09
1813,0.0,2.8757416448144113e-09
1814,0.0,3.1466771410748606e-09
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,2.384235475716423e-09
1819,0.0,3.1053151161586356e-09
1820,0.0,3.5599443393152796e-09
1821,0.0,9.86148829262845e-10
1822,0.0,1.303330066093622e-08
1823,0.0,0.0
1824,0.0,0.0
1825,0.0,0.0
1826,0.0,4.403992281964975e-09
1827,0.0,9.217273055917019e-10
1828,0.0,9.172301251858528e-10
1829,0.0,6.001223074036943e-09
1830,1.0436835840010872e-09,4.174734336004349e-09
1831,0.0,3.1182412207897414e-09
1832,0.0,1.3529969367098715e-09
1833,0.0,1.1583628500844156e-09
1834,0.0,8.401078055442213e-09
1835,0.0,9.832014313815307e-09
1836,0.0,6.720750067579218e-10
1837,0.0,1.3915781860163179e-09
1838,0.0,6.312161904276081e-10
1839,0.0,1.3982950353153e-09
1840,0.0,1.9109065441114126e-09
1841,0.0,8.988767952189392e-09
1842,0.0,6.037438549100216e-09
1843,0.0,3.5441467538532834e-09
1844,0.0,1.5916826967554698e-08
1845,0.0,1.0602432709561072e-08
1846,0.0,6.439951683034906e-09
1847,0.0,1.6179670936367074e-09
1848,0.0,3.218088684420195e-09
1849,2.513824481908955e-09,5.865590679832167e-09
1850,0.0,6.788996032014438e-10
1851,0.0,1.2253933867611977e-08
1852,0.0,2.6042181744401205e-09
1853,0.0,2.9859659189668264e-09
1854,0.0,6.234797567117312e-09
1855,0.0,1.3798036491152743e-08
1856,0.0,8.801221973442352e-09
1857,0.0,2.4407544874094356e-09
1858,0.0,1.1255455234504552e-08
1859,0.0,4.073738679721828e-09
1860,0.0,6.408057640072684e-09
1861,0.0,1.4147891747029462e-09
1862,0.0,1.0843167252971853e-08
1863,0.0,1.9978483312144135e-09
1864,0.0,1.4863656971897399e-08
1865,4.706844358715045e-10,8.47231973466478e-09
1866,0.0,4.379051787850585e-09
1867,0.0,1.164674756637396e-08
1868,0.0,6.421836395986702e-09
1869,4.883519144627257e-10,3.4184632902167778e-09
1870,0.0,6.880858549607183e-09
1871,0.0,2.1242354542039266e-09
1872,0.0,1.0885210954825197e-08
1873,0.0,7.183205141814142e-09
1874,0.0,1.0754296120296658e-08
1875,0.0,6.293679799540541e-09
1876,0.0,7.255217759905008e-09
1877,0.0,2.4739263970730008e-09
1878,0.0,3.0195443923020093e-09
1879,0.0,7.331190321480108e-09
1880,0.0,8.984985200299889e-09
1881,0.0,1.8825771164188154e-08
1882,0.0,2.9283693692150337e-08
1883,0.0,1.516641390253426e-08
1884,0.0,1.4523733327109767e-08
1885,0.0,3.2228177904158883e-09
1886,0.0,1.097088819790315e-08
1887,0.0,1.8933882017790893e-08
1888,0.0,5.07249175996094e-09
1889,0.0,5.012109394186837e-09
1890,0.0,7.209825181320184e-09
1891,0.0,5.736798147637501e-09
1892,0.0,6.268512375839919e-09
1893,0.0,6.15841644346915e-09
1894,0.0,8.192000855444803e-09
1895,0.0,1.625025980445116e-08
1896,0.0,6.486732040400511e-09
1897,0.0,5.826713334045053e-09
1898,0.0,4.52668391659472e-09
1899,0.0,8.844125432005967e-09
1900,0.0,6.748368974740515e-09
1901,0.0,2.235495566438317e-09
1902,0.0,1.4730852093691738e-09
1903,0.0,1.0260418292773466e-08
1904,5.374625189347171e-10,1.1286712897629059e-08
1905,0.0,9.805441791854719e-09
1906,0.0,1.1317205839134203e-08
1907,0.0,9.771402353919711e-09
1908,0.0,7.858222517143076e-09
1909,0.0,7.701377313651392e-09
1910,0.0,1.7635697346918278e-08
1911,0.0,1.1172785363555704e-08
1912,0.0,1.614920641657136e-08
1913,1.590896969716482e-09,2.6514948014977335e-09
1914,0.0,1.2723813114234872e-08
1915,0.0,0.0
1916,0.0,5.493730803607377e-09
1917,0.0,3.289927441585405e-09
1918,4.594550517822427e-09,1.6080926812378493e-08
1919,0.0,6.4454939163738345e-09
1920,0.0,7.572231730534895e-09
1921,1.5145494858259667e-09,1.3630945261411398e-08
1922,1.4755870969551665e-09,2.951174238319254e-08
1923,1.0615948120573648e-09,5.307974060286824e-09
1924,0.0,1.804827398643738e-08
1925,0.0,4.399271169575059e-09
1926,1.1146138456652466e-09,1.3375366592072169e-08
1927,0.0,1.2264147031260109e-08
1928,0.0,1.4853853258500749e-08
1929,0.0,1.0026365515614089e-08
1930,0.0,1.3654684494213143e-08
1931,0.0,7.983749661377715e-09
1932,0.0,2.1919073223131136e-09
1933,0.0,3.4411986593596566e-09
1934,0.0,1.0783422155213884e-08
1935,0.0,5.98414207075848e-09
1936,0.0,4.849885826274658e-09
1937,0.0,1.2591118148108649e-09
1938,1.2965214457594243e-09,6.482607339819424e-09
1939,0.0,6.117620188206274e-09
1940,0.0,0.0
1941,2.9515025978810172e-09,0.0
1942,0.0,3.034211770724937e-09
1943,0.0,0.0
1944,0.0,9.639558484764166e-09
1945,0.0,2.178504132643866e-08
1946,0.0,4.1763312808029696e-09
1947,0.0,5.960435700558264e-09
1948,0.0,4.348755133776194e-09
1949,0.0,2.945102384188658e-09
1950,0.0,1.0635361480382244e-09
1951,0.0,1.0661401539380222e-08
1952,0.0,1.1599284199803606e-08
1953,1.0773827385790469e-09,4.3095309543161875e-09
1954,9.772536113672459e-10,1.6613311615287785e-08
1955,1.8771215692936494e-09,1.0324168187025862e-08
1956,0.0,1.1337483840634377e-08
1957,0.0,5.301022731885041e-09
1958,8.272243445794913e-10,1.1581140491045971e-08
1959,2.325224457422337e-09,1.1626121398933265e-08
1960,6.920833350854139e-10,6.2287499602575735e-09
1961,0.0,5.55852741612739e-09
1962,0.0,5.0735651235811474e-09
1963,0.0,4.526237162849611e-09
1964,0.0,6.6923653285755336e-09
1965,0.0,4.924839203113152e-09
1966,0.0,7.200797291773142e-09
1967,0.0,1.2818872185960117e-08
1968,0.0,4.491415683816058e-09
1969,0.0,4.995933444718048e-09
1970,0.0,2.7592350626548523e-09
1971,1.0276794970565106e-09,8.735275613958038e-09
1972,0.0,4.104117490300041e-09
1973,0.0,9.923766697284009e-09
1974,1.1251143350321513e-09,3.937900228123681e-09
1975,5.711480177694739e-10,1.028066431985053e-08
1976,0.0,3.4281160132820787e-09
1977,0.0,8.815172591880582e-09
1978,1.7821774056514528e-09,8.910887139279566e-09
1979,0.0,5.851973128301324e-09
1980,0.0,1.0801786132219604e-08
1981,0.0,3.1627747087981106e-09
1982,0.0,8.069752865935698e-09
1983,0.0,8.841442245000053e-09
1984,0.0,6.378909400694965e-09
1985,1.2031116103372597e-09,6.015557829641693e-09
1986,0.0,1.7983456945813714e-09
1987,6.110816852533674e-10,4.277571630240118e-09
1988,5.996553809062277e-10,6.596209356501959e-09
1989,5.488122178931576e-10,3.841685636274406e-09
1990,0.0,4.358920779878872e-09
1991,0.0,2.9307325455363298e-09
1992,0.0,2.7549720282848966e-09
1993,2.2156829704300662e-09,4.4313659408601325e-09
1994,0.0,5.802419433820205e-09
1995,0.0,5.4224509327127635e-09
1996,0.0,5.3380921904988554e-09
1997,0.0,2.876936688878118e-09
1998,0.0,4.7681290027412615e-09
1999,1.3710603763428253e-09,5.484241505371301e-09
2000,0.0,4.859834756842929e-09
2001,0.0,2.190605918883648e-09
2002,0.0,7.448076377869484e-09
2003,0.0,2.5001538617175356e-09
2004,0.0,3.9643119897903034e-09
2005,9.007499190971657e-10,4.5037495954858286e-10
2006,4.1178899179428186e-10,3.294311934354255e-09
2007,3.994479469415779e-10,2.7961355453243186e-09
2008,0.0,3.8316958494988285e-09
2009,0.0,4.291373478793048e-09
2010,0.0,9.447586046817946e-10
2011,0.0,2.2943831279320648e-09
2012,6.808505426114664e-10,5.7872298064864935e-09
2013,5.578250084070646e-10,4.183687618564136e-09
2014,2.1654451842767486e-10,4.114345752981308e-09
2015,4.433150790905671e-10,1.0196246513771712e-08
2016,0.0,1.0356700386182638e-08
2017,0.0,4.024978128569501e-09
2018,7.744400121190154e-10,8.518839855753413e-09
2019,5.1019755087367e-10,7.90806176098613e-09
