year,mais_CONJ ouvrir_VERB,mais_CONJ couvrir_VERB
1800,3.144164484325529e-09,3.144164484325529e-09
1801,2.6193008650921e-08,7.143547975374531e-09
1802,2.2378401354217203e-09,1.1189200677108602e-08
1803,1.3652374120098898e-08,2.9255089017965474e-08
1804,2.4718509461507665e-09,2.4718509461507665e-09
1805,0.0,2.842877711017877e-09
1806,0.0,0.0
1807,0.0,5.693910232196231e-09
1808,9.064295980465431e-09,2.2660739951163578e-09
1809,1.129515236897305e-08,0.0
1810,0.0,0.0
1811,5.0141535368197765e-09,1.2535384286138651e-08
1812,3.467370746079723e-08,0.0
1813,0.0,2.8757416448144113e-09
1814,1.2586708564299443e-08,6.293354282149721e-09
1815,4.5852800667489646e-08,0.0
1816,9.270415546325239e-09,0.0
1817,7.784366928831332e-09,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,1.676452932031225e-08,0.0
1822,3.208197085768916e-08,0.0
1823,2.1741911049311113e-08,0.0
1824,9.263223965660927e-09,4.210556348027694e-09
1825,1.6730341556581152e-08,0.0
1826,1.0569580766173203e-08,1.7615968683770689e-09
1827,3.318218411152429e-08,9.217273055917019e-10
1828,1.1006761502230233e-08,0.0
1829,1.7146351893870815e-08,1.714635211591542e-09
1830,5.218417920005436e-09,2.0873671680021744e-09
1831,0.0,0.0
1832,2.1647950987357945e-08,8.117981842303834e-09
1833,6.950177322551099e-09,0.0
1834,1.0267984462686286e-08,0.0
1835,1.285724948729694e-08,0.0
1836,2.016225009171535e-08,3.36037508930076e-09
1837,7.653679912067446e-09,4.174734336004349e-09
1838,8.205810475558906e-09,0.0
1839,1.0487212875887053e-08,2.0974426639952526e-09
1840,3.821813254756279e-09,0.0
1841,3.2102742686390684e-09,0.0
1842,2.683306021822318e-09,6.708265054555795e-10
1843,4.134837805480629e-09,2.3627644285539873e-09
1844,7.683985947526395e-09,5.488561272137815e-10
1845,5.5802281129224696e-09,3.9061593959388574e-09
1846,8.196302303531411e-09,5.854501328173001e-10
1847,5.9325460100012606e-09,2.6966118227278457e-09
1848,4.8271330266302925e-09,4.827132860096839e-09
1849,1.5920887719289567e-08,8.379414939696517e-10
1850,7.467895635215882e-09,6.1100964288129944e-09
1851,1.2253933423522767e-08,9.029214709244116e-09
1852,7.161600201754936e-09,6.510545436100301e-10
1853,1.6721408258035808e-08,3.5831591027601917e-09
1854,5.195664454227256e-09,4.1565315633818045e-09
1855,1.8574279891936385e-08,0.0
1856,1.1907535124588975e-08,1.915559949550172e-08
1857,7.81041464836818e-09,2.9289055625270066e-09
