year,moins_ADV ouvert_VERB,moins_ADV couvert_VERB
1800,2.1065902444661333e-07,2.5153315874604232e-08
1801,2.4764298700574727e-07,0.0
1802,1.3427040812530322e-07,0.0
1803,1.2677205063482688e-07,0.0
1804,7.415552971679062e-08,0.0
1805,1.3077237781544682e-07,0.0
1806,1.613734639249742e-07,0.0
1807,8.825561081948763e-08,0.0
1808,6.798222074166915e-08,9.064295980465431e-09
1809,8.810219043198231e-08,9.036122072814123e-09
1810,1.4508785284306214e-07,9.360507036149102e-09
1811,6.267691787797958e-08,2.5070767684098882e-09
1812,4.5342538612658245e-08,5.3344164641089264e-09
1813,1.1790540810352468e-07,0.0
1814,1.5733385794192145e-07,3.1466771410748606e-09
1815,1.7531952778426785e-07,0.0
1816,2.549364239712304e-07,0.0
1817,9.029865566390072e-08,0.0
1818,1.7166495069886878e-07,0.0
1819,7.970308502081025e-08,5.175524897538253e-09
1820,1.1747816586193949e-07,1.1866481131050932e-08
1821,9.565643921405353e-08,0.0
1822,1.443688688596012e-07,3.0076847679083585e-09
1823,9.190898708766326e-08,1.9765373782121287e-09
1824,1.3557990996559965e-07,1.6842225392110777e-08
1825,8.277116592125822e-08,8.805443041381977e-10
1826,7.662946188702335e-08,0.0
1827,1.244331855332348e-07,0.0
1828,1.412534373912422e-07,2.7516904310687096e-09
1829,9.173298565201549e-08,8.57317605795771e-10
1830,9.497520636614354e-08,0.0
1831,1.091384405071949e-07,6.236482441579483e-09
1832,1.055337577327009e-07,0.0
1833,9.151066393542351e-08,4.6334514003376626e-09
1834,1.0267984151823839e-07,1.120143711119681e-08
1835,1.777325735474733e-07,3.781543966852041e-09
1836,9.409050250042128e-08,6.048674894287842e-09
1837,7.931995327226105e-08,3.478945576063097e-09
1838,8.77390533560174e-08,4.418513555037862e-09
1839,7.900366938429215e-08,2.0974426639952526e-09
1840,1.3248951802324882e-07,1.9109065441114126e-09
1841,9.052973126699726e-08,1.926164561183441e-09
1842,1.1269885646925104e-07,0.0
1843,8.32874462730615e-08,5.906910960362666e-09
1844,1.0538037997775973e-07,1.756339607084101e-08
1845,1.1048851433770324e-07,2.7901139176833567e-09
1846,1.147482251440124e-07,1.1709002656346001e-09
1847,8.790954808546303e-08,5.393223645455691e-10
1848,7.079795238951192e-08,1.6090443422100975e-09
1849,1.1144621936409749e-07,0.0
1850,1.2288083439671027e-07,6.788996032014438e-09
1851,9.02921399870138e-08,0.0
1852,1.0547083917344935e-07,0.0
1853,1.194386385350299e-07,5.971931837933653e-09
1854,9.092412511790826e-08,0.0
1855,1.56023958197693e-07,9.021793090369101e-09
1856,8.490590630572115e-08,1.2942972915652717e-08
1857,1.4400451675555814e-07,7.810414537345878e-09
