year,ils_PRON osent_VERB,ils_PRON causent_VERB
1800,4.527596786374488e-07,2.295240069116744e-07
1801,3.3574674063174825e-07,2.5478654208654916e-07
1802,2.439245747609675e-07,2.0588129245879827e-07
1803,4.992868340991663e-07,3.1595494220937326e-07
1804,4.5234872203536725e-07,2.2246658271107833e-07
1805,2.4733036241286754e-07,1.5920115714607164e-07
1806,3.198652720470818e-07,1.2391177506287931e-07
1807,3.7010416775729027e-07,1.0818429529990681e-07
1808,1.948823609154715e-07,1.5409302811519865e-07
1809,2.959330061003129e-07,1.92017588496185e-07
1810,3.5803938658318657e-07,2.293324143920472e-07
1811,3.183987402621824e-07,2.1560860830049933e-07
1812,2.6405361808201633e-07,2.3471432220034671e-07
1813,3.105801056335622e-07,2.616924845710855e-07
1814,5.569618508616259e-07,1.950939889638903e-07
1815,6.41939209344855e-07,1.1328339155625144e-07
1816,3.406877695510957e-07,1.5296185296165277e-07
1817,4.483795379428557e-07,3.502965242319078e-07
1818,4.720786250800302e-07,2.145811892617644e-07
1819,7.42170300327416e-07,1.8114337230201727e-07
1820,5.007655090594199e-07,2.3970292062358567e-07
1821,4.88143676591335e-07,2.1399429428470285e-07
1822,4.5315783836485934e-07,2.1454818011079624e-07
1823,3.666476757757664e-07,1.4824030003524058e-07
1824,4.597927585336947e-07,1.8863291906257018e-07
1825,3.2139866590341626e-07,1.4705090478628335e-07
1826,4.403992264201406e-07,1.86729263162988e-07
1827,2.9587446448431365e-07,1.742064554832723e-07
1828,4.971387284058437e-07,1.8344601926401083e-07
1829,4.6123687980070827e-07,2.01469640970231e-07
1830,2.786635135976212e-07,1.8995041273228708e-07
1831,3.9133927742796004e-07,1.6838502148175394e-07
1832,4.1131107764158514e-07,2.908943415036447e-07
1833,3.54459032791965e-07,1.922882333360576e-07
1834,3.164405999456221e-07,2.2589564174779753e-07
1835,3.9328055834175757e-07,1.5958115540115614e-07
1836,2.842877258046883e-07,1.7809987795658344e-07
1837,2.8109878158488755e-07,2.2056513682144896e-07
1838,3.168705191569643e-07,1.571728347471435e-07
1839,2.3980759777941785e-07,1.656979637942868e-07
1840,3.2803897909161606e-07,1.382222443169212e-07
1841,2.850723603842198e-07,1.5922960194814095e-07
1842,3.32059116203709e-07,1.8313563288074874e-07
1843,3.183824972552429e-07,1.7070973612476337e-07
1844,2.9912659726960555e-07,1.6410798675536853e-07
1845,2.338115550060138e-07,1.4731801911693765e-07
1846,2.751615610918634e-07,1.9905304071698993e-07
1847,3.640425916273671e-07,1.299766871909469e-07
