year,avais_VERB ouvert_VERB
1800,3.144164484325529e-09
1801,0.0
1802,0.0
1803,3.900678446910888e-09
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,1.5862518409903714e-08
1809,2.259030518203531e-09
1810,0.0
1811,2.5070767684098882e-09
1812,8.00162425207418e-09
1813,0.0
1814,3.1466771410748606e-09
1815,0.0
1816,0.0
1817,7.784366928831332e-09
1818,7.152706427149269e-09
1819,0.0
1820,2.3732962262101864e-09
1821,2.3667571014129862e-08
1822,1.2030739071633434e-08
1823,1.9765373782121287e-09
1824,6.736890156844311e-09
1825,1.6730341556581152e-08
1826,2.642395191543301e-09
1827,6.452091305675367e-09
1828,3.668920500743411e-09
1829,1.3717081692732336e-08
1830,1.0436835395921662e-08
1831,1.5591206103948707e-09
1832,4.7354891563600177e-08
1833,4.6334514003376626e-09
1834,1.8669061851994684e-09
1835,9.832014313815307e-09
1836,3.36037508930076e-09
1837,6.262101948095733e-09
1838,0.0
1839,6.292327547896548e-09
1840,1.7835128929277744e-08
1841,5.778493683550323e-09
1842,4.024959032733477e-09
1843,2.3627644285539873e-09
1844,1.6465684371524958e-09
1845,8.928364714222425e-09
1846,6.439951683034906e-09
1847,4.853901280910122e-09
1848,1.206783295515379e-08
1849,2.513824481908955e-09
1850,6.1100964288129944e-09
1851,1.9348316282474798e-09
1852,4.557382027314816e-09
1853,5.971931837933653e-09
1854,5.7152309551611324e-09
1855,3.1841622671890946e-09
1856,9.318940286107136e-09
1857,8.298565390418844e-09
1858,8.808616946964776e-09
1859,1.5276519604867644e-08
1860,8.696649622663699e-09
1861,2.8295783494058924e-09
1862,1.8071945051545413e-09
1863,6.99246927027275e-09
1864,9.589456340108882e-09
1865,9.88437331983505e-09
1866,1.6056523222118813e-08
1867,4.85281148598915e-09
1868,1.1361710683388537e-08
1869,7.325278605918584e-09
1870,9.17447806614291e-09
1871,2.1242354542039266e-09
1872,5.442605477412599e-09
1873,1.1373408881354408e-08
1874,9.559374625212058e-09
1875,6.293679799540541e-09
1876,1.1487427897804992e-08
1877,7.421779191219002e-09
1878,3.6234530931267273e-09
1879,6.720257683667796e-09
1880,7.059631101924424e-09
1881,2.2312024228199334e-08
1882,1.3310770263785798e-09
1883,7.58320695126713e-09
1884,5.941527270181268e-09
1885,1.2891271383708158e-09
1886,7.744156427236248e-09
1887,4.570247291724172e-09
1888,1.0779045211961602e-08
1889,7.51816386923565e-09
1890,6.554386366985909e-09
1891,8.92390783491237e-09
1892,6.268512375839919e-10
1893,5.542574843531156e-09
1894,4.411077725308132e-09
1895,7.22233739480771e-09
1896,8.255840455717589e-09
1897,2.330685422435863e-09
1898,7.921697076085366e-09
1899,7.185851913504848e-09
1900,2.595526460424935e-09
1901,5.029864968975062e-09
1902,3.928227076954727e-09
1903,5.400220270956879e-09
1904,2.1498500757388683e-09
1905,2.580379465655369e-09
1906,3.0865106026567446e-09
1907,9.771402353919711e-09
1908,2.4556945366072114e-09
1909,2.7504918342913243e-09
1910,2.137660271017694e-09
1911,2.6601871816467337e-09
1912,2.6047106693738442e-09
1913,3.181793939432964e-09
1914,6.696743715117748e-10
1915,2.3561523843085297e-09
1916,1.0987462051303964e-09
1917,2.1932848870420685e-09
1918,1.1486376294556067e-09
1919,1.2890987832747669e-08
1920,1.0601124422748853e-08
1921,2.2718242842501013e-09
1922,9.591316185719734e-09
1923,8.492758496458919e-09
1924,9.02413699321869e-09
