year,trous_NOUN ouverts_ADJ,trous_NOUN couverts_ADJ
1800,2.2009151834367913e-08,0.0
1801,9.524730337773235e-09,0.0
1802,0.0,0.0
1803,1.1702034896643454e-08,0.0
1804,1.4831105232815389e-08,7.4155526164076946e-09
1805,3.4114531644036106e-08,1.421438877713399e-08
1806,2.5935023018064385e-08,0.0
1807,5.693910232196231e-09,0.0
1808,2.945896149242344e-08,0.0
1809,1.129515236897305e-08,0.0
1810,2.106114038724627e-08,0.0
1811,0.0,0.0
1812,2.6672082320544632e-09,0.0
1813,2.5881675469463516e-08,0.0
1814,0.0,6.293354282149721e-09
1815,1.3486118000116676e-08,0.0
1816,1.622322720606917e-08,1.8540831092650478e-08
1817,0.0,1.556873407970727e-09
1818,0.0,2.384235475716423e-09
1819,4.140420006848444e-09,2.3807414706311647e-08
1820,0.0,0.0
1821,2.9584463767662328e-09,0.0
1822,3.0076847679083585e-09,0.0
1823,9.882686891060644e-10,0.0
1824,1.0947446504872005e-08,3.3684450784221553e-09
1825,1.7610886970942374e-08,1.1447076175841175e-08
1826,8.80798456392995e-09,0.0
1827,2.7651818612639545e-08,0.0
1828,6.420610709767516e-09,0.0
1829,7.715858174606183e-09,0.0
1830,1.0436835840010872e-09,0.0
1831,1.5591206103948707e-09,0.0
1832,0.0,0.0
1833,1.6217079235048004e-08,4.6334514003376626e-09
1834,9.334530925997342e-10,0.0
1835,0.0,4.5378527602224494e-09
1836,2.688300027031687e-09,5.376600054063374e-09
1837,3.478945576063097e-09,0.0
1838,6.943378316748294e-09,0.0
1839,5.5931801412612e-09,4.894032734625853e-09
1840,7.0066574764382494e-09,0.0
1841,0.0,0.0
1842,2.683306021822318e-09,0.0
1843,8.269675610961258e-09,0.0
1844,7.1351298203126134e-09,0.0
1845,5.580227835366713e-09,0.0
1846,2.9272506640865004e-09,0.0
1847,3.775256551818984e-09,0.0
1848,0.0,8.045221711050488e-10
1849,1.6758829879393033e-09,1.6758828991214614e-08
