year,deux_DET anneaux_NOUN,deux_DET canots_NOUN
1800,2.7983064265768576e-07,2.326681656228402e-07
1801,2.881231040419152e-07,9.048493598839968e-08
1802,3.513409012612101e-07,2.1707049313590687e-07
1803,3.471603804428014e-07,1.5602713787643552e-08
1804,1.97748079244775e-07,1.6561400784098623e-07
1805,3.212451815670647e-07,5.401467717547348e-08
1806,3.7749865544611794e-07,8.933174200365102e-08
1807,2.0782772480743006e-07,1.992868590150465e-07
1808,1.6768947119771838e-07,1.3823052036343597e-07
1809,3.0496911573862917e-07,2.3719820974044126e-07
1810,1.8487001796074765e-07,2.995362189395223e-07
1811,2.381722978839207e-07,1.3538214638231238e-07
1812,2.8539128038573836e-07,6.668020624545079e-08
1813,2.703197212738928e-07,4.026038169513413e-08
1814,2.926409763404081e-07,4.090680105761635e-08
1815,1.5374174289206621e-07,7.552226044538202e-08
1816,3.8008704450476216e-07,2.8043007382905216e-07
1817,1.0742426648224779e-07,2.3353100786493997e-08
1818,3.099506038495292e-07,6.556647225153256e-08
1819,2.71197507117904e-07,6.003608898907942e-08
1820,2.5750263610291313e-07,4.0464701367426414e-07
1821,1.972297698493719e-07,1.656730095334069e-07
1822,2.3560197348615475e-07,1.6843034700286807e-07
1823,2.7276214797922194e-07,1.8875931928619138e-07
1824,2.863178218959206e-07,6.231623217445303e-08
1825,4.288250863293541e-07,1.8051158257037514e-07
1826,3.884321149172365e-07,1.7527889362156657e-07
1827,3.0140481532825447e-07,1.4931982184052117e-07
1828,3.989951076199816e-07,1.2566052465246003e-07
1829,2.649111365826684e-07,1.0887933915570969e-07
1830,2.5152774973946634e-07,3.057992969957013e-07
1831,1.9956743813054345e-07,2.1515865000765189e-07
1832,4.7219592147484946e-07,1.447706790003167e-07
1833,3.533006704969921e-07,5.201049297909321e-07
1834,3.6311324080884333e-07,2.97771536095226e-07
1835,2.7302748151214473e-07,1.5958115540115614e-07
1836,2.5270019676781885e-07,9.879502549381414e-08
1837,2.9431879688956997e-07,1.321999282266617e-07
1838,3.4906255486077953e-07,5.680945847075236e-08
1839,3.614592678502504e-07,1.0557127538834976e-07
1840,3.433262278917937e-07,6.433385557613747e-08
1841,2.2921358233674027e-07,1.784912537772243e-07
1842,2.2405605104580673e-07,1.9789381289214703e-07
1843,3.561867458756751e-07,1.0750577805751504e-07
1844,3.990184040958411e-07,6.256959839134879e-08
1845,3.3369762153512283e-07,5.859239315952891e-08
1846,3.70589926745879e-07,9.659926902827465e-08
1847,3.074137424619039e-07,6.148274955819488e-08
1848,2.952596265259899e-07,6.91889091020137e-08
1849,2.8238628857479853e-07,3.7707368560901955e-08
1850,3.014314176041921e-07,8.48624512883589e-08
1851,2.2702023727561027e-07,8.835730946898934e-08
1852,4.401128741449156e-07,5.8594908702858106e-08
1853,4.042997812092608e-07,5.971931749115811e-08
1854,3.397964540852172e-07,4.8839245536669296e-08
1855,3.677707489657678e-07,5.625353338700734e-08
1856,2.8578084165786777e-07,5.3842769520695555e-08
1857,3.675776376610429e-07,6.492406973146458e-08
