year,mes_DET ans_NOUN,mes_DET camps_NOUN
1800,1.2262241444460642e-07,1.2576657937302116e-08
1801,2.809795489611133e-07,0.0
1802,9.622712582313397e-08,1.7902721083373763e-08
1803,1.1897068930011301e-07,1.3652374342143503e-08
1804,2.0269178335752258e-07,4.69651695311768e-08
1805,1.336152555264647e-07,0.0
1806,1.3832011802605848e-07,0.0
1807,1.0533733885154106e-07,0.0
1808,1.3143229082857033e-07,1.5862517965814504e-08
1809,1.1746958961111886e-07,3.840351947559384e-08
1810,2.1763179169909108e-07,1.6380886869171718e-08
1811,8.524061279047146e-08,0.0
1812,1.1468995486652034e-07,0.0
1813,2.875741715868685e-07,1.4378708224072057e-08
1814,1.3530711440168375e-07,3.1466771410748606e-09
1815,7.282503844407984e-08,5.394447111228828e-09
1816,1.0197456923322079e-07,2.3176038865813098e-09
1817,2.459860013459547e-07,0.0
1818,1.1563542257064796e-07,2.384235475716423e-09
1819,2.111614219035829e-07,5.175524897538253e-09
1820,2.4563615674821904e-07,9.493184904840746e-09
1821,1.4397773084873222e-07,9.86148829262845e-10
1822,1.87479017199621e-07,2.0051231786055723e-08
1823,2.1445430964384116e-07,1.9765373782121287e-09
1824,3.065284950309888e-07,7.57900142644985e-09
1825,1.717061417494392e-07,8.805443485471187e-09
1826,9.336463135944939e-08,1.4973572604048968e-08
1827,9.032927539287527e-08,1.6591091167583727e-08
1828,1.2290883910637262e-07,6.420610709767516e-09
1829,8.74463982336593e-08,8.57317605795771e-10
1830,1.544651753171422e-07,2.0873671680021744e-09
1831,1.4811645598911127e-07,4.677361609140007e-09
1832,1.434176764014694e-07,1.3529969367098715e-09
1833,1.1699465085612815e-07,2.20088942626262e-08
1834,1.0734710209625575e-07,2.8003592777992026e-09
1835,9.302598158456021e-08,1.3613558280667348e-08
1836,9.879502327336809e-08,7.392825018825988e-09
1837,6.888311654407175e-08,2.7831563720326358e-09
1838,8.268932338850732e-08,4.418513555037862e-09
1839,6.711816002979987e-08,3.0063343925412767e-08
1840,5.0320539179971036e-08,8.280595320542261e-09
1841,8.346712876416973e-08,8.346713098461578e-09
1842,7.91575285319368e-08,5.366612043644636e-09
1843,7.324569972766426e-08,3.5441467538532834e-09
1844,6.421616838281352e-08,5.488561161115513e-09
1845,7.031086912689943e-08,6.473064217971114e-08
1846,4.6836011513562426e-08,2.9272506640865004e-09
1847,4.853901458545806e-08,2.6966118227278457e-09
1848,4.98803736093123e-08,1.206783295515379e-08
1849,1.5250535856381475e-07,1.005529792763582e-08
1850,9.708264059327121e-08,1.3577992064028876e-09
1851,4.4501126561513615e-08,5.159551008659946e-09
1852,5.664174484998341e-08,6.510545436100301e-09
1853,5.613615816635331e-08,1.2541057081705276e-08
1854,6.182840839308312e-08,1.558699391779328e-09
1855,8.278821894691646e-08,1.2205955357558196e-08
1856,7.558696424325717e-08,3.1063134287023786e-09
1857,9.616573248827365e-08,0.0
1858,7.683071689967846e-08,1.859596909792316e-08
1859,9.573285764119532e-08,4.582956236731661e-09
1860,6.224969983925632e-08,4.577183909670879e-10
1861,8.866011791397455e-08,7.545541802489453e-09
1862,8.764893544288554e-08,2.4397126097142063e-08
1863,6.84263046224487e-08,4.395266373080631e-08
