year,aux_ADP anneaux_NOUN,aux_ADP canaux_NOUN
1800,1.3519907327008696e-07,3.6472309261625924e-07
1801,1.1191558257905854e-07,3.405090986952075e-07
1802,1.879785713754245e-07,3.8938418356337934e-07
1803,1.794312112224361e-07,2.5354410126965377e-07
1804,9.39303390623536e-08,6.797589975349183e-07
1805,1.3930100806192058e-07,6.339617071304815e-07
1806,7.492339904047185e-08,2.852852389878535e-07
1807,1.6227644472621705e-07,2.818485427269479e-07
1808,7.931259204951857e-08,1.8355199760122787e-07
1809,1.4457795316502597e-07,2.2364402241237258e-07
1810,1.427477371862551e-07,2.480534320170591e-07
1811,1.5543875520052097e-07,4.0865350348084917e-07
1812,4.187516857712126e-07,4.5875982301879503e-07
1813,1.581657897986588e-07,2.530652523091703e-07
1814,5.34935111318191e-07,3.681612383843458e-07
1815,1.1598061178119679e-07,1.9689731800554e-07
1816,6.44293859153322e-07,4.009454812603508e-07
1817,1.9149543106777855e-07,1.619148393139369e-07
1818,9.656153565629211e-08,3.7909343042485943e-07
1819,1.0040518816367694e-07,3.622867374986072e-07
1820,1.6613073228199937e-07,2.7174240813110373e-07
1821,1.4693617345074017e-07,3.076784218514206e-07
1822,1.1830226753772877e-07,4.78221878097429e-07
1823,1.620760627929485e-07,3.360113591810432e-07
1824,2.054751462310378e-07,3.3179182867826285e-07
1825,1.655423345070517e-07,4.1297526531813844e-07
1826,1.074574091930458e-07,2.9859068262361177e-07
1827,1.2074627997460397e-07,4.86672001698274e-07
1828,2.311419962097716e-07,3.971606474806322e-07
1829,1.483159492998709e-07,6.524186966783141e-07
1830,1.461157055349105e-07,4.988807376093973e-07
1831,1.0757932500382594e-07,4.6617707538665343e-07
1832,2.8412936758925866e-07,5.114328587296768e-07
1833,1.471120830709438e-07,3.926849978519442e-07
1834,1.69888461520884e-07,4.937966764373414e-07
1835,1.550433026409337e-07,4.1370090286818595e-07
1836,1.5726554847272922e-07,3.481348624378988e-07
1837,1.5724832858055038e-07,4.821818473388362e-07
1838,1.672722840240226e-07,4.5384445002127904e-07
1839,1.5381245455081682e-07,5.180683388950058e-07
1840,1.7962522347314547e-07,6.484342947032928e-07
1841,1.3932590547938162e-07,4.815411638325884e-07
1842,1.6837745731024256e-07,4.6756607074982526e-07
1843,1.4708209050695586e-07,5.493427579494892e-07
1844,1.9594163280789445e-07,4.039580971948453e-07
1845,2.583645497544751e-07,6.835779231550987e-07
1846,1.8910039845110305e-07,4.5665110737225234e-07
1847,1.4238110956910077e-07,4.967158790947224e-07
1848,1.0861049304367043e-07,4.3041936237386835e-07
1849,1.6088476684217312e-07,4.566781071080328e-07
1850,2.3286256478627365e-07,3.523489056078688e-07
1851,1.0899551572407518e-07,4.6500452643982726e-07
1852,2.4870283255040704e-07,5.586048246186692e-07
1853,1.5706180533925362e-07,3.2726185850151523e-07
1854,1.48076430783739e-07,2.4783318508525554e-07
1855,1.4116452717871653e-07,3.4070535548380576e-07
1856,1.6463462326754552e-07,2.862985581941757e-07
1857,1.35705956028076e-07,2.6360150068294175e-07
1858,3.0879096679647944e-07,3.2934440241660923e-07
1859,1.6651406964385274e-07,2.4951648924798064e-07
1860,1.8171419968737723e-07,4.146928651027615e-07
1861,1.4006411896971827e-07,2.4334372028533835e-07
1862,1.5180433665662463e-07,2.688201803657808e-07
1863,1.1887197415294537e-07,3.031734934211272e-07
