year,canaux_NOUN ouverts_ADJ,canaux_NOUN couverts_ADJ
1800,7.231578180721954e-08,4.087413785214267e-08
1801,1.1191558257905854e-07,2.3811825400343878e-08
1802,3.3567602031325805e-08,9.622712582313397e-08
1803,2.5354410126965377e-08,7.801356893821776e-09
1804,4.449331747480301e-08,8.404293083685843e-08
1805,4.264316544322355e-08,7.960057502032214e-08
1806,0.0,8.645007376628655e-09
1807,1.7081731584767113e-08,1.4234775136401367e-08
1808,1.5862518409903714e-08,4.5321479902327155e-09
1809,1.1295152591017654e-08,3.162642769893864e-08
1810,3.2761775514700275e-08,9.360507036149102e-09
1811,5.0141535368197765e-09,1.0028307073639553e-08
1812,1.600324850414836e-08,1.3336041604361526e-08
1813,8.627225156487839e-09,5.463909147351842e-08
1814,0.0,2.8320094713762956e-08
1815,6.47333635583891e-08,2.1577788444915313e-08
1816,8.343373991692715e-08,9.270415546325239e-09
1817,4.203558034987509e-08,1.0898113522728181e-08
1818,1.144433028343883e-07,2.8610825708597076e-08
1819,1.1386155129855524e-08,2.6912729822470283e-08
1820,2.3732962262101864e-08,2.610625848831205e-08
1821,1.0847637454958203e-08,1.0847637454958203e-08
1822,2.606660132187244e-08,8.02049271442229e-09
1823,1.680056804787e-08,9.882686669016039e-09
1824,2.3579115548955087e-08,1.7684335773537896e-08
1825,1.4088708866211164e-08,2.1133063299316746e-08
1826,2.6423952803611428e-08,1.3211976401805714e-08
1827,2.8573547083965423e-08,1.8434546111834038e-09
1828,2.935136400594729e-08,1.1006761724274838e-08
1829,1.971830521085849e-08,1.2002446148073886e-08
1830,1.878630406793036e-08,8.349468672008697e-09
1831,6.392394169552063e-08,4.677361609140007e-09
1832,2.705993829010822e-08,1.3529969367098715e-09
1833,3.4750886612755494e-09,2.20088942626262e-08
1834,7.467624740797874e-09,3.733812370398937e-09
1835,5.294161553592858e-09,7.563087933704082e-09
1836,6.048674894287842e-09,1.4113575197427508e-08
1837,6.957891152126194e-09,2.7831563720326358e-09
1838,1.3886756633496589e-08,8.2058102535143e-09
1839,9.088918062616358e-09,6.292327547896548e-09
1840,1.9746034141121527e-08,4.458782232319436e-09
1841,5.1364388298225094e-09,1.219904177673925e-08
1842,3.3541325272778977e-09,6.708265054555795e-09
1843,4.7255288571079745e-09,1.1813821920725331e-08
1844,1.097712254427563e-09,6.037417232818143e-09
1845,1.5066614622583074e-08,1.3950569588416784e-08
1846,5.854501328173001e-09,1.1709002656346001e-08
1847,1.0786447290911383e-09,1.294373674909366e-08
1848,1.206783295515379e-08,2.815827571112095e-08
1849,1.6758829879393033e-09,6.703531951757213e-09
1850,5.431196825611551e-09,1.0183494048021657e-08
1851,7.739326512989919e-09,7.094382858952031e-09
1852,4.557382027314816e-09,5.208436348880241e-09
1853,4.777545470346922e-09,1.4332636411040767e-08
1854,9.352196350675968e-09,2.286092382064453e-08
1855,1.1675261646360013e-08,2.1227748447927297e-09
1856,8.801221973442352e-09,1.1907535402144731e-08
1857,6.8341128311999455e-09,6.8341128311999455e-09
1858,2.4468380654951716e-09,4.404308473482388e-09
1859,1.3748867822016564e-08,1.6804172275897145e-08
1860,9.612086238064421e-09,2.746310290291376e-09
1861,1.8863854478468056e-08,1.2733101684148096e-08
1862,3.298130124562704e-08,1.8523744316212287e-08
1863,1.048870412745373e-08,3.496234635136375e-09
1864,1.821996598039277e-08,7.1920918109924514e-09
1865,7.0602665935837194e-09,1.882737743486018e-09
1866,1.1190909976477315e-08,7.298419202328432e-09
1867,1.5043715606566366e-08,1.1161466417775046e-08
1868,1.8277534152844055e-08,2.1735445443482604e-08
1869,3.906815315701806e-09,1.8069020057964735e-08
1870,1.2614907340946502e-08,8.601073631098188e-09
1871,5.098165090089424e-08,1.1683295220166201e-08
1872,5.442605477412599e-09,7.861540751719076e-09
1873,1.077480804578812e-08,1.5563610844537834e-08
1874,1.3741600746186577e-08,2.9873046258899194e-09
1875,1.2015206607429718e-08,5.721527140956084e-10
1876,1.3905833817773328e-08,1.1487427897804992e-08
1877,1.4225077116236662e-08,1.9172929910382663e-08
1878,6.039088784604019e-09,2.4156354694326865e-09
1879,8.553055264037823e-09,6.720257683667796e-09
1880,5.776061406947974e-09,8.343199908722454e-09
1881,7.669758161910067e-09,2.091752326904839e-09
1882,1.3310770263785798e-09,9.317538740560849e-09
1883,1.516641390253426e-08,0.0
1884,8.582206056928499e-09,3.300848483434038e-09
1885,1.4824961702686323e-08,2.1915161241281567e-08
1886,2.5813855497602844e-09,4.5174246565693466e-09
1887,1.1099172247952538e-08,4.570247291724172e-09
1888,2.155808975778939e-08,7.60873763994141e-09
1889,4.385595886446936e-09,4.385595886446936e-09
1890,9.176140736144589e-09,3.2771931834929546e-09
1891,6.374220040683554e-10,5.099376032546843e-09
1892,6.8953633913793055e-09,3.761107425503951e-09
1893,2.463366621796581e-09,4.926733243593162e-09
1894,1.1972924873759894e-08,3.780923574225881e-09
1895,1.2037228991346183e-08,1.8055843487019274e-09
1896,3.5382172747233653e-09,1.7691086373616827e-09
1897,1.7480140668268973e-09,2.9133566670225264e-09
1898,1.0185038590293516e-08,5.092519295146758e-09
1899,6.080336234504102e-09,1.6582735185011188e-09
1900,1.5054054003371675e-08,1.2977633190303095e-08
