year,leurs_DET arts_NOUN,leurs_DET quarts_NOUN
1800,6.697070524808169e-07,1.2576657937302116e-08
1801,5.810085745849847e-07,0.0
1802,5.885519556159124e-07,4.475680270843441e-09
1803,4.797834440850579e-07,1.1702034896643454e-08
1804,6.451530942808148e-07,4.943701892301533e-09
1805,7.078765733581349e-07,0.0
1806,5.648071566000112e-07,4.034336598124355e-08
1807,7.430552741993779e-07,0.0
1808,7.387401268488247e-07,6.798221985349073e-09
1809,4.721373887406344e-07,6.7770917766551975e-09
1810,3.9314130306777884e-07,8.190443878675069e-08
1811,6.117267474792243e-07,1.0028307073639553e-08
1812,6.107906767027771e-07,4.267533171287141e-08
1813,5.780240712738305e-07,2.8757416004054903e-08
1814,4.310947678831667e-07,0.0
1815,4.234641099998271e-07,0.0
1816,4.403447402268057e-07,0.0
1817,6.04066890730337e-07,6.227493631882908e-09
1818,3.3379297725844026e-07,9.536941902865692e-09
1819,5.247982581835231e-07,8.280840013696888e-09
1820,6.111237560446625e-07,2.3732962262101864e-09
1821,4.4080853101036155e-07,2.1695274909916407e-08
1822,4.661911532366503e-07,5.012807946513931e-09
1823,3.251403942750031e-07,1.4824030003524058e-08
1824,4.244240940920463e-07,3.3684450784221553e-09
1825,5.820398083500322e-07,1.7610886082763955e-09
1826,5.443334156751689e-07,4.403992281964975e-09
1827,5.281497443831995e-07,1.6591091167583727e-08
1828,4.356843135155941e-07,3.210305266065916e-08
1829,6.575626281812852e-07,1.2002446148073886e-08
1830,4.769634003309875e-07,7.305785310052215e-09
1831,3.788663036630169e-07,1.5591206103948707e-09
1832,5.114328511801602e-07,4.058990921151917e-09
1833,5.479056355284229e-07,6.950177322551099e-09
1834,4.6579308410343856e-07,5.600718555598405e-09
1835,3.5697774336540533e-07,3.025235173481633e-09
1836,3.884593628988853e-07,3.36037508930076e-09
1837,4.606123740202861e-07,6.957890930081589e-10
1838,3.017213447975564e-07,8.837027110075724e-09
1839,2.740658295863341e-07,2.0974426639952526e-09
1840,3.293129053894006e-07,0.0
1841,4.0706278525703965e-07,1.1556987367100646e-08
1842,2.8174712429773763e-07,0.0
1843,4.1112101367701825e-07,5.906911071384968e-10
1844,3.8255273260290323e-07,6.037417232818143e-09
1845,2.6952499787569195e-07,1.674068439427856e-09
1846,3.653208899834226e-07,1.7563503984519002e-09
1847,2.9932391143461246e-07,1.6179670936367074e-09
1848,3.210043532653195e-07,4.82713291560799e-09
1849,2.279200925769942e-07,1.6758829879393033e-09
1850,2.769910292244049e-07,2.7155984128057753e-09
1851,2.702314800817618e-07,1.2253933867611977e-08
1852,2.8776610538905345e-07,1.9531636308300904e-09
1853,2.974021926505088e-07,1.7915795513800958e-09
1854,2.317266301066212e-07,1.558699391779328e-09
1855,2.589785346174267e-07,3.714855978387277e-09
1856,2.0656985633138447e-07,1.0354378465748937e-09
1857,2.1332195121459563e-07,1.4644527812635033e-09
1858,2.437050765080606e-07,2.936205500958522e-09
1859,2.9789212807607157e-07,5.092173349652285e-10
1860,2.0002293132925786e-07,9.154367819341758e-10
1861,2.48531297430965e-07,1.8863854922557266e-09
1862,2.8553672315467793e-07,1.8071945051545413e-09
1863,2.3075148247730937e-07,3.496234635136375e-09
1864,2.2535221533281913e-07,3.3563094525845827e-09
1865,2.20280310436749e-07,1.882737743486018e-09
1866,1.5034743816588758e-07,2.919367858567057e-09
1867,2.3778775926075468e-07,7.279217228983725e-09
1868,1.9067913648029844e-07,8.397785578040384e-09
1869,1.7531834206607755e-07,7.325278605918584e-09
1870,1.8578318261575077e-07,2.8670243956696595e-09
1871,1.1577083469660465e-07,0.0
1872,2.582214007063044e-07,4.8378714367913744e-09
1873,1.7898153714668297e-07,1.7958012854535355e-09
1874,1.6967889671093417e-07,2.3898436563030145e-09
1875,1.9167115306029103e-07,2.8607636259891933e-09
1876,1.831942544328058e-07,1.209202959984168e-09
1877,2.0409892576012112e-07,6.80329748092845e-09
1878,2.602847164467903e-07,4.22736201599605e-09
1879,2.034405275352924e-07,9.774920428640144e-09
1880,1.7264006357819994e-07,8.343199908722454e-09
1881,1.9523021876910462e-07,2.7890030285249168e-09
1882,1.5972924272134037e-07,6.655385131892899e-09
1883,1.6051121171090088e-07,1.8958017378167824e-09
1884,1.6438224825776615e-07,5.941527270181268e-09
1885,1.7467672686066749e-07,5.80107206715752e-09
1886,1.251972037152882e-07,2.5813855497602844e-09
1887,1.9586774158142362e-07,6.528924512139156e-09
1888,1.084245115912097e-07,1.268122939990235e-09
1889,1.7918290384777436e-07,5.6386229019267375e-09
1890,1.2125615267422063e-07,1.3108772956016423e-09
1891,1.389580031041504e-07,8.92390783491237e-09
1892,1.209822917402903e-07,6.8953633913793055e-09
1893,1.2994259190879376e-07,1.847525021858587e-09
1894,1.3359262940326744e-07,3.150769645188234e-09
1895,1.2338159649516456e-07,6.6204757231957956e-09
1896,1.2501701873723903e-07,1.533227589334274e-08
1897,8.332200496230513e-08,4.078699600285063e-09
1898,1.1939128796711884e-07,5.092519295146758e-09
1899,1.5145565512852954e-07,1.4371703827009696e-08
1900,8.720969102427034e-08,2.595526460424935e-09
1901,1.190401378581285e-07,7.265360757457984e-09
1902,1.016428754496701e-07,4.910283735171106e-09
1903,9.50438781011087e-08,3.7801539676252105e-09
1904,1.3221578143429724e-07,5.374625189347171e-10
1905,1.2385822306670846e-07,5.160758931310738e-09
1906,1.301478673165768e-07,3.0865106026567446e-09
1907,1.1622825968338191e-07,2.057137349353866e-09
1908,1.1050625170483386e-07,2.9468334439286537e-09
1909,8.69155369898067e-08,6.0510818578052294e-09
1910,9.405705458931379e-08,5.878565634276356e-09
1911,7.448523731135026e-08,1.2236860413850081e-08
1912,1.0002088524085906e-07,5.2094213387476884e-09
1913,1.0659009408442444e-07,5.302989602995467e-09
1914,1.1585366826993848e-07,8.036092680185902e-09
1915,1.1545146694214026e-07,2.3561524287174507e-08
1916,9.668966782783173e-08,3.625862632361532e-08
1917,8.77313937053259e-08,1.864292187292449e-08
1918,9.303964532136888e-08,4.135095466040184e-08
1919,8.1949848795837e-08,8.287063479883727e-09
1920,1.1055458060127421e-07,9.843901693784574e-09
1921,9.693117064557555e-08,9.087297137000405e-09
1922,1.2468711396707022e-07,2.7298360905092522e-08
1923,1.1252905096625909e-07,2.1231896241147297e-09
1924,9.668718092825657e-08,1.0313299547703991e-08
1925,1.2427940410120186e-07,7.698724324711748e-09
1926,7.80229711949687e-08,6.687683296036084e-09
1927,1.4939960779614125e-07,8.919379901328739e-09
1928,1.0854739307397665e-07,4.570416489713125e-09
1929,8.466708578680482e-08,4.4561625500705304e-09
1930,1.4179864449292978e-07,8.402882833991043e-09
1931,1.0606981426519724e-07,3.4216069977333063e-09
1932,1.0411560014134125e-07,3.287861094491973e-09
1933,6.767690918785263e-08,5.735331320977366e-09
