year,nos_DET âges_NOUN,nos_DET ages_NOUN,nos_DET cages_NOUN
1800,9.432493763839034e-08,3.144164484325529e-09,3.458580977167003e-08
1801,9.762848840466631e-08,2.3811825844433088e-09,7.143547975374531e-09
1802,1.1412984690650774e-07,0.0,1.7902721083373763e-08
1803,1.2872238985828233e-07,0.0,9.751696339321825e-09
1804,1.3842365964578107e-07,0.0,0.0
1805,2.0753007090590359e-07,0.0,1.9900143755080535e-08
1806,1.3543844712415876e-07,0.0,1.152667650217154e-08
1807,7.402083213037258e-08,0.0,0.0
1808,1.20101923961613e-07,0.0,2.2660739951163578e-09
1809,1.1746959049929728e-07,0.0,2.0331274441787173e-08
1810,1.9891077229772236e-07,2.3401267590372754e-09,4.680253518074551e-09
1811,1.0529722693775057e-07,0.0,2.5070767684098882e-09
1812,1.600324992523383e-07,2.6672082320544632e-09,0.0
1813,1.4091134392657523e-07,0.0,0.0
1814,9.754699448194515e-08,0.0,0.0
1815,9.170560133497929e-08,0.0,1.6183340889597275e-08
1816,3.244645441213834e-08,0.0,2.3176038865813098e-09
1817,6.850242650902061e-08,0.0,0.0
1818,1.275565961744718e-07,3.5763532135746345e-09,2.741870730460505e-08
1819,1.0661581484328053e-07,0.0,5.175524897538253e-09
1820,8.781195859342006e-08,0.0,9.493184904840746e-09
1821,2.2089733642260967e-07,9.86148829262845e-10,5.9168927535324656e-09
1822,1.31335568198665e-07,3.0076847679083585e-09,4.010246357211145e-09
1823,1.670174141210623e-07,2.9648061783404955e-09,1.9765373782121287e-09
1824,8.842168330858158e-08,0.0,1.8526447931321854e-08
1825,1.1887348416728116e-07,1.0566531427613768e-08,8.805443485471187e-09
1826,6.605988089880555e-08,1.7615968683770689e-09,8.80798456392995e-09
1827,7.650336719677853e-08,9.217273055917019e-10,1.8434546111834038e-09
1828,1.146537678131665e-07,0.0,9.172301251858528e-10
1829,8.058785416764636e-08,0.0,8.57317605795771e-10
1830,9.914993781556802e-08,0.0,1.0436835395921662e-08
1831,1.559120670346914e-07,0.0,2.182768810143898e-08
1832,1.3800568510191624e-07,1.3529969367098715e-09,2.705993873419743e-09
1833,1.146779246008478e-07,0.0,2.3167257001688313e-09
1834,1.1108091424461009e-07,9.334530925997342e-10,5.600718555598405e-09
1835,1.096647750387092e-07,7.563087933704082e-10,2.949604294144592e-08
1836,9.6106723468381e-08,4.032449929525228e-09,1.344150035720304e-08
1837,8.279889995854717e-08,6.957890930081589e-10,8.349468672008697e-09
1838,9.468242501142754e-08,0.0,1.8936485712828244e-09
