year,autres_ADJ arrières_NOUN,autres_ADJ carrières_NOUN
1800,0.0,5.0306631749208464e-08
1801,0.0,4.524246932646747e-08
1802,0.0,5.147032311469957e-08
1803,0.0,1.5797748176282767e-07
1804,0.0,6.179627121127851e-08
1805,0.0,2.842877755426798e-08
1806,0.0,7.204172902675055e-08
1807,0.0,2.2775640928784924e-08
1808,0.0,6.118399653587403e-08
1809,0.0,9.487928309681593e-08
1810,0.0,4.680253384847788e-08
1811,0.0,1.780024518893697e-07
1812,0.0,1.893717893608482e-07
1813,0.0,3.163315653864629e-08
1814,0.0,1.2586708564299443e-08
1815,0.0,3.776112933451259e-08
1816,0.0,8.57513455798653e-08
1817,0.0,8.56280379935015e-08
1818,0.0,8.344824209416402e-08
1819,0.0,1.2421260198181017e-07
1820,0.0,2.8479554714522237e-08
1821,0.0,1.0058717947458717e-07
1822,0.0,1.1729970594842598e-07
1823,9.882686891060644e-10,6.226093063332883e-08
1824,0.0,7.494790210671454e-08
1825,0.0,5.547429182684027e-08
1826,0.0,6.78214817639855e-08
1827,0.0,7.097300169789378e-08
1828,0.0,1.2199160437376122e-07
1829,0.0,1.0459275046059702e-07
1830,0.0,9.810625556383457e-08
1831,0.0,8.263339168479433e-08
1832,0.0,1.0823975316043288e-07
1833,0.0,7.52935847003755e-08
1834,0.0,9.521221500108368e-08
1835,0.0,1.0512692227848675e-07
1836,9.409050427677812e-09,5.779845224651581e-08
1837,0.0,8.419048214136637e-08
1838,0.0,7.953323688525415e-08
1839,0.0,1.1466019600447908e-07
1840,2.5478754661634184e-09,9.490835983783086e-08
1841,0.0,1.0208672307499e-07
1842,0.0,1.482526590379507e-07
1843,0.0,1.6775626932030718e-07
1844,0.0,1.5038658318644593e-07
1845,0.0,1.166267651342423e-07
1846,0.0,1.4870433062696975e-07
1847,0.0,1.1217905004912154e-07
1848,8.045221711050488e-10,1.9067174772402495e-07
1849,0.0,1.6842624006585538e-07
1850,0.0,1.7787169781513512e-07
1851,0.0,8.771236936766513e-08
1852,0.0,1.3281513133733824e-07
1853,0.0,1.248133685294306e-07
1854,0.0,1.0443285702876892e-07
1855,0.0,1.209981661531856e-07
1856,0.0,1.0665009853028096e-07
1857,0.0,1.137391620886774e-07
1858,0.0,1.1940569588642092e-07
1859,6.619825576592575e-09,8.147477359443656e-08
1860,0.0,1.29534299730949e-07
1861,0.0,9.714885607081669e-08
1862,1.3553959066214816e-09,1.0210649081798806e-07
1863,4.994620828036034e-10,8.790532746161261e-08
1864,0.0,1.4911603329892387e-07
1865,0.0,9.460757155466126e-08
1866,9.731225825149181e-10,1.201806399397931e-07
1867,1.455843445796745e-09,1.2277612881916866e-07
1868,0.0,1.4671425674350758e-07
1869,0.0,9.815873625029781e-08
1870,0.0,1.1066714478147333e-07
1871,0.0,1.1046024184224734e-07
1872,0.0,1.4392666969342827e-07
1873,0.0,8.919146665675726e-08
1874,0.0,1.469753811988994e-07
1875,0.0,1.2987867137326248e-07
1876,0.0,1.1124667054218662e-07
1877,0.0,1.0637883463004982e-07
1878,1.2078177347163432e-09,1.1776222663684166e-07
1879,0.0,1.4723474173194973e-07
1880,0.0,1.3862548531307084e-07
1881,0.0,1.2480788313951052e-07
1882,0.0,9.716862336972554e-08
1883,0.0,9.794975142085605e-08
1884,0.0,1.432568312864646e-07
1885,0.0,1.23756208836312e-07
1886,0.0,1.2842393459777668e-07
1887,0.0,1.0903303859777225e-07
1888,0.0,9.764546859969414e-08
1889,0.0,9.147099405693027e-08
1890,0.0,1.4485193844393507e-07
1891,0.0,1.2620955658348976e-07
1892,0.0,1.209822926284687e-07
1893,0.0,9.853466315101755e-08
1894,0.0,1.5123694852015035e-07
1895,0.0,1.1194622784316266e-07
1896,0.0,1.2442731150974495e-07
1897,0.0,1.2003029326024262e-07
1898,0.0,1.533414196730476e-07
1899,0.0,1.9733455403070366e-07
1900,0.0,1.5469338388029996e-07
1901,1.1177477832191585e-09,1.3804185194921104e-07
1902,0.0,1.036069861015676e-07
1903,0.0,1.1016449041889587e-07
1904,0.0,1.1824175327745934e-07
1905,0.0,1.290189757252591e-07
1906,0.0,9.208090262502466e-08
1907,5.142843373384665e-10,1.1828539925318182e-07
1908,0.0,1.1099739305464595e-07
1909,0.0,1.1222006435218645e-07
1910,0.0,1.3360376605042745e-07
1911,1.0640748282497725e-09,9.470265638356068e-08
1912,0.0,8.17879103887087e-08
1913,0.0,9.280231655361959e-08
1914,1.3393487430235496e-09,8.370929549528228e-08
1915,0.0,5.301343009023185e-08
1916,0.0,8.57022028899479e-08
1917,0.0,1.0198774447189862e-07
1918,0.0,9.993147642717304e-08
1919,9.207848372660976e-10,1.1417731787810581e-07
1920,0.0,8.783788985056162e-08
1921,0.0,1.060184607881709e-07
1922,0.0,7.082818187509332e-08
1923,0.0,6.794206486304688e-08
1924,0.0,9.539801792968206e-08
1925,0.0,8.358615533055058e-08
1926,0.0,5.238685218955652e-08
1927,2.2298449753321847e-09,7.358488307573907e-08
1928,0.0,7.198406137831626e-08
1929,0.0,8.466708756316166e-08
1930,0.0,5.461873797685257e-08
1931,0.0,1.265994615806676e-07
1932,0.0,8.767629156025691e-08
1933,0.0,5.1617981888796294e-08
1934,0.0,6.470053115492647e-08
1935,0.0,9.335261363929703e-08
1936,0.0,1.0790995652598667e-07
1937,0.0,1.0576538922446588e-07
