year,points_NOUN ouverts_ADJ,points_NOUN couverts_ADJ
1800,0.0,3.144164484325529e-09
1801,0.0,2.3811825844433088e-09
1802,0.0,2.4616241489638924e-08
1803,0.0,1.1702034896643454e-08
1804,2.4718509461507665e-09,0.0
1805,1.1371510844071508e-08,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,6.798221985349073e-09
1809,0.0,0.0
1810,9.360507036149102e-09,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,2.8757416448144113e-09
1814,0.0,4.72001566720337e-08
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,5.960588467246453e-09
1819,0.0,1.3456364911235141e-08
1820,0.0,0.0
1821,0.0,0.0
1822,0.0,0.0
1823,0.0,0.0
1824,0.0,0.0
1825,0.0,0.0
1826,0.0,2.642395191543301e-09
1827,9.217273055917019e-10,0.0
1828,3.668920500743411e-09,1.8344602503717056e-09
1829,8.57317605795771e-10,8.57317605795771e-10
1830,0.0,4.174734336004349e-09
1831,0.0,5.9246584527272717e-08
1832,2.705993873419743e-09,1.8941957335982806e-08
1833,6.950177322551099e-09,2.7800709290204395e-08
1834,0.0,1.7735608537350345e-08
1835,7.563087933704082e-10,7.563087933704082e-09
1836,0.0,1.5457725766054864e-08
1837,3.478945576063097e-09,3.478945487245255e-08
1838,2.5248647617104325e-09,5.680945491803868e-09
1839,6.9914751765765e-10,4.894032734625853e-09
1840,0.0,2.5478754661634184e-09
1841,6.420548537278137e-10,6.420548537278137e-09
1842,2.0124795163667386e-09,2.683306021822318e-09
1843,5.906911071384968e-10,2.953455480181333e-09
1844,1.6465684371524958e-09,1.0977122322231025e-08
1845,0.0,3.9061593959388574e-09
1846,0.0,5.854501328173001e-10
1847,1.0786447290911383e-09,5.3932236454556914e-09
1848,0.0,3.218088684420195e-09
1849,0.0,1.3407063903514427e-08
1850,0.0,1.425689166723032e-08
1851,6.449438760824933e-10,9.029214709244116e-09
1852,1.3021090872200602e-09,3.906327261660181e-09
