year,excellentes_ADJ ouvertures_NOUN,excellentes_ADJ couvertures_NOUN
1800,0.0,1.5720821977538435e-08
1801,0.0,7.143547975374531e-09
1802,0.0,8.951360541686881e-09
1803,0.0,2.5354410126965377e-08
1804,0.0,1.9774807569206132e-08
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,2.8469551160981155e-09
1808,0.0,4.5321479902327155e-09
1809,0.0,2.259030518203531e-09
1810,0.0,0.0
1811,0.0,2.5070767684098882e-09
1812,0.0,2.6672082320544632e-09
1813,0.0,3.4508900625951355e-08
1814,0.0,0.0
1815,0.0,5.394447111228828e-09
1816,0.0,3.7081662185300956e-08
1817,0.0,1.0898113522728181e-08
1818,0.0,1.668964877410417e-08
1819,0.0,0.0
1820,0.0,2.3732962262101864e-09
1821,0.0,1.97229765852569e-09
1822,0.0,1.1028177482330648e-08
1823,0.0,0.0
1824,0.0,0.0
1825,0.0,0.0
1826,0.0,1.7615968683770689e-09
1827,0.0,9.217273055917019e-10
1828,0.0,0.0
1829,0.0,1.714635211591542e-09
1830,0.0,1.0436835840010872e-09
1831,0.0,0.0
1832,0.0,0.0
1833,0.0,1.1583628500844156e-09
1834,0.0,9.334530925997342e-10
1835,0.0,6.806779140333674e-09
1836,0.0,2.016224964762614e-09
1837,0.0,8.349468672008697e-09
1838,2.5248647617104325e-09,1.8936485712828244e-09
1839,0.0,2.7965900706306e-09
1840,0.0,3.1848443882154243e-09
1841,0.0,3.852329122366882e-09
1842,0.0,2.0124795163667386e-09
1843,0.0,5.906911071384968e-10
1844,2.7442805805577564e-09,2.195424508855126e-09
1845,0.0,5.580227946389016e-10
1846,0.0,2.9272506640865004e-09
1847,0.0,2.6966118227278457e-09
1848,0.0,1.126331028444838e-08
1849,0.0,8.379414939696517e-10
1850,0.0,2.7155984128057753e-09
1851,0.0,7.094382858952031e-09
1852,0.0,9.765818376195057e-09
1853,0.0,2.388772735173461e-09
1854,1.0391328908454511e-09,4.676098175337984e-09
1855,1.5920811335945473e-09,1.0613874223963649e-09
1856,0.0,5.177189232874468e-10
1857,0.0,1.4644527812635033e-09
1858,4.893676019968041e-10,0.0
1859,0.0,5.092173349652285e-10
1860,3.204028820036342e-09,0.0
1861,0.0,4.715963619617014e-09
1862,0.0,2.2589932147099034e-09
1863,0.0,4.994620828036034e-10
1864,0.0,1.4384183844029508e-09
1865,0.0,0.0
