year,des_DET ans_NOUN,des_DET camps_NOUN
1800,2.4210066706942257e-07,4.2760637519734246e-07
1801,1.2144031291683177e-07,6.262510261478837e-07
1802,1.544109693440987e-07,4.3414098627181374e-07
1803,1.677291692203653e-07,7.255262124417072e-07
1804,2.298821382140659e-07,5.240324210120662e-07
1805,2.2743021221849347e-07,1.026278823701432e-06
1806,9.221341379372916e-08,8.21275698115187e-07
1807,1.7366426563469872e-07,6.71881432268151e-07
1808,3.2178249620429256e-07,4.4641656593569223e-07
1809,1.671682585691059e-07,7.319258816806951e-07
1810,1.6848911998934568e-07,4.025018043307682e-07
1811,3.4096242984560376e-07,5.941772065476414e-07
1812,1.1735716398675322e-07,5.494448842569e-07
1813,2.1280487771946355e-07,6.959294509556457e-07
1814,2.0453401017306305e-07,8.149893631070881e-07
1815,1.645306344499886e-07,5.826003075526387e-07
1816,1.7382028794088455e-07,6.442938556006084e-07
1817,1.603579571352043e-07,6.974792690073173e-07
1818,1.5497530236885382e-07,6.556647313971098e-07
1819,1.387040714506682e-07,5.641322513572078e-07
1820,1.9342364865337913e-07,9.659315836074711e-07
1821,1.2031015916846854e-07,5.453403275623714e-07
1822,1.6843034700286807e-07,6.787342101688409e-07
1823,1.6207605924023483e-07,6.344684830850156e-07
1824,2.5263338887526743e-07,7.056892599166531e-07
1825,2.0164464720195951e-07,5.292071065809978e-07
1826,1.655901114006042e-07,6.376980508093766e-07
1827,1.3457219222301475e-07,4.78376463775021e-07
1828,1.008953154912895e-07,5.549242025892909e-07
1829,1.285976387599419e-07,5.632576494107866e-07
1830,1.4298465544904104e-07,6.491711808109812e-07
1831,7.171954852225326e-08,5.924658310618724e-07
1832,1.1500473751091533e-07,6.007306403432722e-07
1833,1.4711208606854598e-07,6.174074087539339e-07
1834,1.7642263561157279e-07,7.056905282354364e-07
1835,1.3084142835850798e-07,5.997528518264517e-07
1836,1.458402760223798e-07,5.161536185127602e-07
1837,1.1897993812404195e-07,5.308871031672879e-07
1838,1.117252639293298e-07,6.886568719721708e-07
1839,1.244482580320394e-07,5.278563790511726e-07
1840,1.2293498929949465e-07,7.80923819831969e-07
1841,1.0016055718153893e-07,5.174962307563646e-07
1842,1.3148199817791806e-07,6.218561878768014e-07
1843,1.3585894986789526e-07,4.784597997797846e-07
1844,9.824524904722409e-08,5.79592067673218e-07
1845,1.5457230917448328e-07,5.848078750148034e-07
1846,1.1065007576860353e-07,5.661302928672285e-07
1847,8.089835112912169e-08,7.744669394682546e-07
1848,1.1585119558121804e-07,5.760378698482782e-07
1849,1.055806320149344e-07,5.505275524342323e-07
1850,1.0251383653070434e-07,5.064591093173476e-07
1851,1.2060450571560466e-07,5.153101847454877e-07
1852,1.1979403624629015e-07,4.993588256230197e-07
