year,anciens_ADJ anneaux_NOUN,anciens_ADJ canaux_NOUN
1800,0.0,8.803660733747165e-08
1801,0.0,8.810375362600098e-08
1802,0.0,1.1189200677108602e-08
1803,0.0,4.095712213825209e-08
1804,0.0,1.1370514130248921e-07
1805,0.0,5.685755422035754e-09
1806,0.0,8.645007376628655e-09
1807,0.0,9.11025637151397e-08
1808,0.0,4.758755522971114e-08
1809,0.0,1.1746958961111886e-07
1810,0.0,4.44624070894406e-08
1811,0.0,6.769107585569145e-08
1812,0.0,9.601949813031752e-08
1813,0.0,5.176335093892703e-08
1814,0.0,7.552024783308298e-08
1815,0.0,2.6972236000233352e-08
1816,5.7940098940889584e-08,1.622322720606917e-08
1817,0.0,1.401186100480345e-08
1818,9.536941902865692e-09,5.126106117359086e-08
1819,0.0,6.935203744617979e-08
1820,2.3732962262101864e-09,6.526564444442329e-08
1821,0.0,3.155676164823262e-08
1822,0.0,2.8071724500478012e-08
1823,0.0,3.162459805139406e-08
1824,8.421112696055388e-09,4.968456579490521e-08
1825,0.0,4.3146670236637874e-08
1826,0.0,5.989429041619587e-08
1827,1.8434546111834038e-09,1.935627302884768e-08
1828,0.0,2.5682442839070063e-08
1829,0.0,1.0116347937128012e-07
1830,2.0873671680021744e-09,2.0873670791843324e-08
1831,0.0,5.6128342862393765e-08
1832,0.0,3.92369123858316e-08
1833,0.0,1.054110185805257e-07
1834,0.0,5.694063887062839e-08
1835,5.294161553592858e-09,4.61348363955949e-08
1836,6.720750067579218e-10,4.5029025841358816e-08
1837,2.0873671680021744e-09,6.609996461293122e-08
1838,1.8936485712828244e-09,3.976661888671629e-08
1839,7.690622361167243e-09,2.307186797168015e-08
1840,1.9109065441114126e-09,8.471685930544481e-08
1841,0.0,3.2102741798212264e-08
1842,6.708265054555795e-10,5.0982812638267205e-08
1843,1.1813822142769936e-09,1.1223130891302446e-07
1844,2.195424508855126e-09,4.226192112932736e-08
1845,0.0,4.2409730838244286e-08
1846,0.0,3.8639708321852595e-08
1847,0.0,3.128069891999985e-08
1848,0.0,3.781254065415851e-08
1849,0.0,8.295620546050486e-08
1850,3.394498016007219e-09,3.326607966869233e-08
1851,0.0,3.289213879043018e-08
1852,1.3021090872200602e-09,7.812654700956045e-08
1853,8.957897534855874e-09,6.210809289086683e-08
1854,0.0,3.16935526711859e-08
1855,0.0,4.8823821430232783e-08
1856,0.0,1.6049286344355096e-08
1857,4.881509085841174e-10,2.9289053904424378e-08
1858,0.0,3.2787628612140907e-08
1859,0.0,2.2405561850291633e-08
1860,4.577183909670879e-10,4.394096464466202e-08
1861,0.0,4.715963797252698e-08
1862,0.0,4.653525920161883e-08
1863,4.495158911765884e-09,3.346395871517416e-08
1864,5.274200631788517e-09,6.32904075814622e-08
1865,0.0,6.118897744045171e-08
1866,1.4596839292835284e-09,7.395731671522299e-08
1867,4.85281148598915e-10,5.095451882652924e-08
1868,0.0,2.321740844024589e-08
1869,3.4184632902167778e-09,4.688178467660009e-08
1870,5.734048791339319e-10,3.039045992636602e-08
1871,0.0,7.116188527334089e-08
1872,0.0,2.237515595027162e-08
1873,5.986004469882289e-10,5.5071240012694034e-08
1874,0.0,3.764003819739514e-08
1875,2.8607636259891933e-09,4.748867610260277e-08
1876,2.418405919968336e-09,3.9903696347209916e-08
1877,2.4739263970730008e-09,4.2056747417973384e-08
1878,0.0,5.857916107743222e-08
1879,0.0,6.475885072632082e-08
1880,5.776061406947974e-09,5.519347912041894e-08
1881,4.8807553554297556e-09,4.6715802004548834e-08
