year,moins_ADV ouverte_ADJ,moins_ADV couverte_ADJ
1800,9.432493186523061e-08,8.803660733747165e-08
1801,1.0715321963061797e-07,4.0480102825313224e-08
1802,6.713520406265161e-09,2.4616241489638924e-08
1803,3.90067853572873e-08,3.1205427575287104e-08
1804,6.426812149129546e-08,5.6852570651244605e-08
1805,1.648869130121966e-07,5.970043304159844e-08
1806,5.76333825108577e-08,5.187004603612877e-08
1807,1.7081731584767113e-08,1.7081731584767113e-08
1808,2.2660739062985158e-08,4.305540457494317e-08
1809,2.25903047379461e-08,3.388545621874073e-08
1810,2.8081521108447305e-08,5.8503168531842675e-08
1811,5.0141535368197765e-09,5.0141537144554604e-08
1812,6.668020802180763e-08,5.867858021701977e-08
1813,4.026038169513413e-08,1.1502966579257645e-08
1814,4.405347908686963e-08,9.440030979135372e-09
1815,7.552225866902518e-08,4.8550024445148665e-08
1816,2.3176038865813098e-08,3.244645441213834e-08
1817,6.694555310104988e-08,8.56280379935015e-08
1818,7.74876554032744e-08,4.887682791832049e-08
1819,2.898294049202832e-08,8.79839276990424e-08
1820,6.289234733003468e-08,4.2719332071783356e-08
1821,5.226588939422072e-08,3.8459806006585495e-08
1822,3.60922172149003e-08,4.6117833107928163e-08
1823,1.9765373338032077e-08,1.4824030003524058e-08
1824,6.568468080558887e-08,4.378978601948802e-08
1825,3.9624492131906663e-08,3.9624492131906663e-08
1826,2.9947145208097936e-08,5.813269510213104e-08
1827,7.18947319455765e-08,5.346018383534101e-08
1828,5.1364885678140126e-08,5.6868266540277546e-08
1829,2.5719527840806222e-08,3.772197487705853e-08
1830,6.888311787633938e-08,4.696576283436116e-08
1831,8.575163690238696e-08,3.585977381703742e-08
1832,9.470978312720035e-08,4.6001897402447867e-08
1833,7.992703388026712e-08,2.20088942626262e-08
1834,6.347480763224667e-08,3.173740381612333e-08
1835,3.327758690829796e-08,6.050470346963266e-08
1836,3.2259599436201825e-08,2.8227150394855016e-08
1837,6.262101948095733e-08,3.75726116885744e-08
1838,2.7773513266993177e-08,2.398621568033832e-08
1839,5.5232654005976656e-08,2.027527834513876e-08
1840,3.567025785855549e-08,1.4013314952876499e-08
1841,5.6500827128047604e-08,1.0914932957462042e-08
1842,3.6224630406422875e-08,1.609983613093391e-08
1843,3.6622846977252266e-08,2.5990408047960045e-08
1844,3.2382512671347286e-08,2.6893950177964143e-08
1845,4.687391452762313e-08,3.348136701220028e-08
1846,6.615586300995346e-08,2.86870562860031e-08
1847,4.58424018745518e-08,1.6718992412734224e-08
1848,5.148941895072312e-08,4.34441957963827e-08
1849,1.9272654583346593e-08,2.8490010350878947e-08
1850,2.987158254086353e-08,1.0183494048021657e-08
1851,4.5791015423901626e-08,1.9993260380601896e-08
1852,2.539112742283578e-08,1.2370036550635177e-08
1853,5.3150191803297275e-08,2.329053394589664e-08
1854,4.572184764128906e-08,1.8704392701351935e-08
1855,6.315255518529739e-08,2.7596072982305486e-08
1856,2.7956822634678247e-08,1.1907535402144731e-08
1857,3.417056504417815e-08,1.757343248698362e-08
1858,2.3489644007668176e-08,1.565976326389773e-08
1859,3.0043821652725455e-08,1.884104072757964e-08
1860,5.080674014834585e-08,3.4786598490654796e-08
1861,5.659156343540417e-08,4.1500481273715195e-08
1862,8.222735203844422e-08,2.5752521892741242e-08
1863,4.395266373080631e-08,1.9479021062807078e-08
1864,5.2262535632507934e-08,1.2466292886870178e-08
1865,4.989254875908955e-08,1.4591217123438582e-08
1866,3.795178216137174e-08,3.0166798836717135e-08
1867,5.629261323747414e-08,7.76449837758264e-09
1868,3.062721987134864e-08,9.87974857480367e-09
1869,6.641585770239544e-08,2.6371003158942585e-08
1870,5.734048613703635e-08,2.752343419842873e-08
1871,4.779529660936532e-08,1.5931766128574054e-08
1872,5.07976487540418e-08,2.660829245826335e-08
1873,5.028243776905583e-08,1.4366410283628284e-08
1874,5.914862910572083e-08,1.6728906260254917e-08
1875,5.378235456987568e-08,1.2587359599081083e-08
1876,6.892457093954363e-08,2.9020871039620033e-08
1877,6.741449709579683e-08,2.5976227391311113e-08
1878,4.891661831152305e-08,4.589707458535486e-08
1879,8.186496103235186e-08,1.710611030603104e-08
1880,7.25216651176197e-08,1.2193908105473383e-08
1881,7.809208568687609e-08,2.4403776777148778e-08
1882,5.457415852561098e-08,1.3976308999019693e-08
1883,7.267239965358385e-08,1.4534479397809719e-08
1884,5.2813575734944607e-08,1.3203393933736152e-08
1885,6.767917426486747e-08,1.8692343672910283e-08
1886,4.969167122226281e-08,9.680196200179125e-09
1887,6.8553710264041e-08,1.7628096316002484e-08
