year,deux_DET anneaux_NOUN,deux_DET canaux_NOUN
1800,2.7983064265768576e-07,6.791395166239056e-07
1801,2.881231040419152e-07,2.6669244768129374e-07
1802,3.513409012612101e-07,5.28130271959526e-07
1803,3.471603804428014e-07,6.046051446162437e-07
1804,1.97748079244775e-07,5.04257602784719e-07
1805,3.212451815670647e-07,1.09735074338424e-06
1806,3.7749865544611794e-07,2.1900684998854558e-07
1807,2.0782772480743006e-07,2.619198840037029e-07
1808,1.6768947119771838e-07,3.104521275609784e-07
1809,3.0496911573862917e-07,3.3885457018101306e-07
1810,1.8487001796074765e-07,2.597540813553678e-07
1811,2.381722978839207e-07,4.362313461570011e-07
1812,2.8539128038573836e-07,3.4140265636750655e-07
1813,2.703197212738928e-07,3.4796472903053655e-07
1814,2.926409763404081e-07,2.265607470519626e-07
1815,1.5374174289206621e-07,3.0478626911190076e-07
1816,3.8008704450476216e-07,3.847222522779248e-07
1817,1.0742426648224779e-07,4.374814253083059e-07
1818,3.099506038495292e-07,4.04127916908692e-07
1819,2.71197507117904e-07,4.109366855686858e-07
1820,2.5750263610291313e-07,4.58046182316707e-07
1821,1.972297698493719e-07,2.5344025278428717e-07
1822,2.3560197348615475e-07,3.899964582387838e-07
1823,2.7276214797922194e-07,2.8264483908913007e-07
1824,2.863178218959206e-07,2.5852815710436516e-07
1825,4.288250863293541e-07,3.495760942939796e-07
1826,3.884321149172365e-07,3.073986665214079e-07
1827,3.0140481532825447e-07,3.6961263805146416e-07
1828,3.989951076199816e-07,5.310762389854062e-07
1829,2.649111365826684e-07,3.8922219047776707e-07
1830,2.5152774973946634e-07,3.6007084069922257e-07
1831,1.9956743813054345e-07,3.305335649628205e-07
1832,4.7219592147484946e-07,4.4784197528180414e-07
1833,3.533006704969921e-07,4.865124108022201e-07
1834,3.6311324080884333e-07,3.089729823102516e-07
1835,2.7302748151214473e-07,4.5302896722887454e-07
1836,2.5270019676781885e-07,4.039170864444941e-07
1837,2.9431879688956997e-07,4.891397091810745e-07
1838,3.4906255486077953e-07,3.9009161589831365e-07
1839,3.614592678502504e-07,3.1601467576081177e-07
1840,3.433262278917937e-07,3.3504562502173485e-07
1841,2.2921358233674027e-07,3.12038647365398e-07
1842,2.2405605104580673e-07,3.287049743505577e-07
1843,3.561867458756751e-07,3.508705308519211e-07
1844,3.990184040958411e-07,2.535715362128599e-07
1845,3.3369762153512283e-07,3.537864650127176e-07
1846,3.70589926745879e-07,3.500991780924778e-07
1847,3.074137424619039e-07,2.2759404050276544e-07
1848,2.952596265259899e-07,2.920415411722388e-07
1849,2.8238628857479853e-07,3.1590394122815724e-07
1850,3.014314176041921e-07,2.9667913636899357e-07
1851,2.2702023727561027e-07,2.88934856484957e-07
1852,4.401128741449156e-07,2.3568174611909853e-07
1853,4.042997812092608e-07,2.7232009536248825e-07
1854,3.397964540852172e-07,1.7197648638500596e-07
