year,très_ADV ouvert_VERB,très_ADV couvert_VERB
1800,9.432493897065797e-09,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,1.950339223455444e-09,0.0
1804,0.0,0.0
1805,1.1371510844071508e-08,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,7.152706427149269e-09,0.0
1819,1.035105001712111e-09,0.0
1820,3.5599443393152796e-09,0.0
1821,0.0,0.0
1822,1.303330066093622e-08,0.0
1823,1.9765373782121287e-09,0.0
1824,3.3684450784221553e-09,0.0
1825,4.4027217427355936e-09,0.0
1826,1.7615968683770689e-09,0.0
1827,6.452091305675367e-09,0.0
1828,1.8344602503717056e-09,0.0
1829,8.57317605795771e-10,0.0
1830,1.6698937344017395e-08,0.0
1831,3.1182412207897414e-09,0.0
1832,2.3000948701223933e-08,0.0
1833,2.4325620628928846e-08,0.0
1834,1.4935249481595747e-08,0.0
1835,8.924443761770817e-08,0.0
1836,2.5538851033957144e-08,0.0
1837,1.3915781860163179e-09,0.0
1838,6.312161904276081e-09,0.0
1839,1.2584655095793096e-08,0.0
1840,8.917564464638872e-09,0.0
1841,2.118781061710706e-08,0.0
1842,1.2074877098200432e-08,0.0
1843,1.6539351221922516e-08,0.0
1844,1.2074834687680891e-08,0.0
1845,1.3392547515422848e-08,0.0
1846,2.1076203893244383e-08,0.0
1847,8.629157832729106e-09,0.0
1848,1.206783295515379e-08,0.0
1849,8.379414495607307e-09,0.0
1850,8.146795238417326e-09,0.0
1851,1.2253933867611977e-08,7.739326512989919e-09
1852,2.6042181744401205e-09,0.0
1853,7.166318205520383e-09,0.0
1854,1.3508727469968562e-08,0.0
1855,5.837630823180007e-09,0.0
1856,5.694908100650764e-09,0.0
1857,1.2691923956253959e-08,0.0
1858,8.31924928945682e-09,0.0
1859,1.323965115318515e-08,0.0
1860,1.876645328025006e-08,0.0
1861,1.2733101684148096e-08,0.0
1862,9.487771457372673e-09,0.0
1863,9.989241434027463e-09,0.0
1864,7.671564716815737e-09,0.0
1865,6.589582213223366e-09,0.0
1866,5.352174259343201e-09,0.0
1867,5.338092634588065e-09,0.0
1868,5.9278488784286765e-09,0.0
1869,7.325278605918584e-09,0.0
1870,1.0321287824410774e-08,0.0
1871,3.18635318130589e-09,0.0
1872,9.071008832961525e-09,0.0
1873,2.3944017879529156e-09,0.0
1874,7.169530746864439e-09,5.974609140757536e-10
1875,2.8607636259891933e-09,0.0
1876,3.627608879952504e-09,0.0
1877,8.658742389755503e-09,0.0
1878,1.69094480639842e-08,0.0
1879,1.8938909107646396e-08,0.0
1880,5.583526285768414e-08,0.0
1881,3.486253646878268e-08,0.0
1882,6.389169726617183e-08,1.9966155395678697e-09
1883,7.077659613941023e-08,0.0
1884,4.4891539374702916e-08,0.0
1885,3.545099502844096e-08,3.2228177904158883e-09
1886,5.808117314876071e-08,0.0
1887,9.728097360994781e-08,0.0
1888,5.452928775184773e-08,0.0
1889,5.137412273370501e-08,0.0
1890,5.2435090935887274e-08,0.0
1891,3.1871099537283953e-08,0.0
1892,5.516291046170352e-08,0.0
1893,7.574852395331177e-08,0.0
1894,7.372801236193993e-08,0.0
1895,7.282523828422427e-08,0.0
1896,8.373780957526833e-08,0.0
1897,6.875521807447882e-08,0.0
1898,8.034863629990951e-08,2.26334195829736e-09
1899,8.125540063019798e-08,2.2110313580014918e-09
1900,9.136253531494276e-08,5.191053142894475e-10
1901,7.153585462882361e-08,0.0
1902,9.378641863122539e-08,0.0
1903,7.992326089834023e-08,0.0
1904,7.793206435735556e-08,0.0
1905,1.0889201718100594e-07,0.0
1906,6.944649300066885e-08,0.0
1907,1.0182829779381564e-07,0.0
1908,9.970119863034199e-08,1.4734167219643268e-09
1909,8.086445557609068e-08,0.0
1910,7.321486217293227e-08,1.068830135508847e-09
1911,8.991432065563743e-08,0.0
1912,6.563870930120785e-08,0.0
1913,5.992378465657922e-08,1.590896969716482e-09
1914,9.30847354752018e-08,6.696743715117748e-10
1915,6.479418868110542e-08,1.1780761921542648e-09
1916,6.812226249763853e-08,0.0
1917,7.566832782579525e-08,0.0
1918,8.040463761460614e-08,0.0
1919,3.867296449744373e-08,0.0
1920,5.4520067571672826e-08,0.0
1921,8.557204611570057e-08,0.0
1922,5.902348476638508e-08,0.0
1923,7.431163862037238e-08,0.0
1924,6.832560817127131e-08,0.0
1925,5.0591619782380803e-08,0.0
1926,6.464759971791523e-08,4.458455382660986e-09
1927,6.912519112667326e-08,4.4596899506643695e-09
1928,6.512843409023361e-08,0.0
1929,8.57811284227239e-08,0.0
1930,6.932378049384624e-08,2.100720708497761e-09
1931,7.185374872875627e-08,5.7026783295555106e-09
1932,6.685317210930464e-08,0.0
1933,8.717703292582257e-08,1.1470662197865522e-09
1934,8.147474694908396e-08,1.1981580172459871e-09
1935,1.0651773152403621e-07,1.196828414151696e-09
1936,6.911087524485993e-08,6.0623572828433225e-09
1937,1.1332006222275481e-07,7.554670666820584e-09
1938,8.68669403075728e-08,0.0
1939,9.176430104673727e-08,0.0
1940,8.368083825871508e-08,0.0
1941,6.198155322323373e-08,0.0
1942,9.709477444275194e-08,0.0
1943,7.258088174921795e-08,0.0
1944,7.390327816381159e-08,3.2131861615880553e-09
1945,8.496165682103651e-08,0.0
1946,7.099762999729364e-08,0.0
1947,7.867774587388965e-08,1.1920870957027319e-09
1948,9.458542393758762e-08,4.348755133776194e-09
1949,1.560904268060881e-07,0.0
1950,1.1805251087793067e-07,4.2541445921528975e-09
1951,1.0768015734630154e-07,0.0
1952,1.02284600345115e-07,1.0544803918932644e-09
1953,1.1312518610750999e-07,0.0
1954,1.0065711975038028e-07,9.772536113672459e-10
1955,8.071622925598376e-08,0.0
1956,1.1686329504101423e-07,0.0
1957,1.263410398522069e-07,3.534015080575159e-09
1958,1.2821976724808337e-07,8.272243445794913e-10
1959,9.765942587947052e-08,0.0
1960,1.432612495300134e-07,0.0
1961,1.389631916204337e-07,0.0
1962,1.4649919255482757e-07,1.2683912808952869e-09
1963,1.33847303018797e-07,6.466053248388448e-10
1964,1.2898012879958287e-07,1.8251904432275978e-09
1965,1.3898990269822775e-07,0.0
1966,1.7780430028313532e-07,0.0
1967,1.508682738737832e-07,2.465167847631733e-09
1968,1.5944526854383412e-07,1.7965663401398047e-09
1969,1.503321873652652e-07,9.083515606356229e-10
1970,1.4439996931514543e-07,1.8394900047624674e-09
1971,1.639148772270005e-07,0.0
1972,1.651907268751529e-07,0.0
1973,1.6815270864611875e-07,0.0
1974,1.361388337617342e-07,2.2502286700643026e-09
1975,1.9304803222652822e-07,0.0
1976,1.7426257681307789e-07,0.0
1977,1.5984847312466854e-07,0.0
1978,1.740593305044058e-07,0.0
1979,1.9077433277558953e-07,1.1703946700691858e-09
1980,1.9102106563195775e-07,2.8425752862659692e-09
1981,1.9103160253663987e-07,6.325549528618524e-10
1982,2.334020843264284e-07,0.0
1983,2.2166759627850752e-07,6.315316047889041e-10
1984,1.762898564905413e-07,1.1598016991243298e-09
1985,1.7926362394504736e-07,1.2031116103372597e-09
1986,1.8822685055042143e-07,0.0
1987,1.9615722024468596e-07,0.0
1988,2.1227800983680822e-07,0.0
1989,1.9263308947969904e-07,0.0
1990,1.9724117095165639e-07,0.0
1991,2.2273568056618842e-07,0.0
1992,1.9009307861139746e-07,0.0
1993,1.8057816097982737e-07,0.0
1994,1.6405022007504044e-07,0.0
1995,1.930392530269387e-07,0.0
1996,1.8416418168243354e-07,0.0
1997,1.9994709887782847e-07,2.3974471297094624e-09
1998,1.9644692672571296e-07,0.0
1999,1.6955446691113707e-07,0.0
2000,2.1029830321595e-07,0.0
2001,1.8926834322030572e-07,4.3812117822561447e-10
2002,1.9277374452286722e-07,1.752488598683044e-09
2003,1.7001046082043558e-07,8.333845835650777e-10
2004,1.775130820114157e-07,0.0
2005,1.9005823803652788e-07,0.0
2006,1.6800991442522673e-07,1.6471559671771274e-09
2007,1.793521233750539e-07,0.0
2008,1.6731737595421237e-07,4.257439678578834e-10
2009,1.4638351242268755e-07,9.53638501499654e-10
2010,1.502166164790708e-07,4.723793023408973e-10
2011,1.5754764604025695e-07,0.0
