year,ces_DET offres_NOUN,ces_DET coffres_NOUN
1800,4.4018303668735825e-07,2.2009152278457123e-08
1801,5.762461938729757e-07,2.8574191901498125e-08
1802,8.123359691580845e-07,6.265952379180817e-08
1803,5.831514329202037e-07,3.51061064662872e-08
1804,4.943701750192986e-07,4.943701981119375e-08
1805,6.908192631271959e-07,7.67576988636165e-08
1806,5.59043840553386e-07,6.916005901302924e-08
1807,8.142291534340984e-07,2.2775641816963343e-08
1808,8.65640245706345e-07,6.118399653587403e-08
1809,1.1453285253537615e-06,8.358412983966446e-08
1810,8.003233631370676e-07,4.914266327205041e-08
1811,1.1382128590753382e-06,8.273353557797236e-08
1812,6.241267129780681e-07,7.201462359773814e-08
1813,6.585448382168124e-07,1.7254450312975678e-07
1814,5.852819526808162e-07,8.810695817373926e-08
1815,6.823975517988856e-07,1.1328339111216224e-07
1816,6.466114612635465e-07,3.476405829871965e-08
1817,5.464625658646582e-07,1.0898113744772786e-08
1818,1.0025709968886076e-06,6.079800463076879e-08
1819,8.539616516145543e-07,8.280840368968256e-08
1820,8.259070654048628e-07,5.221251875298094e-08
1821,9.181045470540994e-07,6.80442688860694e-08
1822,7.228469058873088e-07,1.3534581455587613e-07
1823,7.461428594979225e-07,1.0277994633156595e-07
1824,8.901116217430172e-07,2.947389532437228e-08
1825,8.285921637707361e-07,7.572681237633105e-08
1826,8.42924123389821e-07,2.933058791398935e-07
1827,9.733440222703393e-07,7.005127633519237e-08
1828,9.566710303943182e-07,1.2566052021156793e-07
1829,9.070420503576315e-07,4.458051638955851e-08
1830,8.255537125023693e-07,6.679575115242642e-08
1831,7.811194322471238e-07,1.0290196073015068e-07
1832,7.874442005117999e-07,9.065079620285132e-08
1833,7.691529191333757e-07,9.49857543730559e-08
1834,5.404693439459152e-07,8.307732635159937e-08
1835,7.774854609010617e-07,1.0739584865859797e-07
1836,7.688538161687575e-07,7.863277540209879e-08
1837,7.270995965313887e-07,5.6358917532861597e-08
1838,8.407799541032546e-07,8.332053447190901e-08
1839,8.354813019195717e-07,1.0487212609433527e-07
1840,9.19146089017886e-07,7.962111059356403e-08
1841,7.961480150697753e-07,9.309795334644377e-08
1842,1.0827139647062722e-06,4.9641160959623676e-08
1843,7.797122663077971e-07,6.202256663812022e-08
1844,9.533630915825597e-07,6.750930592325233e-08
1845,7.538887984992471e-07,6.249855122320014e-08
1846,7.973830946639282e-07,7.376671362635534e-08
1847,7.421075665092758e-07,5.555020443637204e-08
1848,6.693624285958322e-07,6.194820745264451e-08
1849,6.96329394145323e-07,5.027649141453594e-08
1850,7.447528531656644e-07,5.7706467160301145e-08
1851,6.423641281116943e-07,5.93348374877678e-08
1852,8.600430305705231e-07,4.7526983237844433e-08
1853,6.383995128089737e-07,8.48014334309255e-08
1854,7.871431506600857e-07,8.884586399915406e-08
1855,6.198502262577676e-07,5.837630823180007e-08
1856,6.771763523261143e-07,5.7984518520015627e-08
1857,6.150701423734972e-07,6.199516544569406e-08
1858,7.296471196127641e-07,1.1989506276677275e-07
1859,6.304110726773615e-07,7.129042600695357e-08
1860,6.911547529853124e-07,7.277722280374377e-08
1861,5.767623676433686e-07,6.932466467546305e-08
1862,6.257411087062792e-07,6.054101586716598e-08
1863,6.088442745522116e-07,5.8437064076599654e-08
1864,5.595447802875242e-07,6.18519910844384e-08
1865,5.954158197596371e-07,6.542513553142726e-08
1866,5.726826657337369e-07,7.29841911351059e-08
1867,4.3578246433639833e-07,7.327745343843617e-08
1868,4.455766458022481e-07,7.16281718382561e-08
1869,4.815149985404332e-07,4.981189505315342e-08
1870,5.149175876795198e-07,5.2753249768500154e-08
1871,4.5564849671109187e-07,8.815577423604282e-08
1872,5.696593490256419e-07,9.857163352222642e-08
1873,4.866621736709931e-07,5.806424319132475e-08
1874,5.293503626546681e-07,1.1232265073601866e-07
1875,4.85185495335827e-07,5.149374260327022e-08
1876,4.37126871588589e-07,6.106474792488825e-08
1877,5.189060630073072e-07,7.607323393443721e-08
1878,4.6440590750762567e-07,6.76377922559368e-08
1879,4.233762318506251e-07,7.270097057698877e-08
1880,4.389806917970418e-07,6.096954074941152e-08
1881,4.2741470451801433e-07,7.530308288039578e-08
1882,4.924985077536803e-07,8.053016209430552e-08
1883,4.7521429280550365e-07,1.0742876099811838e-07
1884,4.990882729316581e-07,8.648222937779337e-08
1885,4.918020053423788e-07,7.863675755004351e-08
1886,4.6271335207848097e-07,5.485444276587259e-08
1887,4.335206078565079e-07,7.116527722672572e-08
1888,4.596945544221853e-07,6.911269778697715e-08
1889,4.329209453146632e-07,7.518164046871334e-08
1890,4.3586670628315005e-07,5.3745969008645034e-08
1891,5.010136803207388e-07,6.182993228520672e-08
1892,4.4067642335221535e-07,8.963973030517991e-08
1893,4.095346994859028e-07,7.143763092187783e-08
1894,4.4236805507580357e-07,8.759139902281277e-08
1895,4.447756083436616e-07,8.666804696133568e-08
1896,4.464050959995802e-07,5.838058569906934e-08
1897,3.7640569416907965e-07,5.360576560420327e-08
1898,3.440279812139124e-07,5.3188535131809545e-08
1899,4.32256637594719e-07,4.5878900678530954e-08
1900,4.1995620847501414e-07,4.36048468444028e-08
1901,4.029480678013897e-07,5.4210766986528824e-08
1902,3.6385203472377725e-07,9.869670414275333e-08
1903,3.1267276412449974e-07,5.562226856881125e-08
1904,3.8589810102962474e-07,5.320879026271541e-08
1905,3.442226166328055e-07,6.03808796295624e-08
1906,3.6986685714168743e-07,7.098974363906052e-08
1907,3.270848409897553e-07,4.319988544665421e-08
1908,3.1874914796503617e-07,7.367083365572569e-08
1909,3.4711205998405603e-07,6.876229452501548e-08
1910,3.158392978264146e-07,5.9320073297897125e-08
1911,3.5752914229192356e-07,7.554931402697918e-08
1912,4.250887641887857e-07,4.844761747335724e-08
1913,3.6643658063439943e-07,6.787826989373968e-08
1914,3.8305375227309924e-07,5.893134513712539e-08
1915,4.712304928489175e-07,6.008188424555527e-08
1916,5.043245181468592e-07,8.240596560682434e-08
1917,3.7505171235352464e-07,7.347504438204311e-08
1918,4.3533366778092386e-07,8.270190576809e-08
1919,4.410559313328122e-07,5.340552133858978e-08
1920,3.316637631201047e-07,5.6791737979011714e-08
1921,3.7560825916216345e-07,8.027112041730788e-08
1922,3.7627470916845596e-07,4.721878621438691e-08
1923,2.823842280008648e-07,9.129715650146863e-08
1924,2.810374155615136e-07,7.090393472353185e-08
1925,2.584571774377764e-07,6.708888555806425e-08
1926,2.2738123028887003e-07,6.910605820920068e-08
1927,3.099484437996125e-07,5.1286435542863273e-08
1928,2.7308239936019163e-07,6.855624690160766e-08
