year,ces_DET ados_NOUN,ces_DET cadeaux_NOUN
1800,0.0,6.288328968651058e-09
1801,9.524730337773235e-09,7.143547975374531e-09
1802,0.0,7.161088433349505e-08
1803,4.6808139586573816e-08,5.655983770225248e-08
1804,4.943701892301533e-09,2.7190360185613827e-08
1805,5.685755422035754e-09,3.695740935505398e-08
1806,2.0171682990621775e-08,1.152667650217154e-08
1807,0.0,2.8469551160981155e-08
1808,0.0,1.8128592405020072e-08
1809,1.265057072430409e-07,2.710836621844237e-08
1810,0.0,2.3401267590372754e-08
1811,1.0028307073639553e-08,2.5070767684098882e-09
1812,0.0,3.200649834056435e-08
1813,0.0,1.0352670187785407e-07
1814,0.0,1.2586708564299443e-08
1815,0.0,1.8880564667256294e-08
1816,9.270415546325239e-09,6.952811659743929e-09
1817,4.670620157298799e-08,7.784366928831332e-09
1818,4.768470951432846e-09,1.4305412854298538e-08
1819,1.035105001712111e-09,3.5193569503100264e-08
1820,4.746592452420373e-09,5.933240565525466e-09
1821,3.94459531705138e-09,2.070912596963126e-08
1822,6.015369535816717e-09,3.909990198280866e-08
1823,4.941343334508019e-09,3.360113609574e-08
1824,8.421112696055388e-10,2.6947559739198823e-08
1825,0.0,2.201360693732113e-08
1826,0.0,1.8496766784892316e-08
1827,4.608636583469661e-09,4.147772791895932e-08
1828,2.7516903755575584e-09,4.035812573022213e-08
1829,1.714635211591542e-09,2.057562281665426e-08
1830,2.0873671680021744e-09,6.679575226264944e-08
1831,1.5591206103948707e-09,9.354723662369224e-09
1832,1.3529969367098715e-09,4.058990654698391e-08
1833,2.3167257001688313e-09,8.108539673035153e-08
1834,7.467624740797874e-09,6.90755275201127e-08
1835,4.5378527602224494e-09,1.0588323107185715e-07
1836,3.3603750337896088e-09,5.107770206791429e-08
1837,4.174734336004349e-09,5.4967338236622254e-08
1838,8.837026665986514e-09,5.239094313935766e-08
1839,9.088918062616358e-09,7.760537457102146e-08
1840,5.095750821304534e-09,4.33138822586443e-08
1841,1.2841097074556274e-09,4.687000654257645e-08
1842,6.708265054555795e-10,5.2324466537356784e-08
1843,2.3627644285539873e-09,6.025049259505977e-08
1844,2.1954245643662773e-09,3.677336146701293e-08
1845,6.696273757711424e-09,5.970843730551678e-08
1846,9.367201903032196e-09,8.02066679739255e-08
1847,2.1572894581822766e-09,4.907833517364679e-08
1848,4.02261068899179e-09,3.057184194688034e-08
1849,5.865590457787562e-09,3.6869425734664674e-08
1850,1.3577992064028876e-09,6.042206557310692e-08
1851,9.029214709244116e-09,6.384944484238986e-08
1852,3.2552727180501506e-09,5.6641745516117226e-08
1853,2.388772735173461e-09,9.19677525246243e-08
1854,1.0391328908454511e-09,5.247621182036255e-08
1855,3.1841622671890946e-09,6.315255163258371e-08
1856,6.212627079449362e-09,5.9537676122545236e-08
1857,1.1715622250108026e-08,7.273448510147773e-08
1858,7.3405139189297586e-09,8.563933384664324e-08
1859,4.582956236731661e-09,6.721668821541016e-08
1860,2.288591927079864e-09,7.781212563173767e-08
1861,1.8863854922557266e-09,8.300096077107355e-08
1862,9.035972525772706e-10,7.770936694129205e-08
1863,4.495158911765884e-09,7.841555049736826e-08
1864,3.3563096746291876e-09,8.151037800274707e-08
1865,2.3534221238463715e-09,5.883555420638231e-08
1866,8.271541673821048e-09,6.568577282095589e-08
1867,4.85281148598915e-09,5.774845845962773e-08
1868,1.975949626142892e-09,8.200191237150989e-08
1869,1.4650557433881772e-09,6.397409890723793e-08
1870,5.734048791339319e-10,6.13543216232415e-08
1871,0.0,9.77148300052022e-08
1872,6.047339295989218e-10,4.414557774889971e-08
