year,nos_DET ans_NOUN,nos_DET camps_NOUN
1800,1.226224086714467e-07,1.226224086714467e-07
1801,7.857902772911984e-08,1.6906396638205479e-07
1802,1.2755688771903806e-07,1.1636768704192946e-07
1803,1.5212645965156923e-07,1.6577882888668682e-07
1804,1.5819846055364906e-07,2.3235398383114614e-07
1805,8.812921237222326e-08,1.5920115004064428e-07
1806,1.3543845511776453e-07,3.112202762167726e-07
1807,1.5088862381773538e-07,1.5942949005420815e-07
1808,1.450287405724282e-07,1.5182695278781466e-07
1809,8.810219243038375e-08,2.914149330734972e-07
1810,1.2168659679900884e-07,1.4040760731859336e-07
1811,1.4039629903095374e-07,1.42903374467096e-07
1812,5.3344166417446104e-08,2.0537502720685552e-07
1813,1.3803560250380542e-07,1.7254450312975678e-07
1814,6.293354459785405e-08,2.6432088162664513e-07
1815,5.124724800076308e-08,3.6412518689132867e-07
1816,1.2978581764855335e-07,9.965696712299632e-08
1817,1.2143612515558289e-07,1.7281294351079168e-07
1818,1.1801965627000754e-07,1.1563541812975586e-07
1819,7.452755745873674e-08,2.380741568330791e-07
1820,7.831877635311457e-08,2.3495632728298688e-07
1821,1.0058718102889941e-07,1.4101928669241204e-07
1822,7.719724237631453e-08,2.2056354964661296e-07
1823,1.0475648082319822e-07,1.3341626792229277e-07
1824,1.802118072546932e-07,2.947389319274407e-07
1825,1.3296219081304628e-07,3.1963758573283485e-07
1826,7.839105875540042e-08,2.210804046498538e-07
1827,9.032927539287527e-08,1.6867609237136705e-07
1828,7.613009955775851e-08,2.421487526049759e-07
1829,5.572564276690173e-08,2.048989025116299e-07
1830,5.7402597564149005e-08,2.2752301376272044e-07
1831,4.365537709105638e-08,2.151586508958303e-07
1832,1.0282777063164161e-07,1.6777162692438452e-07
1833,1.0888610546544442e-07,1.4711207541040494e-07
1834,6.720862222309165e-08,2.529657887606618e-07
1835,6.201732105637348e-08,2.4580034363452796e-07
1836,1.1290860263413194e-07,7.056787365566919e-08
1837,4.592208013853849e-08,1.7116411310524882e-07
1838,7.322107919982557e-08,1.8873364315830088e-07
1839,3.495737432857027e-08,9.228746922218534e-08
1840,4.9046602779156956e-08,3.152995886601673e-07
1841,8.73194618833395e-08,9.823439039990944e-08
1842,5.702025340781347e-08,1.4624017463660266e-07
1843,4.489252369843655e-08,1.1164062219126691e-07
1844,3.841992773923053e-08,9.714753490541739e-08
1845,5.636030275812942e-08,8.872562384798499e-08
1846,5.0348710534109387e-08,1.6216969100923961e-07
1847,2.534815113364175e-08,1.4993162267273874e-07
1848,4.907585093860689e-08,8.608387069841683e-08
1849,1.0306680486849018e-07,1.5250535057020898e-07
1850,6.245876349453283e-08,1.099817357186339e-07
1851,5.868989294555149e-08,1.4317754293280416e-07
1852,4.6224873262445954e-08,7.291810777410035e-08
1853,3.3442819624696085e-08,1.3197969828127043e-07
1854,6.442623751157228e-08,9.923718824467187e-08
1855,5.094659627502551e-08,1.4806354897700658e-07
1856,6.678573938323495e-08,1.9880406920691485e-07
1857,6.980557848423885e-08,2.328479866697819e-07
1858,5.18729667553508e-08,1.3212925487060545e-07
1859,5.194016750031949e-08,1.0184346788122411e-07
1860,6.224970103274607e-08,1.6111687761721782e-07
1861,4.6216444282709546e-08,1.3016059963177895e-07
1862,8.629353992484212e-08,1.5451512783148935e-07
1863,8.34101649416219e-08,1.8330259088372713e-07
1864,6.04135705906117e-08,9.973034309496143e-08
1865,5.365802618895188e-08,1.1767110663640779e-07
1866,5.3521741094630926e-08,1.3137154297737652e-07
1867,7.327745521479301e-08,9.754150909202508e-08
1868,4.2482918516384416e-08,7.261614798359517e-08
1869,5.46954153080037e-08,1.2306468466505294e-07
1870,7.454263339923273e-08,8.658413719331293e-08
1871,6.691341436493303e-08,3.483746080501504e-07
1872,4.233137351761229e-08,1.3122725972536387e-07
1873,4.369783174196229e-08,8.500126486010728e-08
1874,3.8237498112270174e-08,8.483945135306925e-08
1875,7.437985516389745e-08,9.440519743719733e-08
1876,4.9577319805038655e-08,5.501873578950267e-08
1877,6.246663986075873e-08,7.54547538894812e-08
1878,5.918306911212312e-08,7.126124645928655e-08
1879,4.3376210623335965e-08,6.659164419886565e-08
1880,4.235778638950194e-08,7.573058269372268e-08
1881,6.972507465841105e-08,4.392679642251096e-08
1882,5.457415808152177e-08,7.254370126830167e-08
1883,4.7395042834796897e-08,8.088753844504026e-08
1884,4.819238963449379e-08,7.393900425256561e-08
1885,4.9631395993010585e-08,1.0764211566538506e-07
1886,5.937186853266496e-08,5.485444226627223e-08
1887,2.7421483750345033e-08,7.1818173408289e-08
1888,3.6775564593583e-08,6.974676125537371e-08
1889,4.51089832154139e-08,8.833842857214336e-08
1890,2.5562107652810084e-08,5.440140782297931e-08
1891,2.549687994068961e-08,1.1856049564329396e-07
1892,3.886477561998447e-08,1.2913135094549943e-07
1893,3.325545000487651e-08,5.8504955657845414e-08
1894,2.8987081401865566e-08,1.1279755085524812e-07
1895,1.9259566386153892e-08,1.3902998752257645e-07
1896,2.063960063969361e-08,9.965978620130045e-08
1897,2.3889524691789177e-08,7.108590516224922e-08
1898,2.5462597474934512e-08,1.2278630290296633e-07
1899,1.6582735185011188e-08,5.969784666604028e-08
1900,2.6474371694895638e-08,6.384995399066895e-08
1901,2.123720777014171e-08,4.470991055161022e-08
1902,1.9641135329262482e-08,7.7582486657235e-08
1903,2.5381034607363517e-08,7.398301526961859e-08
1904,1.666133808697623e-08,9.996803118639264e-08
1905,2.3223416079076742e-08,7.94756878086389e-08
1906,2.1605574218597212e-08,7.150416703183282e-08
1907,4.834272726572664e-08,6.994266743554078e-08
1908,2.5539223402759603e-08,9.822778057611004e-08
1909,3.190570296851547e-08,8.251475325238289e-08
1910,3.259932035426516e-08,7.481811248322146e-08
1911,3.564650674636738e-08,1.0906766689799952e-07
1912,4.9489502940147645e-08,1.057512513114034e-07
1913,4.030272293675807e-08,7.371156052204952e-08
1914,3.884111277052682e-08,1.0379952408712256e-07
1915,1.767114277129167e-08,1.7435527499554127e-07
1916,1.7579939282086343e-08,1.3294829415144704e-07
1917,2.19328495365545e-08,1.5462659064269246e-07
1918,3.675640503075783e-08,1.6425518012397333e-07
1919,3.6831394434333475e-08,9.852397653276057e-08
1920,2.8017257402979112e-08,9.76817915443462e-08
1921,2.120369302360814e-08,5.75528811830317e-08
1922,4.205423248526685e-08,6.71392115236813e-08
1923,7.006525448716161e-08,5.520293200333981e-08
1924,8.121723371612433e-08,5.672314840055037e-08
1925,3.4094350676028284e-08,3.739380560752181e-08
1926,4.346993842663238e-08,3.4553028882555736e-08
1927,2.5643217327342427e-08,3.902228862262547e-08
1928,2.5137291137511397e-08,3.085031252680892e-08
1929,4.0105462062456354e-08,5.904415334434532e-08
1930,4.9366935983563565e-08,7.562594872556616e-08
1931,3.193499864551086e-08,4.1059284860978096e-08
1932,1.6439305028370654e-08,6.246935957410216e-08
1933,2.982372171445036e-08,5.735331143341682e-08
1934,2.156684431042777e-08,5.990790086229936e-08
1935,1.555876849579363e-08,3.11175387679441e-08
1936,3.8799087942464894e-08,3.273673021553236e-08
1937,1.6368453259474336e-08,4.5328025777280345e-08
1938,4.148868626430158e-08,2.2040865133021725e-08
1939,2.4470481641003516e-08,1.5599931657561683e-07
1940,3.0429394115571995e-08,5.832300686847702e-08
1941,5.607854847156091e-08,4.427253941230447e-08
1942,4.2478965012193726e-08,1.4564216632706461e-07
1943,4.3548528783077245e-08,6.677441199975931e-08
1944,2.5705489292704442e-08,7.711646965447017e-08
1945,3.267756198965799e-08,7.624764286617847e-08
1946,5.986074924635432e-08,1.4477948262481277e-07
1947,2.8610089852776355e-08,1.2040079888642197e-07
1948,3.0441285714388755e-08,6.631851490190854e-08
1949,2.1597417965146803e-08,7.264586165955933e-08
1950,8.295581821471387e-08,6.274863451061208e-08
1951,4.371174844308712e-08,5.650543066781921e-08
1952,2.1089607171731473e-08,3.58523338794825e-08
1953,1.939288907237824e-08,5.9256050954914485e-08
1954,4.104465145537972e-08,5.179444184655324e-08
1955,1.8771216581114913e-08,4.5050917663047585e-08
1956,1.4825940475304833e-08,4.360570926564833e-08
1957,1.6786571077620493e-08,3.092263267667761e-08
1958,3.3916197239580725e-08,3.0607301415574995e-08
1959,2.40273188012452e-08,3.8753738884622635e-08
1960,5.1906251297140216e-08,3.391208380776334e-08
1961,4.5163034867456986e-08,3.752005950374837e-08
1962,4.819886784135363e-08,3.1709782188915625e-08
1963,4.0736133799512686e-08,3.9442923593924206e-08
1964,4.9888540409881443e-08,3.832900036249143e-08
1965,4.3776346048129966e-08,1.860494691641179e-08
1966,3.6003986569888013e-08,3.101881906886206e-08
1967,3.993571850990918e-08,4.9303354066054794e-08
1968,5.569355751577909e-08,5.165128141859654e-08
1969,3.406318194176805e-08,7.948076174990604e-08
1970,3.2650948611490094e-08,3.173120366462001e-08
1971,2.774734608745888e-08,2.8775025251448483e-08
1972,2.2059630899740057e-08,3.5398013409349005e-08
1973,2.5360736732871203e-08,3.1976581604808985e-08
1974,1.8001828638869455e-08,3.712877388872826e-08
1975,1.5420996479775795e-08,3.8838065208324224e-08
1976,2.4568166112626244e-08,4.2851450277048286e-08
1977,1.3516598063034735e-08,3.173462204131283e-08
1978,1.7227714810275074e-08,4.039602197192238e-08
1979,1.345953837272873e-08,3.86230226689932e-08
1980,1.4212876431329846e-08,2.1035058139773355e-08
1981,2.024175771442316e-08,3.2892857104727113e-08
1982,1.8622506203769262e-08,4.283176591179938e-08
1983,2.9681985536100797e-08,4.168108480584465e-08
1984,2.4355835570588624e-08,2.3196033815953143e-08
1985,1.924978509926234e-08,2.9476234453262862e-08
1986,2.6975184141964093e-08,3.416856841909066e-08
1987,1.833245094617908e-08,2.749867533680117e-08
1988,1.6190695006912392e-08,1.7390005824236e-08
1989,2.030605161795762e-08,3.018467253923518e-08
1990,1.1987032311200352e-08,1.9070279189126182e-08
1991,2.9307326621097474e-08,6.330382373853638e-08
1992,2.093778761480536e-08,2.3692759754112558e-08
1993,2.437251228615267e-08,2.99117204338728e-08
1994,1.4769794220992338e-08,2.5319646823618314e-08
1995,1.9520823790752928e-08,5.205552761067267e-08
1996,2.56228422923499e-08,2.5089033073300016e-08
1997,1.870008814464086e-08,2.7810388658622287e-08
1998,3.0516027038629545e-08,2.2410206690359757e-08
1999,3.473352708227573e-08,3.976074902656279e-08
2000,2.032294532661183e-08,3.40188430758559e-08
2001,1.6648604800328926e-08,3.3735329196815655e-08
2002,1.9277373808357368e-08,3.4611649102345154e-08
