year,avions_VERB osé_VERB,avions_VERB causé_VERB
1800,0.0,1.5720821977538435e-08
1801,7.143547975374531e-09,0.0
1802,2.6854081625060644e-08,0.0
1803,5.070882025393075e-08,0.0
1804,0.0,0.0
1805,1.421438877713399e-08,0.0
1806,8.645007376628655e-09,0.0
1807,1.7081731584767113e-08,5.693910232196231e-09
1808,4.5321479902327155e-09,2.2660739951163578e-09
1809,1.3554183553310395e-08,9.036122072814123e-09
1810,3.2761775514700275e-08,2.8081521108447305e-08
1811,0.0,1.504245972228091e-08
1812,2.6672082320544632e-09,0.0
1813,8.339650747757332e-08,2.8757416448144113e-09
1814,2.5173417128598885e-08,0.0
1815,5.394447111228828e-09,0.0
1816,1.3905623319487859e-08,0.0
1817,1.8682481339737933e-08,3.113746815941454e-09
1818,1.5497530370112145e-08,0.0
1819,4.140420006848444e-09,0.0
1820,1.1866481131050932e-08,5.933240565525466e-09
1821,2.2681422962023134e-08,1.0847637454958203e-08
1822,1.2030739071633434e-08,1.0025615893027862e-09
1823,2.8659792761231984e-08,5.929612356680991e-09
1824,3.2000230021367315e-08,3.3684450784221553e-09
1825,7.924898959288385e-09,1.7610886082763955e-09
1826,9.688783109140786e-09,0.0
1827,9.217273166939322e-09,5.530363722527909e-09
1828,9.172301140836225e-09,7.337841001486822e-09
1829,3.429270423183084e-09,1.0287811491593857e-08
1830,3.235419043789989e-08,1.0436835840010872e-09
1831,3.897801548191637e-08,1.7150327380477393e-08
1832,4.464889968858188e-08,4.058990921151917e-09
1833,1.7375443306377747e-08,6.950177322551099e-09
1834,1.213489042584115e-08,3.080395316601425e-08
1835,5.294161553592858e-09,2.117664621437143e-08
1836,1.1425274948351216e-08,2.688300027031687e-09
1837,1.6003149028165353e-08,1.3219993100221927e-08
1838,4.418513555037862e-09,3.787297142565649e-09
1839,2.7965900706306e-09,1.3283802502428443e-08
1840,1.0191501864653674e-08,5.732719632334238e-09
1841,6.420548537278137e-09,7.0626033910059505e-09
1842,1.0062397137744483e-08,1.1404051036834062e-08
1843,8.860366662588604e-09,2.953455480181333e-09
1844,1.3721403568922597e-08,8.781698035420504e-09
1845,2.2320911785556063e-09,1.3950569588416784e-08
1846,5.854501328173001e-09,7.610851504580296e-09
1847,5.9325460100012606e-09,5.9325460100012606e-09
1848,1.287235473768078e-08,5.63165514222419e-09
1849,1.1731181359664333e-08,8.379414939696517e-10
1850,1.425689166723032e-08,6.788996032014438e-10
1851,3.418202609850596e-08,1.3543821175687754e-08
1852,1.6276363368206148e-08,2.6042181744401205e-09
1853,5.3747388761848924e-09,1.1943863675867306e-09
1854,7.79349651480743e-09,2.0782657816909023e-09
1855,1.4859423913549108e-08,1.0613874223963649e-08
1856,4.659470143053568e-09,1.3978411317339123e-08
1857,9.763017949637742e-09,2.9289055625270066e-09
1858,1.0276719919488642e-08,2.6425849952715907e-08
1859,1.476730293603623e-08,7.638259802433822e-09
1860,6.408057640072684e-09,1.0527522853465143e-08
1861,3.3011746669586728e-09,1.4147890858851042e-08
1862,1.3102160245637151e-08,1.0843167252971853e-08
1863,1.4484400345793347e-08,7.991393324857654e-09
1864,6.712618905169165e-09,2.3973640850272204e-09
1865,3.294791106611683e-09,8.943004559114343e-09
1866,9.731225603104576e-09,6.3252967308358166e-09
1867,1.067618526917613e-08,6.308654931785895e-09
1868,4.939874287401835e-09,4.939874287401835e-09
1869,1.7580669364747337e-08,2.539429999615095e-08
1870,3.4404292748035914e-09,7.454262984651905e-09
1871,5.3105884134652115e-09,1.911811864374613e-08
1872,9.071008832961525e-09,1.5723081503438152e-08
1873,1.2570609442263958e-08,1.5563610844537834e-08
1874,2.2106053876314036e-08,1.4936523129449597e-08
1875,5.149374260327022e-09,4.005069165202713e-09
1876,6.650616057868319e-09,1.3905833817773328e-08
1877,7.421779191219002e-09,1.2369632429454214e-08
1878,5.435179861734696e-09,1.3285995414946683e-08
1879,4.27652757650776e-09,1.4051448005147904e-08
1880,1.3477476912271413e-08,4.492492600149944e-09
1881,1.1853263259808955e-08,1.5339516323820135e-08
1882,5.989846840748214e-09,5.324308105514319e-09
1883,7.58320695126713e-09,5.0554711528150165e-09
1884,4.621187876807653e-09,8.582206056928499e-09
1885,2.5782542767416317e-09,1.2246707647989297e-08
1886,1.2261581083805595e-08,9.680196200179125e-09
1887,1.0446279397058333e-08,1.0446279397058333e-08
1888,4.4384300679212174e-09,2.6630582183884144e-08
1889,5.6386229019267375e-09,5.012109394186837e-09
1890,1.3108772733971819e-08,5.898947996740844e-09
1891,1.2748440525456317e-08,5.099376032546843e-09
1892,5.641661360300532e-09,8.149066310636499e-09
1893,3.695050043717174e-09,3.0176241949675386e-08
1894,4.411077725308132e-09,1.1972924873759894e-08
1895,1.3842813118003505e-08,1.1435367319734269e-08
1896,1.0614652268259306e-08,9.435246361988447e-09
1897,4.078699600285063e-09,8.740070001067579e-09
1898,2.8291773368493978e-09,1.1316709347397591e-08
1899,1.6582735185011188e-09,1.2713430308508578e-08
1900,2.07642125715779e-09,2.180242297811219e-08
1901,2.794369402536745e-09,1.4530721514915967e-08
1902,2.9461704187383475e-09,1.178468167495339e-08
1903,8.640352433531007e-09,9.1803746826713e-09
1904,6.987012746151322e-09,1.6123875568041512e-08
1905,8.773290538499623e-09,1.5482276793932215e-08
1906,1.5432553013283723e-09,1.594697174311932e-08
1907,7.71426478252124e-09,2.4171363577352167e-08
1908,6.384805573134145e-09,1.620758460774141e-08
1909,5.5009836685826485e-09,1.4852655993990993e-08
1910,2.137660271017694e-09,1.1222716089775986e-08
1911,6.916486494645824e-09,2.3941684190731394e-08
1912,6.772247651554153e-09,1.614920641657136e-08
1913,2.6514948014977335e-09,1.2727175757731857e-08
1914,9.37544086809794e-09,1.2723813114234872e-08
1915,1.0602685840410686e-08,7.068456930880984e-09
1916,8.789969641043172e-09,1.2086208478478966e-08
1917,9.869782324756216e-09,2.9609346086090227e-08
1918,0.0,1.033773866510046e-08
1919,1.8415696745321952e-09,3.038589824200244e-08
1920,7.572231730534895e-10,1.3630017114962811e-08
1921,6.058197943303867e-09,6.058197943303867e-09
