year,espaces_NOUN ouverts_ADJ,espaces_NOUN couverts_ADJ
1800,9.432493897065797e-09,5.0306631749208464e-08
1801,3.095537337571841e-08,3.333655484993869e-08
1802,5.370816325012129e-08,6.937304419807333e-08
1803,1.3652374342143503e-08,4.095712213825209e-08
1804,2.9662210465630778e-08,2.4718509461507665e-09
1805,0.0,1.7057265822018053e-08
1806,0.0,5.187004603612877e-08
1807,5.693910232196231e-09,0.0
1808,2.2660739951163578e-09,1.5862518409903714e-08
1809,0.0,2.25903047379461e-08
1810,1.1700633351097167e-08,4.680253518074551e-09
1811,0.0,3.259199843341776e-08
1812,0.0,5.601137331723294e-08
1813,0.0,1.7254450312975678e-08
1814,0.0,3.776012391654149e-08
1815,0.0,0.0
1816,0.0,1.1356259221884102e-07
1817,0.0,1.401186100480345e-08
1818,3.5763532135746345e-09,1.9073883805731384e-08
1819,1.0351049795076506e-08,2.6912729822470283e-08
1820,0.0,2.254631326081835e-08
1821,1.2819934447350079e-08,3.4515210245444905e-08
1822,1.1028177482330648e-08,3.909990198280866e-08
1823,1.087095569118901e-08,9.78386012207011e-08
1824,0.0,2.6105450245950124e-08
1825,0.0,1.6730341556581152e-08
1826,6.1655889282974385e-09,2.6423952803611428e-08
1827,4.608636583469661e-09,1.2904182611350734e-08
1828,0.0,2.659967357487858e-08
1829,9.430493719264632e-09,4.543783305166471e-08
1830,1.0436835840010872e-09,7.410153557430021e-08
1831,0.0,2.0268567268999504e-08
1832,1.8941957335982806e-08,3.5177919244233635e-08
1833,6.950177322551099e-09,8.571885246055899e-08
1834,4.667265685043276e-09,2.42697808516823e-08
1835,1.0588323107185715e-08,3.932805725526123e-08
1836,8.064899859050456e-09,4.435695188931277e-08
1837,0.0,4.244313345225237e-08
1838,0.0,2.5248647617104325e-08
1839,1.3982949909063791e-08,3.5656523067473245e-08
1840,1.2739377330817092e-09,6.305991462340899e-08
1841,1.219904177673925e-08,3.017657945747487e-08
1842,1.6770663080478698e-08,4.427455024824667e-08
1843,1.7130041385371442e-08,7.915260624713483e-08
1844,7.1351298203126134e-09,5.1592476069117765e-08
1845,1.8414752389617206e-08,4.631589334280761e-08
1846,4.0981511517657054e-09,2.2247105491146613e-08
1847,7.011190739092399e-09,4.260646591092154e-08
1848,1.126331028444838e-08,3.861706332486392e-08
1849,1.3407063903514427e-08,7.122502410084053e-08
1850,2.987158254086353e-08,2.987158254086353e-08
1851,9.029214709244116e-09,3.0957306051959677e-08
1852,9.765818376195057e-09,2.8646400807019745e-08
1853,5.3747388761848924e-09,6.569125332589465e-08
1854,1.1950028522278444e-08,5.5593609715742787e-08
1855,7.960405667972736e-09,2.1227748447927297e-08
1856,9.836659486950339e-09,3.7793480345271746e-08
1857,5.369659827891837e-09,3.856392183365642e-08
1858,1.468102750479261e-09,4.3553715300959084e-08
1859,1.5785737161877478e-08,2.036869339860914e-08
1860,1.8308735638683515e-09,3.249800428761773e-08
1861,1.3676294763342867e-08,3.5369726703038395e-08
1862,7.228778020618165e-09,5.421583537668084e-08
1863,5.494082966350788e-09,5.4940830551686304e-08
1864,1.8699438442126848e-08,4.17141343689309e-08
1865,5.6482134525026595e-09,3.2006543193574544e-08
1866,2.092213513549268e-08,3.2113046444237625e-08
